_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","76",,,,,,,
"0.077805","0.077805000","0.000000000","2","60","10.0.0.2","40646","89.233.69.5","8081","0","0","0"
"0.112122","0.112122000","0.034317000","3","60","89.233.69.5","8081","10.0.0.2","40646","0","0","1"
"0.390821","0.390821000","0.313016000","4","52","10.0.0.2","40646","89.233.69.5","8081","0","1","1"
"0.390902","0.390902000","0.313097000","5","89","10.0.0.2","40646","89.233.69.5","8081","37","1","1"
"0.423058","0.423058000","0.345253000","6","52","89.233.69.5","8081","10.0.0.2","40646","0","1","38"
"0.423090","0.423090000","0.345285000","7","53","89.233.69.5","8081","10.0.0.2","40646","1","1","38"
"0.608035","0.608035000",,"8","76",,,,,,,
"0.608054","0.608054000",,"9","48",,,,,,,
"0.610917","0.610917000",,"10","76",,,,,,,
"0.672117","0.672117000",,"11","76",,,,,,,
"0.702384","0.702384000","0.624579000","12","52","10.0.0.2","40646","89.233.69.5","8081","0","38","2"
"0.702413","0.702413000","0.624608000","13","56","10.0.0.2","40646","89.233.69.5","8081","4","38","2"
"0.702429","0.702429000","0.624624000","14","100","10.0.0.2","40646","89.233.69.5","8081","48","42","2"
"0.702443","0.702443000","0.624638000","15","100","10.0.0.2","40646","89.233.69.5","8081","48","90","2"
"0.702456","0.702456000","0.624651000","16","100","10.0.0.2","40646","89.233.69.5","8081","48","138","2"
"0.702470","0.702470000","0.624665000","17","81","10.0.0.2","40646","89.233.69.5","8081","29","186","2"
"0.734733","0.734733000","0.656928000","18","52","89.233.69.5","8081","10.0.0.2","40646","0","2","215"
"0.734779","0.734779000","0.656974000","19","53","89.233.69.5","8081","10.0.0.2","40646","1","2","215"
"1.007978","1.007978000",,"20","76",,,,,,,
"1.015930","1.015930000","0.000000000","21","60","10.0.0.2","40662","89.233.69.5","8081","0","0","0"
"1.015968","1.015968000","0.938163000","22","52","10.0.0.2","40646","89.233.69.5","8081","0","215","3"
"1.048704","1.048704000","0.032774000","23","60","89.233.69.5","8081","10.0.0.2","40662","0","0","1"
"1.327415","1.327415000","0.311485000","24","52","10.0.0.2","40662","89.233.69.5","8081","0","1","1"
"1.327444","1.327444000","0.311514000","25","89","10.0.0.2","40662","89.233.69.5","8081","37","1","1"
"1.359676","1.359676000","0.343746000","26","52","89.233.69.5","8081","10.0.0.2","40662","0","1","38"
"1.359721","1.359721000","0.343791000","27","52","89.233.69.5","8081","10.0.0.2","40662","0","1","38"
"1.361894","1.361894000","1.284089000","28","53","89.233.69.5","8081","10.0.0.2","40646","1","3","215"
"1.361939","1.361939000","0.346009000","29","140","89.233.69.5","8081","10.0.0.2","40662","88","1","38"
"1.362000","1.362000000","0.346070000","30","140","89.233.69.5","8081","10.0.0.2","40662","88","89","38"
"1.362018","1.362018000","0.346088000","31","140","89.233.69.5","8081","10.0.0.2","40662","88","177","38"
"1.362068","1.362068000","0.346138000","32","140","89.233.69.5","8081","10.0.0.2","40662","88","265","38"
"1.362080","1.362080000","0.346150000","33","140","89.233.69.5","8081","10.0.0.2","40662","88","353","38"
"1.362125","1.362125000","0.346195000","34","140","89.233.69.5","8081","10.0.0.2","40662","88","441","38"
"1.362136","1.362136000","0.346206000","35","140","89.233.69.5","8081","10.0.0.2","40662","88","529","38"
"1.362180","1.362180000","0.346250000","36","140","89.233.69.5","8081","10.0.0.2","40662","88","617","38"
"1.362194","1.362194000","0.346264000","37","140","89.233.69.5","8081","10.0.0.2","40662","88","705","38"
"1.362228","1.362228000","0.346298000","38","140","89.233.69.5","8081","10.0.0.2","40662","88","793","38"
"1.375998","1.375998000",,"39","76",,,,,,,
"1.640974","1.640974000","1.563169000","40","52","10.0.0.2","40646","89.233.69.5","8081","0","215","4"
"1.641002","1.641002000","0.625072000","41","52","10.0.0.2","40662","89.233.69.5","8081","0","38","89"
"1.641018","1.641018000","0.625088000","42","52","10.0.0.2","40662","89.233.69.5","8081","0","38","177"
"1.641032","1.641032000","0.625102000","43","52","10.0.0.2","40662","89.233.69.5","8081","0","38","265"
"1.641045","1.641045000","0.625115000","44","52","10.0.0.2","40662","89.233.69.5","8081","0","38","353"
"1.641058","1.641058000","0.625128000","45","52","10.0.0.2","40662","89.233.69.5","8081","0","38","441"
"1.641071","1.641071000","0.625141000","46","52","10.0.0.2","40662","89.233.69.5","8081","0","38","529"
"1.641084","1.641084000","0.625154000","47","52","10.0.0.2","40662","89.233.69.5","8081","0","38","617"
"1.641097","1.641097000","0.625167000","48","52","10.0.0.2","40662","89.233.69.5","8081","0","38","705"
"1.641108","1.641108000","0.625178000","49","52","10.0.0.2","40662","89.233.69.5","8081","0","38","793"
"1.673147","1.673147000","1.595342000","50","53","89.233.69.5","8081","10.0.0.2","40646","1","4","215"
"1.673194","1.673194000","0.657264000","51","140","89.233.69.5","8081","10.0.0.2","40662","88","881","38"
"1.673261","1.673261000","0.657331000","52","140","89.233.69.5","8081","10.0.0.2","40662","88","969","38"
"1.673278","1.673278000","0.657348000","53","140","89.233.69.5","8081","10.0.0.2","40662","88","1057","38"
"1.673328","1.673328000","0.657398000","54","140","89.233.69.5","8081","10.0.0.2","40662","88","1145","38"
"1.673339","1.673339000","0.657409000","55","140","89.233.69.5","8081","10.0.0.2","40662","88","1233","38"
"1.673383","1.673383000","0.657453000","56","140","89.233.69.5","8081","10.0.0.2","40662","88","1321","38"
"1.673394","1.673394000","0.657464000","57","140","89.233.69.5","8081","10.0.0.2","40662","88","1409","38"
"1.673439","1.673439000","0.657509000","58","140","89.233.69.5","8081","10.0.0.2","40662","88","1497","38"
"1.673453","1.673453000","0.657523000","59","140","89.233.69.5","8081","10.0.0.2","40662","88","1585","38"
"1.673497","1.673497000","0.657567000","60","140","89.233.69.5","8081","10.0.0.2","40662","88","1673","38"
"1.673514","1.673514000","0.657584000","61","140","89.233.69.5","8081","10.0.0.2","40662","88","1761","38"
"1.673558","1.673558000","0.657628000","62","140","89.233.69.5","8081","10.0.0.2","40662","88","1849","38"
"1.673571","1.673571000","0.657641000","63","140","89.233.69.5","8081","10.0.0.2","40662","88","1937","38"
"1.673615","1.673615000","0.657685000","64","140","89.233.69.5","8081","10.0.0.2","40662","88","2025","38"
"1.673627","1.673627000","0.657697000","65","140","89.233.69.5","8081","10.0.0.2","40662","88","2113","38"
"1.673672","1.673672000","0.657742000","66","140","89.233.69.5","8081","10.0.0.2","40662","88","2201","38"
"1.673684","1.673684000","0.657754000","67","140","89.233.69.5","8081","10.0.0.2","40662","88","2289","38"
"1.673716","1.673716000","0.657786000","68","140","89.233.69.5","8081","10.0.0.2","40662","88","2377","38"
"1.702250","1.702250000","0.686320000","69","52","10.0.0.2","40662","89.233.69.5","8081","0","38","881"
"1.734653","1.734653000","0.718723000","70","140","89.233.69.5","8081","10.0.0.2","40662","88","2465","38"
"1.734696","1.734696000","0.718766000","71","140","89.233.69.5","8081","10.0.0.2","40662","88","2553","38"
"1.952939","1.952939000","1.875134000","72","52","10.0.0.2","40646","89.233.69.5","8081","0","215","5"
"1.952969","1.952969000","0.937039000","73","52","10.0.0.2","40662","89.233.69.5","8081","0","38","969"
"1.952986","1.952986000","0.937056000","74","52","10.0.0.2","40662","89.233.69.5","8081","0","38","1057"
"1.952999","1.952999000","0.937069000","75","52","10.0.0.2","40662","89.233.69.5","8081","0","38","1145"
"1.953013","1.953013000","0.937083000","76","52","10.0.0.2","40662","89.233.69.5","8081","0","38","1233"
"1.953026","1.953026000","0.937096000","77","52","10.0.0.2","40662","89.233.69.5","8081","0","38","1321"
"1.953040","1.953040000","0.937110000","78","52","10.0.0.2","40662","89.233.69.5","8081","0","38","1409"
"1.953054","1.953054000","0.937124000","79","52","10.0.0.2","40662","89.233.69.5","8081","0","38","1761"
"1.985107","1.985107000","0.969177000","80","140","89.233.69.5","8081","10.0.0.2","40662","88","2641","38"
"1.985154","1.985154000","0.969224000","81","140","89.233.69.5","8081","10.0.0.2","40662","88","2729","38"
"1.985214","1.985214000","0.969284000","82","140","89.233.69.5","8081","10.0.0.2","40662","88","2817","38"
"1.985231","1.985231000","0.969301000","83","140","89.233.69.5","8081","10.0.0.2","40662","88","2905","38"
"1.985282","1.985282000","0.969352000","84","140","89.233.69.5","8081","10.0.0.2","40662","88","2993","38"
"1.985295","1.985295000","0.969365000","85","140","89.233.69.5","8081","10.0.0.2","40662","88","3081","38"
"1.985339","1.985339000","0.969409000","86","140","89.233.69.5","8081","10.0.0.2","40662","88","3169","38"
"1.985350","1.985350000","0.969420000","87","140","89.233.69.5","8081","10.0.0.2","40662","88","3257","38"
"1.985394","1.985394000","0.969464000","88","140","89.233.69.5","8081","10.0.0.2","40662","88","3345","38"
"1.985418","1.985418000","0.969488000","89","140","89.233.69.5","8081","10.0.0.2","40662","88","3433","38"
"1.985461","1.985461000","0.969531000","90","140","89.233.69.5","8081","10.0.0.2","40662","88","3521","38"
"1.985473","1.985473000","0.969543000","91","140","89.233.69.5","8081","10.0.0.2","40662","88","3609","38"
"1.985516","1.985516000","0.969586000","92","140","89.233.69.5","8081","10.0.0.2","40662","88","3697","38"
"1.985529","1.985529000","0.969599000","93","140","89.233.69.5","8081","10.0.0.2","40662","88","3785","38"
"1.985584","1.985584000","0.969654000","94","140","89.233.69.5","8081","10.0.0.2","40662","88","3873","38"
"1.985597","1.985597000","0.969667000","95","140","89.233.69.5","8081","10.0.0.2","40662","88","3961","38"
"1.985641","1.985641000","0.969711000","96","140","89.233.69.5","8081","10.0.0.2","40662","88","4049","38"
"1.985659","1.985659000","0.969729000","97","140","89.233.69.5","8081","10.0.0.2","40662","88","4137","38"
"1.985702","1.985702000","0.969772000","98","140","89.233.69.5","8081","10.0.0.2","40662","88","4225","38"
"1.985714","1.985714000","0.969784000","99","140","89.233.69.5","8081","10.0.0.2","40662","88","4313","38"
"2.015250","2.015250000","0.999320000","100","52","10.0.0.2","40662","89.233.69.5","8081","0","38","2641"
"2.047676","2.047676000","1.031746000","101","140","89.233.69.5","8081","10.0.0.2","40662","88","4401","38"
"2.047724","2.047724000","1.031794000","102","140","89.233.69.5","8081","10.0.0.2","40662","88","4489","38"
"2.047787","2.047787000","1.031857000","103","140","89.233.69.5","8081","10.0.0.2","40662","88","4577","38"
"2.047805","2.047805000","1.031875000","104","140","89.233.69.5","8081","10.0.0.2","40662","88","4665","38"
