_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000","0.000000000","1","60","10.0.0.2","54170","89.166.137.2","8081","0","0","0"
"0.034020","0.034020000","0.034020000","2","60","89.166.137.2","8081","10.0.0.2","54170","0","0","1"
"0.187373","0.187373000","0.187373000","3","52","10.0.0.2","54170","89.166.137.2","8081","0","1","1"
"0.187405","0.187405000","0.187405000","4","89","10.0.0.2","54170","89.166.137.2","8081","37","1","1"
"0.219582","0.219582000","0.219582000","5","52","89.166.137.2","8081","10.0.0.2","54170","0","1","38"
"0.219606","0.219606000","0.219606000","6","52","89.166.137.2","8081","10.0.0.2","54170","0","1","38"
"0.219630","0.219630000","0.219630000","7","53","89.166.137.2","8081","10.0.0.2","54170","1","1","38"
"0.375165","0.375165000","0.375165000","8","52","10.0.0.2","54170","89.166.137.2","8081","0","38","2"
"0.375218","0.375218000","0.375218000","9","56","10.0.0.2","54170","89.166.137.2","8081","4","38","2"
"0.375263","0.375263000","0.375263000","10","100","10.0.0.2","54170","89.166.137.2","8081","48","42","2"
"0.375279","0.375279000","0.375279000","11","100","10.0.0.2","54170","89.166.137.2","8081","48","90","2"
"0.375294","0.375294000","0.375294000","12","100","10.0.0.2","54170","89.166.137.2","8081","48","138","2"
"0.375305","0.375305000","0.375305000","13","77","10.0.0.2","54170","89.166.137.2","8081","25","186","2"
"0.407336","0.407336000","0.407336000","14","52","89.166.137.2","8081","10.0.0.2","54170","0","2","211"
"0.407395","0.407395000","0.407395000","15","53","89.166.137.2","8081","10.0.0.2","54170","1","2","211"
"0.561715","0.561715000","0.000000000","16","60","10.0.0.2","54180","89.166.137.2","8081","0","0","0"
"0.594516","0.594516000","0.032801000","17","60","89.166.137.2","8081","10.0.0.2","54180","0","0","1"
"0.625219","0.625219000","0.625219000","18","52","10.0.0.2","54170","89.166.137.2","8081","0","211","3"
"0.677553","0.677553000",,"19","76",,,,,,,
"0.677963","0.677963000",,"20","76",,,,,,,
"0.677984","0.677984000",,"21","48",,,,,,,
"0.680422","0.680422000",,"22","76",,,,,,,
"0.733487","0.733487000",,"23","76",,,,,,,
"0.750094","0.750094000","0.188379000","24","52","10.0.0.2","54180","89.166.137.2","8081","0","1","1"
