frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"1","14:16:58.994024","86",,"100.64.0.5",,,,,,"0.000000000"
"2","14:16:58.996022","60","0","172.26.191.172","5000","0.000000000","0","0","38190","0.001998000"
"3","14:16:59.243270","60","0","100.64.0.5","38190","0.247248000","0","1","5000","0.249246000"
"4","14:16:59.243315","52","1","172.26.191.172","5000","0.247293000","0","1","38190","0.249291000"
"5","14:16:59.243662","100","1","172.26.191.172","5000","0.247640000","48","1","38190","0.249638000"
"6","14:16:59.243672","100","49","172.26.191.172","5000","0.247650000","48","1","38190","0.249648000"
"7","14:16:59.243684","100","97","172.26.191.172","5000","0.247662000","48","1","38190","0.249660000"
"8","14:16:59.243686","100","145","172.26.191.172","5000","0.247664000","48","1","38190","0.249662000"
"9","14:16:59.243692","100","193","172.26.191.172","5000","0.247670000","48","1","38190","0.249668000"
"10","14:16:59.243694","100","241","172.26.191.172","5000","0.247672000","48","1","38190","0.249670000"
"11","14:16:59.243700","100","289","172.26.191.172","5000","0.247678000","48","1","38190","0.249676000"
"12","14:16:59.243702","100","337","172.26.191.172","5000","0.247680000","48","1","38190","0.249678000"
"13","14:16:59.243709","100","385","172.26.191.172","5000","0.247687000","48","1","38190","0.249685000"
"14","14:16:59.243711","100","433","172.26.191.172","5000","0.247689000","48","1","38190","0.249687000"
"15","14:16:59.492704","52","1","100.64.0.5","38190","0.496682000","0","97","5000","0.498680000"
"16","14:16:59.492747","100","481","172.26.191.172","5000","0.496725000","48","1","38190","0.498723000"
"17","14:16:59.492760","100","529","172.26.191.172","5000","0.496738000","48","1","38190","0.498736000"
"18","14:16:59.492772","100","577","172.26.191.172","5000","0.496750000","48","1","38190","0.498748000"
"19","14:16:59.492774","100","625","172.26.191.172","5000","0.496752000","48","1","38190","0.498750000"
"20","14:16:59.492786","52","1","100.64.0.5","38190","0.496764000","0","193","5000","0.498762000"
"21","14:16:59.492798","100","673","172.26.191.172","5000","0.496776000","48","1","38190","0.498774000"
"22","14:16:59.492800","100","721","172.26.191.172","5000","0.496778000","48","1","38190","0.498776000"
"23","14:16:59.492808","100","769","172.26.191.172","5000","0.496786000","48","1","38190","0.498784000"
"24","14:16:59.492810","100","817","172.26.191.172","5000","0.496788000","48","1","38190","0.498786000"
"25","14:16:59.615990","76",,,,,,,,"0.621966000"
"26","14:16:59.743260","64","1","100.64.0.5","38190","0.747238000","0","193","5000","0.749236000"
"27","14:16:59.743295","100","193","172.26.191.172","5000","0.747273000","48","1","38190","0.749271000"
"28","14:16:59.743321","64","1","100.64.0.5","38190","0.747299000","0","193","5000","0.749297000"
"29","14:16:59.743333","100","241","172.26.191.172","5000","0.747311000","48","1","38190","0.749309000"
"30","14:16:59.743339","100","289","172.26.191.172","5000","0.747317000","48","1","38190","0.749315000"
"31","14:16:59.993037","64","1","100.64.0.5","38190","0.997015000","0","337","5000","0.999013000"
"32","14:16:59.993072","100","337","172.26.191.172","5000","0.997050000","48","1","38190","0.999048000"
"33","14:16:59.993092","100","385","172.26.191.172","5000","0.997070000","48","1","38190","0.999068000"
"34","14:16:59.993094","100","433","172.26.191.172","5000","0.997072000","48","1","38190","0.999070000"
"35","14:16:59.993100","100","673","172.26.191.172","5000","0.997078000","48","1","38190","0.999076000"
"36","14:16:59.993101","100","721","172.26.191.172","5000","0.997079000","48","1","38190","0.999077000"
"37","14:17:00.243623","52","1","100.64.0.5","38190","1.247601000","0","673","5000","1.249599000"
"38","14:17:00.243664","100","769","172.26.191.172","5000","1.247642000","48","1","38190","1.249640000"
"39","14:17:00.243673","100","817","172.26.191.172","5000","1.247651000","48","1","38190","1.249649000"
"40","14:17:00.243685","100","865","172.26.191.172","5000","1.247663000","48","1","38190","1.249661000"
"41","14:17:00.243686","100","913","172.26.191.172","5000","1.247664000","48","1","38190","1.249662000"
"42","14:17:00.243697","52","1","100.64.0.5","38190","1.247675000","0","721","5000","1.249673000"
"43","14:17:00.243708","100","961","172.26.191.172","5000","1.247686000","48","1","38190","1.249684000"
"44","14:17:00.243709","100","1009","172.26.191.172","5000","1.247687000","48","1","38190","1.249685000"
"45","14:17:00.492627","64","1","100.64.0.5","38190","1.496605000","0","721","5000","1.498603000"
"46","14:17:00.492660","100","721","172.26.191.172","5000","1.496638000","48","1","38190","1.498636000"
"47","14:17:00.492683","100","1057","172.26.191.172","5000","1.496661000","48","1","38190","1.498659000"
"48","14:17:00.492695","64","1","100.64.0.5","38190","1.496673000","0","721","5000","1.498671000"
"49","14:17:00.492715","100","1105","172.26.191.172","5000","1.496693000","48","1","38190","1.498691000"
"50","14:17:00.492717","100","1153","172.26.191.172","5000","1.496695000","48","1","38190","1.498693000"
