frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"1","14:23:01.456445","86",,"100.64.0.5",,,,,,"0.000000000"
"2","14:23:01.458233","60","0","172.26.191.172","5000","0.000000000","0","0","54976","0.001788000"
"3","14:23:01.580788","60","0","100.64.0.5","54976","0.122555000","0","1","5000","0.124343000"
"4","14:23:01.580840","52","1","172.26.191.172","5000","0.122607000","0","1","54976","0.124395000"
"5","14:23:01.581179","100","1","172.26.191.172","5000","0.122946000","48","1","54976","0.124734000"
"6","14:23:01.581187","100","49","172.26.191.172","5000","0.122954000","48","1","54976","0.124742000"
"7","14:23:01.581202","100","97","172.26.191.172","5000","0.122969000","48","1","54976","0.124757000"
"8","14:23:01.581205","100","145","172.26.191.172","5000","0.122972000","48","1","54976","0.124760000"
"9","14:23:01.581213","100","193","172.26.191.172","5000","0.122980000","48","1","54976","0.124768000"
"10","14:23:01.581214","100","241","172.26.191.172","5000","0.122981000","48","1","54976","0.124769000"
"11","14:23:01.581222","100","289","172.26.191.172","5000","0.122989000","48","1","54976","0.124777000"
"12","14:23:01.581223","100","337","172.26.191.172","5000","0.122990000","48","1","54976","0.124778000"
"13","14:23:01.581230","100","385","172.26.191.172","5000","0.122997000","48","1","54976","0.124785000"
"14","14:23:01.581231","100","433","172.26.191.172","5000","0.122998000","48","1","54976","0.124786000"
"15","14:23:01.706360","52","1","100.64.0.5","54976","0.248127000","0","97","5000","0.249915000"
"16","14:23:01.706379","100","481","172.26.191.172","5000","0.248146000","48","1","54976","0.249934000"
"17","14:23:01.706383","100","529","172.26.191.172","5000","0.248150000","48","1","54976","0.249938000"
"18","14:23:01.706387","100","577","172.26.191.172","5000","0.248154000","48","1","54976","0.249942000"
"19","14:23:01.706387","100","625","172.26.191.172","5000","0.248154000","48","1","54976","0.249942000"
"20","14:23:01.706391","52","1","100.64.0.5","54976","0.248158000","0","193","5000","0.249946000"
"21","14:23:01.706395","100","673","172.26.191.172","5000","0.248162000","48","1","54976","0.249950000"
"22","14:23:01.706396","100","721","172.26.191.172","5000","0.248163000","48","1","54976","0.249951000"
"23","14:23:01.706398","100","769","172.26.191.172","5000","0.248165000","48","1","54976","0.249953000"
"24","14:23:01.706398","100","817","172.26.191.172","5000","0.248165000","48","1","54976","0.249953000"
"25","14:23:01.706400","52","1","100.64.0.5","54976","0.248167000","0","289","5000","0.249955000"
"26","14:23:01.706403","100","865","172.26.191.172","5000","0.248170000","48","1","54976","0.249958000"
"27","14:23:01.706404","100","913","172.26.191.172","5000","0.248171000","48","1","54976","0.249959000"
"28","14:23:01.706406","100","961","172.26.191.172","5000","0.248173000","48","1","54976","0.249961000"
"29","14:23:01.706406","100","1009","172.26.191.172","5000","0.248173000","48","1","54976","0.249961000"
"30","14:23:01.706408","52","1","100.64.0.5","54976","0.248175000","0","385","5000","0.249963000"
"31","14:23:01.706411","100","1057","172.26.191.172","5000","0.248178000","48","1","54976","0.249966000"
"32","14:23:01.706411","100","1105","172.26.191.172","5000","0.248178000","48","1","54976","0.249966000"
"33","14:23:01.706414","100","1153","172.26.191.172","5000","0.248181000","48","1","54976","0.249969000"
"34","14:23:01.706414","100","1201","172.26.191.172","5000","0.248181000","48","1","54976","0.249969000"
