frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"1","14:34:09.183934","60","0","100.64.0.5","56610","0.000000000","0","1","5000","0.000000000"
"2","14:34:09.183980","52","1","172.26.191.172","5000","0.000046000","0","1","56610","0.000046000"
"3","14:34:09.184303","100","1","172.26.191.172","5000","0.000369000","48","1","56610","0.000369000"
"4","14:34:09.184311","100","49","172.26.191.172","5000","0.000377000","48","1","56610","0.000377000"
"5","14:34:09.184325","100","97","172.26.191.172","5000","0.000391000","48","1","56610","0.000391000"
"6","14:34:09.184327","100","145","172.26.191.172","5000","0.000393000","48","1","56610","0.000393000"
"7","14:34:09.184349","100","193","172.26.191.172","5000","0.000415000","48","1","56610","0.000415000"
"8","14:34:09.184351","100","241","172.26.191.172","5000","0.000417000","48","1","56610","0.000417000"
"9","14:34:09.184391","100","289","172.26.191.172","5000","0.000457000","48","1","56610","0.000457000"
"10","14:34:09.184393","100","337","172.26.191.172","5000","0.000459000","48","1","56610","0.000459000"
"11","14:34:09.184399","100","385","172.26.191.172","5000","0.000465000","48","1","56610","0.000465000"
"12","14:34:09.184400","100","433","172.26.191.172","5000","0.000466000","48","1","56610","0.000466000"
"13","14:34:09.274965","52","1","100.64.0.5","56610","0.091031000","0","97","5000","0.091031000"
"14","14:34:09.275005","100","481","172.26.191.172","5000","0.091071000","48","1","56610","0.091071000"
"15","14:34:09.275014","100","529","172.26.191.172","5000","0.091080000","48","1","56610","0.091080000"
"16","14:34:09.275028","100","577","172.26.191.172","5000","0.091094000","48","1","56610","0.091094000"
"17","14:34:09.275030","100","625","172.26.191.172","5000","0.091096000","48","1","56610","0.091096000"
"18","14:34:09.275045","52","1","100.64.0.5","56610","0.091111000","0","145","5000","0.091111000"
"19","14:34:09.275061","100","673","172.26.191.172","5000","0.091127000","48","1","56610","0.091127000"
"20","14:34:09.275063","100","721","172.26.191.172","5000","0.091129000","48","1","56610","0.091129000"
"21","14:34:09.275074","52","1","100.64.0.5","56610","0.091140000","0","193","5000","0.091140000"
"22","14:34:09.275090","100","769","172.26.191.172","5000","0.091156000","48","1","56610","0.091156000"
"23","14:34:09.275092","100","817","172.26.191.172","5000","0.091158000","48","1","56610","0.091158000"
"24","14:34:09.275102","52","1","100.64.0.5","56610","0.091168000","0","289","5000","0.091168000"
"25","14:34:09.275117","100","865","172.26.191.172","5000","0.091183000","48","1","56610","0.091183000"
"26","14:34:09.275119","100","913","172.26.191.172","5000","0.091185000","48","1","56610","0.091185000"
"27","14:34:09.275129","100","961","172.26.191.172","5000","0.091195000","48","1","56610","0.091195000"
"28","14:34:09.275131","100","1009","172.26.191.172","5000","0.091197000","48","1","56610","0.091197000"
"29","14:34:09.275140","52","1","100.64.0.5","56610","0.091206000","0","385","5000","0.091206000"
"30","14:34:09.275154","100","1057","172.26.191.172","5000","0.091220000","48","1","56610","0.091220000"
"31","14:34:09.275156","100","1105","172.26.191.172","5000","0.091222000","48","1","56610","0.091222000"
"32","14:34:09.275167","100","1153","172.26.191.172","5000","0.091233000","48","1","56610","0.091233000"
"33","14:34:09.275168","100","1201","172.26.191.172","5000","0.091234000","48","1","56610","0.091234000"
"34","14:34:09.275177","52","1","100.64.0.5","56610","0.091243000","0","481","5000","0.091243000"
"35","14:34:09.275192","100","1249","172.26.191.172","5000","0.091258000","48","1","56610","0.091258000"
"36","14:34:09.275194","100","1297","172.26.191.172","5000","0.091260000","48","1","56610","0.091260000"
"37","14:34:09.275217","100","1345","172.26.191.172","5000","0.091283000","48","1","56610","0.091283000"
"38","14:34:09.275219","100","1393","172.26.191.172","5000","0.091285000","48","1","56610","0.091285000"
"39","14:34:09.279567","76",,,,,,,,"0.095633000"
"40","14:34:09.365988","52","1","100.64.0.5","56610","0.182054000","0","577","5000","0.182054000"
"41","14:34:09.366027","100","1441","172.26.191.172","5000","0.182093000","48","1","56610","0.182093000"
"42","14:34:09.366037","100","1489","172.26.191.172","5000","0.182103000","48","1","56610","0.182103000"
"43","14:34:09.366053","100","1537","172.26.191.172","5000","0.182119000","48","1","56610","0.182119000"
"44","14:34:09.366056","100","1585","172.26.191.172","5000","0.182122000","48","1","56610","0.182122000"
"45","14:34:09.366074","52","1","100.64.0.5","56610","0.182140000","0","673","5000","0.182140000"
"46","14:34:09.366092","100","1633","172.26.191.172","5000","0.182158000","48","1","56610","0.182158000"
"47","14:34:09.366095","100","1681","172.26.191.172","5000","0.182161000","48","1","56610","0.182161000"
"48","14:34:09.366109","100","1729","172.26.191.172","5000","0.182175000","48","1","56610","0.182175000"
"49","14:34:09.366112","100","1777","172.26.191.172","5000","0.182178000","48","1","56610","0.182178000"
"50","14:34:09.366123","52","1","100.64.0.5","56610","0.182189000","0","769","5000","0.182189000"
"51","14:34:09.366140","100","1825","172.26.191.172","5000","0.182206000","48","1","56610","0.182206000"
"52","14:34:09.366142","100","1873","172.26.191.172","5000","0.182208000","48","1","56610","0.182208000"
"53","14:34:09.366154","100","1921","172.26.191.172","5000","0.182220000","48","1","56610","0.182220000"
"54","14:34:09.366157","100","1969","172.26.191.172","5000","0.182223000","48","1","56610","0.182223000"
"55","14:34:09.366167","52","1","100.64.0.5","56610","0.182233000","0","865","5000","0.182233000"
"56","14:34:09.366184","100","2017","172.26.191.172","5000","0.182250000","48","1","56610","0.182250000"
"57","14:34:09.366186","100","2065","172.26.191.172","5000","0.182252000","48","1","56610","0.182252000"
"58","14:34:09.366198","100","2113","172.26.191.172","5000","0.182264000","48","1","56610","0.182264000"
"59","14:34:09.366200","100","2161","172.26.191.172","5000","0.182266000","48","1","56610","0.182266000"
"60","14:34:09.366210","52","1","100.64.0.5","56610","0.182276000","0","961","5000","0.182276000"
"61","14:34:09.366226","100","2209","172.26.191.172","5000","0.182292000","48","1","56610","0.182292000"
"62","14:34:09.366228","100","2257","172.26.191.172","5000","0.182294000","48","1","56610","0.182294000"
"63","14:34:09.366240","100","2305","172.26.191.172","5000","0.182306000","48","1","56610","0.182306000"
"64","14:34:09.366242","100","2353","172.26.191.172","5000","0.182308000","48","1","56610","0.182308000"
"65","14:34:09.366252","52","1","100.64.0.5","56610","0.182318000","0","1057","5000","0.182318000"
"66","14:34:09.366268","100","2401","172.26.191.172","5000","0.182334000","48","1","56610","0.182334000"
"67","14:34:09.366270","100","2449","172.26.191.172","5000","0.182336000","48","1","56610","0.182336000"
"68","14:34:09.366282","100","2497","172.26.191.172","5000","0.182348000","48","1","56610","0.182348000"
"69","14:34:09.366285","100","2545","172.26.191.172","5000","0.182351000","48","1","56610","0.182351000"
"70","14:34:09.366295","52","1","100.64.0.5","56610","0.182361000","0","1105","5000","0.182361000"
"71","14:34:09.366312","100","2593","172.26.191.172","5000","0.182378000","48","1","56610","0.182378000"
"72","14:34:09.366313","100","2641","172.26.191.172","5000","0.182379000","48","1","56610","0.182379000"
"73","14:34:09.366325","52","1","100.64.0.5","56610","0.182391000","0","1153","5000","0.182391000"
"74","14:34:09.366341","100","2689","172.26.191.172","5000","0.182407000","48","1","56610","0.182407000"
"75","14:34:09.366343","100","2737","172.26.191.172","5000","0.182409000","48","1","56610","0.182409000"
"76","14:34:09.395624","52","1","100.64.0.5","56610","0.211690000","0","1249","5000","0.211690000"
"77","14:34:09.395678","100","2785","172.26.191.172","5000","0.211744000","48","1","56610","0.211744000"
"78","14:34:09.395695","100","2833","172.26.191.172","5000","0.211761000","48","1","56610","0.211761000"
"79","14:34:09.395722","100","2881","172.26.191.172","5000","0.211788000","48","1","56610","0.211788000"
"80","14:34:09.395724","100","2929","172.26.191.172","5000","0.211790000","48","1","56610","0.211790000"
"81","14:34:09.395742","52","1","100.64.0.5","56610","0.211808000","0","1345","5000","0.211808000"
"82","14:34:09.395759","100","2977","172.26.191.172","5000","0.211825000","48","1","56610","0.211825000"
"83","14:34:09.395761","100","3025","172.26.191.172","5000","0.211827000","48","1","56610","0.211827000"
"84","14:34:09.395773","100","3073","172.26.191.172","5000","0.211839000","48","1","56610","0.211839000"
"85","14:34:09.395775","100","3121","172.26.191.172","5000","0.211841000","48","1","56610","0.211841000"
"86","14:34:09.395785","52","1","100.64.0.5","56610","0.211851000","0","1393","5000","0.211851000"
"87","14:34:09.395863","100","3169","172.26.191.172","5000","0.211929000","48","1","56610","0.211929000"
"88","14:34:09.395879","100","3217","172.26.191.172","5000","0.211945000","48","1","56610","0.211945000"
"89","14:34:09.456742","64","1","100.64.0.5","56610","0.272808000","0","1393","5000","0.272808000"
"90","14:34:09.456774","100","1393","172.26.191.172","5000","0.272840000","48","1","56610","0.272840000"
"91","14:34:09.456798","64","1","100.64.0.5","56610","0.272864000","0","1393","5000","0.272864000"
"92","14:34:09.456812","100","3265","172.26.191.172","5000","0.272878000","48","1","56610","0.272878000"
"93","14:34:09.456820","64","1","100.64.0.5","56610","0.272886000","0","1393","5000","0.272886000"
"94","14:34:09.456827","100","3313","172.26.191.172","5000","0.272893000","48","1","56610","0.272893000"
"95","14:34:09.456833","64","1","100.64.0.5","56610","0.272899000","0","1393","5000","0.272899000"
"96","14:34:09.456851","100","3361","172.26.191.172","5000","0.272917000","48","1","56610","0.272917000"
"97","14:34:09.456852","100","3409","172.26.191.172","5000","0.272918000","48","1","56610","0.272918000"
"98","14:34:09.456859","100","3457","172.26.191.172","5000","0.272925000","48","1","56610","0.272925000"
"99","14:34:09.456860","100","3505","172.26.191.172","5000","0.272926000","48","1","56610","0.272926000"
"100","14:34:09.486756","72","1","100.64.0.5","56610","0.302822000","0","1393","5000","0.302822000"
"101","14:34:09.486800","100","2353","172.26.191.172","5000","0.302866000","48","1","56610","0.302866000"
"102","14:34:09.486819","100","2401","172.26.191.172","5000","0.302885000","48","1","56610","0.302885000"
"103","14:34:09.486821","100","2449","172.26.191.172","5000","0.302887000","48","1","56610","0.302887000"
"104","14:34:09.486826","100","2497","172.26.191.172","5000","0.302892000","48","1","56610","0.302892000"
"105","14:34:09.486828","100","2545","172.26.191.172","5000","0.302894000","48","1","56610","0.302894000"
"106","14:34:09.486833","100","2593","172.26.191.172","5000","0.302899000","48","1","56610","0.302899000"
"107","14:34:09.486835","100","2641","172.26.191.172","5000","0.302901000","48","1","56610","0.302901000"
"108","14:34:09.486848","100","2689","172.26.191.172","5000","0.302914000","48","1","56610","0.302914000"
"109","14:34:09.486850","100","2737","172.26.191.172","5000","0.302916000","48","1","56610","0.302916000"
"110","14:34:09.486860","100","3553","172.26.191.172","5000","0.302926000","48","1","56610","0.302926000"
"111","14:34:09.486861","100","3601","172.26.191.172","5000","0.302927000","48","1","56610","0.302927000"
"112","14:34:09.516702","72","1","100.64.0.5","56610","0.332768000","0","1393","5000","0.332768000"
"113","14:34:09.516741","100","3649","172.26.191.172","5000","0.332807000","48","1","56610","0.332807000"
"114","14:34:09.548225","64","1","100.64.0.5","56610","0.364291000","0","2353","5000","0.364291000"
"115","14:34:09.548265","100","3697","172.26.191.172","5000","0.364331000","48","1","56610","0.364331000"
"116","14:34:09.548302","64","1","100.64.0.5","56610","0.364368000","0","2353","5000","0.364368000"
"117","14:34:09.548326","100","3745","172.26.191.172","5000","0.364392000","48","1","56610","0.364392000"
"118","14:34:09.548327","100","3793","172.26.191.172","5000","0.364393000","48","1","56610","0.364393000"
"119","14:34:09.548332","100","3841","172.26.191.172","5000","0.364398000","48","1","56610","0.364398000"
"120","14:34:09.548403","64","1","100.64.0.5","56610","0.364469000","0","2353","5000","0.364469000"
"121","14:34:09.548415","100","3889","172.26.191.172","5000","0.364481000","48","1","56610","0.364481000"
"122","14:34:09.548433","64","1","100.64.0.5","56610","0.364499000","0","2353","5000","0.364499000"
"123","14:34:09.548445","100","3937","172.26.191.172","5000","0.364511000","48","1","56610","0.364511000"
"124","14:34:09.548446","100","3985","172.26.191.172","5000","0.364512000","48","1","56610","0.364512000"
"125","14:34:09.578303","64","1","100.64.0.5","56610","0.394369000","0","2497","5000","0.394369000"
"126","14:34:09.578347","100","4033","172.26.191.172","5000","0.394413000","48","1","56610","0.394413000"
"127","14:34:09.578355","100","4081","172.26.191.172","5000","0.394421000","48","1","56610","0.394421000"
"128","14:34:09.578364","100","4129","172.26.191.172","5000","0.394430000","48","1","56610","0.394430000"
"129","14:34:09.578374","64","1","100.64.0.5","56610","0.394440000","0","2545","5000","0.394440000"
"130","14:34:09.578383","100","4177","172.26.191.172","5000","0.394449000","48","1","56610","0.394449000"
"131","14:34:09.578389","64","1","100.64.0.5","56610","0.394455000","0","2593","5000","0.394455000"
"132","14:34:09.578396","100","4225","172.26.191.172","5000","0.394462000","48","1","56610","0.394462000"
"133","14:34:09.578402","52","1","100.64.0.5","56610","0.394468000","0","3553","5000","0.394468000"
"134","14:34:09.578416","100","4273","172.26.191.172","5000","0.394482000","48","1","56610","0.394482000"
"135","14:34:09.578417","100","4321","172.26.191.172","5000","0.394483000","48","1","56610","0.394483000"
"136","14:34:09.578424","100","4369","172.26.191.172","5000","0.394490000","48","1","56610","0.394490000"
"137","14:34:09.578425","100","4417","172.26.191.172","5000","0.394491000","48","1","56610","0.394491000"
"138","14:34:09.578432","52","1","100.64.0.5","56610","0.394498000","0","3649","5000","0.394498000"
"139","14:34:09.578441","100","4465","172.26.191.172","5000","0.394507000","48","1","56610","0.394507000"
"140","14:34:09.578442","100","4513","172.26.191.172","5000","0.394508000","48","1","56610","0.394508000"
"141","14:34:09.608593","52","1","100.64.0.5","56610","0.424659000","0","3697","5000","0.424659000"
"142","14:34:09.608627","100","4561","172.26.191.172","5000","0.424693000","48","1","56610","0.424693000"
"143","14:34:09.638050","52","1","100.64.0.5","56610","0.454116000","0","4033","5000","0.454116000"
"144","14:34:09.638068","100","4609","172.26.191.172","5000","0.454134000","48","1","56610","0.454134000"
"145","14:34:09.638070","100","4657","172.26.191.172","5000","0.454136000","48","1","56610","0.454136000"
"146","14:34:09.638074","100","4705","172.26.191.172","5000","0.454140000","48","1","56610","0.454140000"
"147","14:34:09.638075","100","4753","172.26.191.172","5000","0.454141000","48","1","56610","0.454141000"
"148","14:34:09.638077","100","4801","172.26.191.172","5000","0.454143000","48","1","56610","0.454143000"
"149","14:34:09.638077","100","4849","172.26.191.172","5000","0.454143000","48","1","56610","0.454143000"
"150","14:34:09.669107","52","1","100.64.0.5","56610","0.485173000","0","4561","5000","0.485173000"
"151","14:34:09.669122","100","4897","172.26.191.172","5000","0.485188000","48","1","56610","0.485188000"
"152","14:34:09.669124","100","4945","172.26.191.172","5000","0.485190000","48","1","56610","0.485190000"
"153","14:34:09.669128","100","4993","172.26.191.172","5000","0.485194000","48","1","56610","0.485194000"
"154","14:34:09.669128","100","5041","172.26.191.172","5000","0.485194000","48","1","56610","0.485194000"
"155","14:34:09.669130","100","5089","172.26.191.172","5000","0.485196000","48","1","56610","0.485196000"
"156","14:34:09.669130","100","5137","172.26.191.172","5000","0.485196000","48","1","56610","0.485196000"
"157","14:34:09.669131","100","5185","172.26.191.172","5000","0.485197000","48","1","56610","0.485197000"
"158","14:34:09.669132","100","5233","172.26.191.172","5000","0.485198000","48","1","56610","0.485198000"
"159","14:34:09.669134","100","5281","172.26.191.172","5000","0.485200000","48","1","56610","0.485200000"
"160","14:34:09.669134","100","5329","172.26.191.172","5000","0.485200000","48","1","56610","0.485200000"
"161","14:34:09.669136","100","5377","172.26.191.172","5000","0.485202000","48","1","56610","0.485202000"
"162","14:34:09.669136","100","5425","172.26.191.172","5000","0.485202000","48","1","56610","0.485202000"
"163","14:34:09.698761","52","1","100.64.0.5","56610","0.514827000","0","4609","5000","0.514827000"
"164","14:34:09.698779","100","5473","172.26.191.172","5000","0.514845000","48","1","56610","0.514845000"
"165","14:34:09.698783","100","5521","172.26.191.172","5000","0.514849000","48","1","56610","0.514849000"
"166","14:34:09.727631","76",,,,,,,,"0.543697000"
