frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"1","14:37:28.944321","60","0","100.64.0.5","57600","0.000000000","0","1","5000","0.000000000"
"2","14:37:28.944383","52","1","172.26.191.172","5000","0.000062000","0","1","57600","0.000062000"
"3","14:37:28.944690","100","1","172.26.191.172","5000","0.000369000","48","1","57600","0.000369000"
"4","14:37:28.944702","100","49","172.26.191.172","5000","0.000381000","48","1","57600","0.000381000"
"5","14:37:28.944716","100","97","172.26.191.172","5000","0.000395000","48","1","57600","0.000395000"
"6","14:37:28.944718","100","145","172.26.191.172","5000","0.000397000","48","1","57600","0.000397000"
"7","14:37:28.944724","100","193","172.26.191.172","5000","0.000403000","48","1","57600","0.000403000"
"8","14:37:28.944726","100","241","172.26.191.172","5000","0.000405000","48","1","57600","0.000405000"
"9","14:37:28.944732","100","289","172.26.191.172","5000","0.000411000","48","1","57600","0.000411000"
"10","14:37:28.944733","100","337","172.26.191.172","5000","0.000412000","48","1","57600","0.000412000"
"11","14:37:28.944740","100","385","172.26.191.172","5000","0.000419000","48","1","57600","0.000419000"
"12","14:37:28.944742","100","433","172.26.191.172","5000","0.000421000","48","1","57600","0.000421000"
"13","14:37:29.023541","76",,,,,,,,"0.079220000"
"14","14:37:29.035885","52","1","100.64.0.5","57600","0.091564000","0","97","5000","0.091564000"
"15","14:37:29.035930","100","481","172.26.191.172","5000","0.091609000","48","1","57600","0.091609000"
"16","14:37:29.035940","100","529","172.26.191.172","5000","0.091619000","48","1","57600","0.091619000"
"17","14:37:29.035952","100","577","172.26.191.172","5000","0.091631000","48","1","57600","0.091631000"
"18","14:37:29.035954","100","625","172.26.191.172","5000","0.091633000","48","1","57600","0.091633000"
"19","14:37:29.035966","52","1","100.64.0.5","57600","0.091645000","0","193","5000","0.091645000"
"20","14:37:29.035977","100","673","172.26.191.172","5000","0.091656000","48","1","57600","0.091656000"
"21","14:37:29.035979","100","721","172.26.191.172","5000","0.091658000","48","1","57600","0.091658000"
"22","14:37:29.035989","100","769","172.26.191.172","5000","0.091668000","48","1","57600","0.091668000"
"23","14:37:29.035990","100","817","172.26.191.172","5000","0.091669000","48","1","57600","0.091669000"
"24","14:37:29.035998","52","1","100.64.0.5","57600","0.091677000","0","289","5000","0.091677000"
"25","14:37:29.036008","100","865","172.26.191.172","5000","0.091687000","48","1","57600","0.091687000"
"26","14:37:29.036009","100","913","172.26.191.172","5000","0.091688000","48","1","57600","0.091688000"
"27","14:37:29.036016","100","961","172.26.191.172","5000","0.091695000","48","1","57600","0.091695000"
"28","14:37:29.036017","100","1009","172.26.191.172","5000","0.091696000","48","1","57600","0.091696000"
"29","14:37:29.036024","52","1","100.64.0.5","57600","0.091703000","0","337","5000","0.091703000"
"30","14:37:29.036034","100","1057","172.26.191.172","5000","0.091713000","48","1","57600","0.091713000"
"31","14:37:29.036037","100","1105","172.26.191.172","5000","0.091716000","48","1","57600","0.091716000"
"32","14:37:29.036044","52","1","100.64.0.5","57600","0.091723000","0","385","5000","0.091723000"
"33","14:37:29.036054","100","1153","172.26.191.172","5000","0.091733000","48","1","57600","0.091733000"
"34","14:37:29.036056","100","1201","172.26.191.172","5000","0.091735000","48","1","57600","0.091735000"
"35","14:37:29.036063","52","1","100.64.0.5","57600","0.091742000","0","481","5000","0.091742000"
"36","14:37:29.036072","100","1249","172.26.191.172","5000","0.091751000","48","1","57600","0.091751000"
"37","14:37:29.036073","100","1297","172.26.191.172","5000","0.091752000","48","1","57600","0.091752000"
"38","14:37:29.036089","100","1345","172.26.191.172","5000","0.091768000","48","1","57600","0.091768000"
"39","14:37:29.036090","100","1393","172.26.191.172","5000","0.091769000","48","1","57600","0.091769000"
"40","14:37:29.126546","52","1","100.64.0.5","57600","0.182225000","0","577","5000","0.182225000"
"41","14:37:29.126589","100","1441","172.26.191.172","5000","0.182268000","48","1","57600","0.182268000"
"42","14:37:29.126599","100","1489","172.26.191.172","5000","0.182278000","48","1","57600","0.182278000"
"43","14:37:29.126612","100","1537","172.26.191.172","5000","0.182291000","48","1","57600","0.182291000"
"44","14:37:29.126613","100","1585","172.26.191.172","5000","0.182292000","48","1","57600","0.182292000"
"45","14:37:29.126626","52","1","100.64.0.5","57600","0.182305000","0","673","5000","0.182305000"
"46","14:37:29.126638","100","1633","172.26.191.172","5000","0.182317000","48","1","57600","0.182317000"
"47","14:37:29.126640","100","1681","172.26.191.172","5000","0.182319000","48","1","57600","0.182319000"
"48","14:37:29.126647","100","1729","172.26.191.172","5000","0.182326000","48","1","57600","0.182326000"
"49","14:37:29.126649","100","1777","172.26.191.172","5000","0.182328000","48","1","57600","0.182328000"
