frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"1","14:03:42.215901","76",,,,,,,,"0.000000000"
"2","14:03:42.564815","86",,"100.64.0.5",,,,,,"0.348914000"
"3","14:03:42.566328","60","0","172.26.191.172","5000","0.000000000","0","0","47254","0.350427000"
"4","14:03:42.719975","76",,,,,,,,"0.504074000"
"5","14:03:43.064328","60","0","100.64.0.5","47254","0.498000000","0","1","5000","0.848427000"
"6","14:03:43.064390","52","1","172.26.191.172","5000","0.498062000","0","1","47254","0.848489000"
"7","14:03:43.064695","100","1","172.26.191.172","5000","0.498367000","48","1","47254","0.848794000"
"8","14:03:43.064703","100","49","172.26.191.172","5000","0.498375000","48","1","47254","0.848802000"
"9","14:03:43.064717","100","97","172.26.191.172","5000","0.498389000","48","1","47254","0.848816000"
"10","14:03:43.064719","100","145","172.26.191.172","5000","0.498391000","48","1","47254","0.848818000"
"11","14:03:43.064727","100","193","172.26.191.172","5000","0.498399000","48","1","47254","0.848826000"
"12","14:03:43.064728","100","241","172.26.191.172","5000","0.498400000","48","1","47254","0.848827000"
"13","14:03:43.064734","100","289","172.26.191.172","5000","0.498406000","48","1","47254","0.848833000"
"14","14:03:43.064735","100","337","172.26.191.172","5000","0.498407000","48","1","47254","0.848834000"
"15","14:03:43.064742","100","385","172.26.191.172","5000","0.498414000","48","1","47254","0.848841000"
"16","14:03:43.064743","100","433","172.26.191.172","5000","0.498415000","48","1","47254","0.848842000"
"17","14:03:43.563845","52","1","100.64.0.5","47254","0.997517000","0","49","5000","1.347944000"
"18","14:03:43.563885","100","481","172.26.191.172","5000","0.997557000","48","1","47254","1.347984000"
"19","14:03:43.563893","100","529","172.26.191.172","5000","0.997565000","48","1","47254","1.347992000"
"20","14:03:44.063931","64","1","100.64.0.5","47254","1.497603000","0","49","5000","1.848030000"
"21","14:03:44.063967","100","49","172.26.191.172","5000","1.497639000","48","1","47254","1.848066000"
"22","14:03:44.063989","100","97","172.26.191.172","5000","1.497661000","48","1","47254","1.848088000"
"23","14:03:44.563902","64","1","100.64.0.5","47254","1.997574000","0","145","5000","2.348001000"
"24","14:03:44.563938","100","145","172.26.191.172","5000","1.997610000","48","1","47254","2.348037000"
"25","14:03:44.563960","100","193","172.26.191.172","5000","1.997632000","48","1","47254","2.348059000"
"26","14:03:44.563961","100","241","172.26.191.172","5000","1.997633000","48","1","47254","2.348060000"
"27","14:03:45.064023","64","1","100.64.0.5","47254","2.497695000","0","241","5000","2.848122000"
"28","14:03:45.064041","100","289","172.26.191.172","5000","2.497713000","48","1","47254","2.848140000"
"29","14:03:45.064045","100","337","172.26.191.172","5000","2.497717000","48","1","47254","2.848144000"
"30","14:03:45.064050","100","385","172.26.191.172","5000","2.497722000","48","1","47254","2.848149000"
"31","14:03:45.564292","72","1","100.64.0.5","47254","2.997964000","0","241","5000","3.348391000"
"32","14:03:45.564325","100","241","172.26.191.172","5000","2.997997000","48","1","47254","3.348424000"
"33","14:03:45.564360","100","433","172.26.191.172","5000","2.998032000","48","1","47254","3.348459000"
"34","14:03:46.064392","64","1","100.64.0.5","47254","3.498064000","0","385","5000","3.848491000"
"35","14:03:46.064432","100","385","172.26.191.172","5000","3.498104000","48","1","47254","3.848531000"
"36","14:03:46.064459","64","1","100.64.0.5","47254","3.498131000","0","385","5000","3.848558000"
"37","14:03:46.064472","100","577","172.26.191.172","5000","3.498144000","48","1","47254","3.848571000"
"38","14:03:46.239981","48",,,,,,,,"4.024080000"
"39","14:03:46.564479","52","1","100.64.0.5","47254","3.998151000","0","577","5000","4.348578000"
"40","14:03:46.564526","100","625","172.26.191.172","5000","3.998198000","48","1","47254","4.348625000"
"41","14:03:46.564537","100","673","172.26.191.172","5000","3.998209000","48","1","47254","4.348636000"
"42","14:03:46.564550","100","721","172.26.191.172","5000","3.998222000","48","1","47254","4.348649000"
"43","14:03:46.564552","100","769","172.26.191.172","5000","3.998224000","48","1","47254","4.348651000"
"44","14:03:46.564565","52","1","100.64.0.5","47254","3.998237000","0","625","5000","4.348664000"
"45","14:03:46.564577","100","817","172.26.191.172","5000","3.998249000","48","1","47254","4.348676000"
"46","14:03:46.564579","100","865","172.26.191.172","5000","3.998251000","48","1","47254","4.348678000"
"47","14:03:47.064303","52","1","100.64.0.5","47254","4.497975000","0","721","5000","4.848402000"
"48","14:03:47.064361","100","913","172.26.191.172","5000","4.498033000","48","1","47254","4.848460000"
"49","14:03:47.064372","100","961","172.26.191.172","5000","4.498044000","48","1","47254","4.848471000"
"50","14:03:47.564127","64","1","100.64.0.5","47254","4.997799000","0","721","5000","5.348226000"
"51","14:03:47.564176","100","721","172.26.191.172","5000","4.997848000","48","1","47254","5.348275000"
"52","14:03:47.564189","100","769","172.26.191.172","5000","4.997861000","48","1","47254","5.348288000"
"53","14:03:48.064114","64","1","100.64.0.5","47254","5.497786000","0","817","5000","5.848213000"
"54","14:03:48.064159","100","817","172.26.191.172","5000","5.497831000","48","1","47254","5.848258000"
"55","14:03:48.064170","100","865","172.26.191.172","5000","5.497842000","48","1","47254","5.848269000"
"56","14:03:48.064182","100","1009","172.26.191.172","5000","5.497854000","48","1","47254","5.848281000"
"57","14:03:48.564312","52","1","100.64.0.5","47254","5.997984000","0","1009","5000","6.348411000"
"58","14:03:48.564365","100","1057","172.26.191.172","5000","5.998037000","48","1","47254","6.348464000"
"59","14:03:48.564377","100","1105","172.26.191.172","5000","5.998049000","48","1","47254","6.348476000"
"60","14:03:48.564388","100","1153","172.26.191.172","5000","5.998060000","48","1","47254","6.348487000"
"61","14:03:48.564390","100","1201","172.26.191.172","5000","5.998062000","48","1","47254","6.348489000"
"62","14:03:49.064391","64","1","100.64.0.5","47254","6.498063000","0","1009","5000","6.848490000"
"63","14:03:49.064424","100","1009","172.26.191.172","5000","6.498096000","48","1","47254","6.848523000"
"64","14:03:49.564528","52","1","100.64.0.5","47254","6.998200000","0","1153","5000","7.348627000"
"65","14:03:49.564571","100","1153","172.26.191.172","5000","6.998243000","48","1","47254","7.348670000"
"66","14:03:49.564581","100","1201","172.26.191.172","5000","6.998253000","48","1","47254","7.348680000"
"67","14:03:49.564593","100","1249","172.26.191.172","5000","6.998265000","48","1","47254","7.348692000"
"68","14:03:50.064363","52","1","100.64.0.5","47254","7.498035000","0","1249","5000","7.848462000"
"69","14:03:50.064398","100","1297","172.26.191.172","5000","7.498070000","48","1","47254","7.848497000"
