frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"1","14:54:47.509668","76",,,,,,,,"0.000000000"
"2","14:54:47.618609","86",,"100.64.0.5",,,,,,"0.108941000"
"3","14:54:47.620661","60","0","172.26.191.172","5000","0.000000000","0","0","33996","0.110993000"
"4","14:54:47.868387","60","0","100.64.0.5","33996","0.247726000","0","1","5000","0.358719000"
"5","14:54:47.868433","52","1","172.26.191.172","5000","0.247772000","0","1","33996","0.358765000"
"6","14:54:47.868781","100","1","172.26.191.172","5000","0.248120000","48","1","33996","0.359113000"
"7","14:54:47.868790","100","49","172.26.191.172","5000","0.248129000","48","1","33996","0.359122000"
"8","14:54:47.868806","100","97","172.26.191.172","5000","0.248145000","48","1","33996","0.359138000"
"9","14:54:47.868809","100","145","172.26.191.172","5000","0.248148000","48","1","33996","0.359141000"
"10","14:54:47.868818","100","193","172.26.191.172","5000","0.248157000","48","1","33996","0.359150000"
"11","14:54:47.868820","100","241","172.26.191.172","5000","0.248159000","48","1","33996","0.359152000"
"12","14:54:47.868829","100","289","172.26.191.172","5000","0.248168000","48","1","33996","0.359161000"
"13","14:54:47.868831","100","337","172.26.191.172","5000","0.248170000","48","1","33996","0.359163000"
"14","14:54:47.868842","100","385","172.26.191.172","5000","0.248181000","48","1","33996","0.359174000"
"15","14:54:47.868844","100","433","172.26.191.172","5000","0.248183000","48","1","33996","0.359176000"
"16","14:54:48.117932","52","1","100.64.0.5","33996","0.497271000","0","97","5000","0.608264000"
"17","14:54:48.117970","100","481","172.26.191.172","5000","0.497309000","48","1","33996","0.608302000"
"18","14:54:48.117980","100","529","172.26.191.172","5000","0.497319000","48","1","33996","0.608312000"
"19","14:54:48.117990","100","577","172.26.191.172","5000","0.497329000","48","1","33996","0.608322000"
"20","14:54:48.117992","100","625","172.26.191.172","5000","0.497331000","48","1","33996","0.608324000"
"21","14:54:48.118003","52","1","100.64.0.5","33996","0.497342000","0","193","5000","0.608335000"
"22","14:54:48.118013","100","673","172.26.191.172","5000","0.497352000","48","1","33996","0.608345000"
"23","14:54:48.118014","100","721","172.26.191.172","5000","0.497353000","48","1","33996","0.608346000"
"24","14:54:48.118021","100","769","172.26.191.172","5000","0.497360000","48","1","33996","0.608353000"
"25","14:54:48.118022","100","817","172.26.191.172","5000","0.497361000","48","1","33996","0.608354000"
"26","14:54:48.118028","52","1","100.64.0.5","33996","0.497367000","0","241","5000","0.608360000"
"27","14:54:48.118037","100","865","172.26.191.172","5000","0.497376000","48","1","33996","0.608369000"
"28","14:54:48.118038","100","913","172.26.191.172","5000","0.497377000","48","1","33996","0.608370000"
"29","14:54:48.297512","76",,,,,,,,"0.787844000"
"30","14:54:48.367956","64","1","100.64.0.5","33996","0.747295000","0","241","5000","0.858288000"
"31","14:54:48.367987","100","241","172.26.191.172","5000","0.747326000","48","1","33996","0.858319000"
"32","14:54:48.368012","64","1","100.64.0.5","33996","0.747351000","0","241","5000","0.858344000"
"33","14:54:48.368025","64","1","100.64.0.5","33996","0.747364000","0","241","5000","0.858357000"
"34","14:54:48.368038","100","289","172.26.191.172","5000","0.747377000","48","1","33996","0.858370000"
"35","14:54:48.368040","100","337","172.26.191.172","5000","0.747379000","48","1","33996","0.858372000"
"36","14:54:48.368047","64","1","100.64.0.5","33996","0.747386000","0","241","5000","0.858379000"
"37","14:54:48.368055","100","385","172.26.191.172","5000","0.747394000","48","1","33996","0.858387000"
"38","14:54:48.618596","64","1","100.64.0.5","33996","0.997935000","0","385","5000","1.108928000"
"39","14:54:48.618631","100","433","172.26.191.172","5000","0.997970000","48","1","33996","1.108963000"
"40","14:54:48.618645","100","817","172.26.191.172","5000","0.997984000","48","1","33996","1.108977000"
"41","14:54:48.618655","100","865","172.26.191.172","5000","0.997994000","48","1","33996","1.108987000"
"42","14:54:48.618656","100","913","172.26.191.172","5000","0.997995000","48","1","33996","1.108988000"
"43","14:54:48.618665","100","961","172.26.191.172","5000","0.998004000","48","1","33996","1.108997000"
"44","14:54:48.618667","100","1009","172.26.191.172","5000","0.998006000","48","1","33996","1.108999000"
"45","14:54:48.618695","64","1","100.64.0.5","33996","0.998034000","0","433","5000","1.109027000"
"46","14:54:48.618704","100","1057","172.26.191.172","5000","0.998043000","48","1","33996","1.109036000"
"47","14:54:48.868474","52","1","100.64.0.5","33996","1.247813000","0","817","5000","1.358806000"
"48","14:54:48.868510","100","1105","172.26.191.172","5000","1.247849000","48","1","33996","1.358842000"
"49","14:54:48.868531","52","1","100.64.0.5","33996","1.247870000","0","961","5000","1.358863000"
"50","14:54:48.868547","100","1153","172.26.191.172","5000","1.247886000","48","1","33996","1.358879000"
"51","14:54:48.868549","100","1201","172.26.191.172","5000","1.247888000","48","1","33996","1.358881000"
"52","14:54:48.868556","52","1","100.64.0.5","33996","1.247895000","0","1057","5000","1.358888000"
"53","14:54:48.868565","100","1249","172.26.191.172","5000","1.247904000","48","1","33996","1.358897000"
"54","14:54:48.868567","100","1297","172.26.191.172","5000","1.247906000","48","1","33996","1.358899000"
"55","14:54:48.868573","52","1","100.64.0.5","33996","1.247912000","0","1105","5000","1.358905000"
"56","14:54:48.868582","100","1345","172.26.191.172","5000","1.247921000","48","1","33996","1.358914000"
"57","14:54:48.868583","100","1393","172.26.191.172","5000","1.247922000","48","1","33996","1.358915000"
"58","14:54:49.118349","52","1","100.64.0.5","33996","1.497688000","0","1249","5000","1.608681000"
"59","14:54:49.118387","100","1441","172.26.191.172","5000","1.497726000","48","1","33996","1.608719000"
"60","14:54:49.118397","100","1489","172.26.191.172","5000","1.497736000","48","1","33996","1.608729000"
"61","14:54:49.118409","100","1537","172.26.191.172","5000","1.497748000","48","1","33996","1.608741000"
"62","14:54:49.118411","100","1585","172.26.191.172","5000","1.497750000","48","1","33996","1.608743000"
"63","14:54:49.118423","52","1","100.64.0.5","33996","1.497762000","0","1345","5000","1.608755000"
"64","14:54:49.118434","100","1633","172.26.191.172","5000","1.497773000","48","1","33996","1.608766000"
"65","14:54:49.118436","100","1681","172.26.191.172","5000","1.497775000","48","1","33996","1.608768000"
"66","14:54:49.118443","52","1","100.64.0.5","33996","1.497782000","0","1441","5000","1.608775000"
"67","14:54:49.118452","100","1729","172.26.191.172","5000","1.497791000","48","1","33996","1.608784000"
"68","14:54:49.118454","100","1777","172.26.191.172","5000","1.497793000","48","1","33996","1.608786000"
"69","14:54:49.368563","52","1","100.64.0.5","33996","1.747902000","0","1777","5000","1.858895000"
"70","14:54:49.368606","100","1825","172.26.191.172","5000","1.747945000","48","1","33996","1.858938000"
"71","14:54:49.368616","100","1873","172.26.191.172","5000","1.747955000","48","1","33996","1.858948000"
"72","14:54:49.368628","100","1921","172.26.191.172","5000","1.747967000","48","1","33996","1.858960000"
"73","14:54:49.368630","100","1969","172.26.191.172","5000","1.747969000","48","1","33996","1.858962000"
"74","14:54:49.368637","100","2017","172.26.191.172","5000","1.747976000","48","1","33996","1.858969000"
"75","14:54:49.368638","100","2065","172.26.191.172","5000","1.747977000","48","1","33996","1.858970000"
"76","14:54:49.368644","100","2113","172.26.191.172","5000","1.747983000","48","1","33996","1.858976000"
"77","14:54:49.368646","100","2161","172.26.191.172","5000","1.747985000","48","1","33996","1.858978000"
"78","14:54:49.618671","64","1","100.64.0.5","33996","1.998010000","0","1777","5000","2.109003000"
