frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"1","14:56:53.707182","86",,"100.64.0.5",,,,,,"0.000000000"
"2","14:56:53.707901","60","0","172.26.191.172","5000","0.000000000","0","0","56224","0.000719000"
"3","14:56:53.957364","60","0","100.64.0.5","56224","0.249463000","0","1","5000","0.250182000"
"4","14:56:53.957390","52","1","172.26.191.172","5000","0.249489000","0","1","56224","0.250208000"
"5","14:56:53.957565","100","1","172.26.191.172","5000","0.249664000","48","1","56224","0.250383000"
"6","14:56:53.957569","100","49","172.26.191.172","5000","0.249668000","48","1","56224","0.250387000"
"7","14:56:53.957575","100","97","172.26.191.172","5000","0.249674000","48","1","56224","0.250393000"
"8","14:56:53.957575","100","145","172.26.191.172","5000","0.249674000","48","1","56224","0.250393000"
"9","14:56:53.957579","100","193","172.26.191.172","5000","0.249678000","48","1","56224","0.250397000"
"10","14:56:53.957580","100","241","172.26.191.172","5000","0.249679000","48","1","56224","0.250398000"
"11","14:56:53.957583","100","289","172.26.191.172","5000","0.249682000","48","1","56224","0.250401000"
"12","14:56:53.957583","100","337","172.26.191.172","5000","0.249682000","48","1","56224","0.250401000"
"13","14:56:53.957586","100","385","172.26.191.172","5000","0.249685000","48","1","56224","0.250404000"
"14","14:56:54.089963","76",,,,,,,,"0.382781000"
"15","14:56:54.207037","52","1","100.64.0.5","56224","0.499136000","0","97","5000","0.499855000"
"16","14:56:54.207086","100","433","172.26.191.172","5000","0.499185000","48","1","56224","0.499904000"
"17","14:56:54.207096","100","481","172.26.191.172","5000","0.499195000","48","1","56224","0.499914000"
"18","14:56:54.207098","100","529","172.26.191.172","5000","0.499197000","48","1","56224","0.499916000"
"19","14:56:54.207099","100","577","172.26.191.172","5000","0.499198000","48","1","56224","0.499917000"
"20","14:56:54.207101","100","625","172.26.191.172","5000","0.499200000","48","1","56224","0.499919000"
"21","14:56:54.207102","100","673","172.26.191.172","5000","0.499201000","48","1","56224","0.499920000"
"22","14:56:54.207103","100","721","172.26.191.172","5000","0.499202000","48","1","56224","0.499921000"
"23","14:56:54.207126","100","769","172.26.191.172","5000","0.499225000","48","1","56224","0.499944000"
"24","14:56:54.207128","100","817","172.26.191.172","5000","0.499227000","48","1","56224","0.499946000"
"25","14:56:54.207129","100","865","172.26.191.172","5000","0.499228000","48","1","56224","0.499947000"
"26","14:56:54.207130","100","913","172.26.191.172","5000","0.499229000","48","1","56224","0.499948000"
"27","14:56:54.207132","100","961","172.26.191.172","5000","0.499231000","48","1","56224","0.499950000"
"28","14:56:54.207133","100","1009","172.26.191.172","5000","0.499232000","48","1","56224","0.499951000"
"29","14:56:54.207135","100","1057","172.26.191.172","5000","0.499234000","48","1","56224","0.499953000"
"30","14:56:54.207148","100","1105","172.26.191.172","5000","0.499247000","48","1","56224","0.499966000"
"31","14:56:54.207149","100","1153","172.26.191.172","5000","0.499248000","48","1","56224","0.499967000"
"32","14:56:54.207150","100","1201","172.26.191.172","5000","0.499249000","48","1","56224","0.499968000"
"33","14:56:54.207152","100","1249","172.26.191.172","5000","0.499251000","48","1","56224","0.499970000"
"34","14:56:54.207153","100","1297","172.26.191.172","5000","0.499252000","48","1","56224","0.499971000"
"35","14:56:54.207154","100","1345","172.26.191.172","5000","0.499253000","48","1","56224","0.499972000"
"36","14:56:54.207155","100","1393","172.26.191.172","5000","0.499254000","48","1","56224","0.499973000"
"37","14:56:54.207167","100","1441","172.26.191.172","5000","0.499266000","48","1","56224","0.499985000"
"38","14:56:54.207168","100","1489","172.26.191.172","5000","0.499267000","48","1","56224","0.499986000"
"39","14:56:54.207169","100","1537","172.26.191.172","5000","0.499268000","48","1","56224","0.499987000"
"40","14:56:54.207170","100","1585","172.26.191.172","5000","0.499269000","48","1","56224","0.499988000"
"41","14:56:54.207172","100","1633","172.26.191.172","5000","0.499271000","48","1","56224","0.499990000"
"42","14:56:54.207173","100","1681","172.26.191.172","5000","0.499272000","48","1","56224","0.499991000"
"43","14:56:54.207174","100","1729","172.26.191.172","5000","0.499273000","48","1","56224","0.499992000"
"44","14:56:54.207186","100","1777","172.26.191.172","5000","0.499285000","48","1","56224","0.500004000"
"45","14:56:54.207187","100","1825","172.26.191.172","5000","0.499286000","48","1","56224","0.500005000"
"46","14:56:54.207188","100","1873","172.26.191.172","5000","0.499287000","48","1","56224","0.500006000"
"47","14:56:54.207189","100","1921","172.26.191.172","5000","0.499288000","48","1","56224","0.500007000"
"48","14:56:54.207190","100","1969","172.26.191.172","5000","0.499289000","48","1","56224","0.500008000"
"49","14:56:54.207191","100","2017","172.26.191.172","5000","0.499290000","48","1","56224","0.500009000"
"50","14:56:54.207193","100","2065","172.26.191.172","5000","0.499292000","48","1","56224","0.500011000"
"51","14:56:54.207205","100","2113","172.26.191.172","5000","0.499304000","48","1","56224","0.500023000"
"52","14:56:54.207206","100","2161","172.26.191.172","5000","0.499305000","48","1","56224","0.500024000"
"53","14:56:54.207207","100","2209","172.26.191.172","5000","0.499306000","48","1","56224","0.500025000"
"54","14:56:54.207208","100","2257","172.26.191.172","5000","0.499307000","48","1","56224","0.500026000"
"55","14:56:54.207209","100","2305","172.26.191.172","5000","0.499308000","48","1","56224","0.500027000"
"56","14:56:54.207210","100","2353","172.26.191.172","5000","0.499309000","48","1","56224","0.500028000"
"57","14:56:54.207211","100","2401","172.26.191.172","5000","0.499310000","48","1","56224","0.500029000"
"58","14:56:54.207224","100","2449","172.26.191.172","5000","0.499323000","48","1","56224","0.500042000"
"59","14:56:54.207225","100","2497","172.26.191.172","5000","0.499324000","48","1","56224","0.500043000"
"60","14:56:54.207226","100","2545","172.26.191.172","5000","0.499325000","48","1","56224","0.500044000"
"61","14:56:54.207227","100","2593","172.26.191.172","5000","0.499326000","48","1","56224","0.500045000"
"62","14:56:54.207228","100","2641","172.26.191.172","5000","0.499327000","48","1","56224","0.500046000"
"63","14:56:54.207229","100","2689","172.26.191.172","5000","0.499328000","48","1","56224","0.500047000"
"64","14:56:54.207230","100","2737","172.26.191.172","5000","0.499329000","48","1","56224","0.500048000"
"65","14:56:54.207242","100","2785","172.26.191.172","5000","0.499341000","48","1","56224","0.500060000"
"66","14:56:54.207243","100","2833","172.26.191.172","5000","0.499342000","48","1","56224","0.500061000"
