frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"1","15:02:32.254166","86",,"100.64.0.5",,,,,,"0.000000000"
"2","15:02:32.256201","60","0","172.26.191.172","5000","0.000000000","0","0","39720","0.002035000"
"3","15:02:32.503059","60","0","100.64.0.5","39720","0.246858000","0","1","5000","0.248893000"
"4","15:02:32.503101","52","1","172.26.191.172","5000","0.246900000","0","1","39720","0.248935000"
"5","15:02:32.503358","100","1","172.26.191.172","5000","0.247157000","48","1","39720","0.249192000"
"6","15:02:32.503369","100","49","172.26.191.172","5000","0.247168000","48","1","39720","0.249203000"
"7","15:02:32.503379","100","97","172.26.191.172","5000","0.247178000","48","1","39720","0.249213000"
"8","15:02:32.503380","100","145","172.26.191.172","5000","0.247179000","48","1","39720","0.249214000"
"9","15:02:32.503386","100","193","172.26.191.172","5000","0.247185000","48","1","39720","0.249220000"
"10","15:02:32.503387","100","241","172.26.191.172","5000","0.247186000","48","1","39720","0.249221000"
"11","15:02:32.503392","100","289","172.26.191.172","5000","0.247191000","48","1","39720","0.249226000"
"12","15:02:32.503393","100","337","172.26.191.172","5000","0.247192000","48","1","39720","0.249227000"
"13","15:02:32.503398","100","385","172.26.191.172","5000","0.247197000","48","1","39720","0.249232000"
"14","15:02:32.503399","100","433","172.26.191.172","5000","0.247198000","48","1","39720","0.249233000"
"15","15:02:32.553984","76",,,,,,,,"0.299818000"
"16","15:02:32.753346","52","1","100.64.0.5","39720","0.497145000","0","97","5000","0.499180000"
"17","15:02:32.753387","100","481","172.26.191.172","5000","0.497186000","48","1","39720","0.499221000"
"18","15:02:32.753396","100","529","172.26.191.172","5000","0.497195000","48","1","39720","0.499230000"
"19","15:02:32.753408","100","577","172.26.191.172","5000","0.497207000","48","1","39720","0.499242000"
"20","15:02:32.753409","100","625","172.26.191.172","5000","0.497208000","48","1","39720","0.499243000"
"21","15:02:32.753420","52","1","100.64.0.5","39720","0.497219000","0","193","5000","0.499254000"
"22","15:02:32.753431","100","673","172.26.191.172","5000","0.497230000","48","1","39720","0.499265000"
"23","15:02:32.753432","100","721","172.26.191.172","5000","0.497231000","48","1","39720","0.499266000"
"24","15:02:32.753439","100","769","172.26.191.172","5000","0.497238000","48","1","39720","0.499273000"
"25","15:02:32.753440","100","817","172.26.191.172","5000","0.497239000","48","1","39720","0.499274000"
"26","15:02:32.753446","52","1","100.64.0.5","39720","0.497245000","0","289","5000","0.499280000"
"27","15:02:32.753456","100","865","172.26.191.172","5000","0.497255000","48","1","39720","0.499290000"
"28","15:02:32.753457","100","913","172.26.191.172","5000","0.497256000","48","1","39720","0.499291000"
"29","15:02:32.753463","100","961","172.26.191.172","5000","0.497262000","48","1","39720","0.499297000"
"30","15:02:32.753464","100","1009","172.26.191.172","5000","0.497263000","48","1","39720","0.499298000"
"31","15:02:32.809986","76",,,,,,,,"0.555820000"
"32","15:02:33.003124","64","1","100.64.0.5","39720","0.746923000","0","289","5000","0.748958000"
"33","15:02:33.003163","100","289","172.26.191.172","5000","0.746962000","48","1","39720","0.748997000"
"34","15:02:33.003173","100","337","172.26.191.172","5000","0.746972000","48","1","39720","0.749007000"
"35","15:02:33.003188","64","1","100.64.0.5","39720","0.746987000","0","289","5000","0.749022000"
"36","15:02:33.003201","100","385","172.26.191.172","5000","0.747000000","48","1","39720","0.749035000"
