frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"1","15:13:32.593376","86",,"100.64.0.5",,,,,,"0.000000000"
"2","15:13:32.595235","60","0","172.26.191.172","5000","0.000000000","0","0","35446","0.001859000"
"3","15:13:32.714171","76",,,,,,,,"0.120795000"
"4","15:13:32.717360","60","0","100.64.0.5","35446","0.122125000","0","1","5000","0.123984000"
"5","15:13:32.717409","52","1","172.26.191.172","5000","0.122174000","0","1","35446","0.124033000"
"6","15:13:32.717764","100","1","172.26.191.172","5000","0.122529000","48","1","35446","0.124388000"
"7","15:13:32.717773","100","49","172.26.191.172","5000","0.122538000","48","1","35446","0.124397000"
"8","15:13:32.717790","100","97","172.26.191.172","5000","0.122555000","48","1","35446","0.124414000"
"9","15:13:32.717792","100","145","172.26.191.172","5000","0.122557000","48","1","35446","0.124416000"
"10","15:13:32.717799","100","193","172.26.191.172","5000","0.122564000","48","1","35446","0.124423000"
"11","15:13:32.717801","100","241","172.26.191.172","5000","0.122566000","48","1","35446","0.124425000"
"12","15:13:32.717808","100","289","172.26.191.172","5000","0.122573000","48","1","35446","0.124432000"
"13","15:13:32.717809","100","337","172.26.191.172","5000","0.122574000","48","1","35446","0.124433000"
"14","15:13:32.717816","100","385","172.26.191.172","5000","0.122581000","48","1","35446","0.124440000"
"15","15:13:32.717818","100","433","172.26.191.172","5000","0.122583000","48","1","35446","0.124442000"
"16","15:13:32.843766","52","1","100.64.0.5","35446","0.248531000","0","97","5000","0.250390000"
"17","15:13:32.843809","100","481","172.26.191.172","5000","0.248574000","48","1","35446","0.250433000"
"18","15:13:32.843819","100","529","172.26.191.172","5000","0.248584000","48","1","35446","0.250443000"
"19","15:13:32.843831","100","577","172.26.191.172","5000","0.248596000","48","1","35446","0.250455000"
"20","15:13:32.843833","100","625","172.26.191.172","5000","0.248598000","48","1","35446","0.250457000"
"21","15:13:32.843845","52","1","100.64.0.5","35446","0.248610000","0","193","5000","0.250469000"
"22","15:13:32.843858","100","673","172.26.191.172","5000","0.248623000","48","1","35446","0.250482000"
"23","15:13:32.843859","100","721","172.26.191.172","5000","0.248624000","48","1","35446","0.250483000"
"24","15:13:32.843868","100","769","172.26.191.172","5000","0.248633000","48","1","35446","0.250492000"
"25","15:13:32.843870","100","817","172.26.191.172","5000","0.248635000","48","1","35446","0.250494000"
"26","15:13:32.843877","52","1","100.64.0.5","35446","0.248642000","0","289","5000","0.250501000"
"27","15:13:32.843888","100","865","172.26.191.172","5000","0.248653000","48","1","35446","0.250512000"
"28","15:13:32.843890","100","913","172.26.191.172","5000","0.248655000","48","1","35446","0.250514000"
"29","15:13:32.843898","100","961","172.26.191.172","5000","0.248663000","48","1","35446","0.250522000"
"30","15:13:32.843899","100","1009","172.26.191.172","5000","0.248664000","48","1","35446","0.250523000"
"31","15:13:32.843905","52","1","100.64.0.5","35446","0.248670000","0","385","5000","0.250529000"
"32","15:13:32.843916","100","1057","172.26.191.172","5000","0.248681000","48","1","35446","0.250540000"
"33","15:13:32.843919","100","1105","172.26.191.172","5000","0.248684000","48","1","35446","0.250543000"
"34","15:13:32.843926","100","1153","172.26.191.172","5000","0.248691000","48","1","35446","0.250550000"
"35","15:13:32.843927","100","1201","172.26.191.172","5000","0.248692000","48","1","35446","0.250551000"
"36","15:13:32.843934","52","1","100.64.0.5","35446","0.248699000","0","481","5000","0.250558000"
"37","15:13:32.843944","100","1249","172.26.191.172","5000","0.248709000","48","1","35446","0.250568000"
"38","15:13:32.843945","100","1297","172.26.191.172","5000","0.248710000","48","1","35446","0.250569000"
"39","15:13:32.843962","100","1345","172.26.191.172","5000","0.248727000","48","1","35446","0.250586000"
"40","15:13:32.843963","100","1393","172.26.191.172","5000","0.248728000","48","1","35446","0.250587000"
"41","15:13:32.968276","52","1","100.64.0.5","35446","0.373041000","0","577","5000","0.374900000"
"42","15:13:32.968316","100","1441","172.26.191.172","5000","0.373081000","48","1","35446","0.374940000"
"43","15:13:32.968325","100","1489","172.26.191.172","5000","0.373090000","48","1","35446","0.374949000"
"44","15:13:32.968354","100","1537","172.26.191.172","5000","0.373119000","48","1","35446","0.374978000"
"45","15:13:32.968356","100","1585","172.26.191.172","5000","0.373121000","48","1","35446","0.374980000"
