frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"1","15:23:35.689932","86",,"100.64.0.5",,,,,,"0.000000000"
"2","15:23:35.691754","60","0","172.26.191.172","5000","0.000000000","0","0","54978","0.001822000"
"3","15:23:35.780393","60","0","100.64.0.5","54978","0.088639000","0","1","5000","0.090461000"
"4","15:23:35.780441","52","1","172.26.191.172","5000","0.088687000","0","1","54978","0.090509000"
"5","15:23:35.780787","100","1","172.26.191.172","5000","0.089033000","48","1","54978","0.090855000"
"6","15:23:35.780795","100","49","172.26.191.172","5000","0.089041000","48","1","54978","0.090863000"
"7","15:23:35.780812","100","97","172.26.191.172","5000","0.089058000","48","1","54978","0.090880000"
"8","15:23:35.780815","100","145","172.26.191.172","5000","0.089061000","48","1","54978","0.090883000"
"9","15:23:35.780824","100","193","172.26.191.172","5000","0.089070000","48","1","54978","0.090892000"
"10","15:23:35.780826","100","241","172.26.191.172","5000","0.089072000","48","1","54978","0.090894000"
"11","15:23:35.780835","100","289","172.26.191.172","5000","0.089081000","48","1","54978","0.090903000"
"12","15:23:35.780837","100","337","172.26.191.172","5000","0.089083000","48","1","54978","0.090905000"
"13","15:23:35.780847","100","385","172.26.191.172","5000","0.089093000","48","1","54978","0.090915000"
"14","15:23:35.780849","100","433","172.26.191.172","5000","0.089095000","48","1","54978","0.090917000"
"15","15:23:35.870937","52","1","100.64.0.5","54978","0.179183000","0","97","5000","0.181005000"
"16","15:23:35.870980","100","481","172.26.191.172","5000","0.179226000","48","1","54978","0.181048000"
"17","15:23:35.870991","100","529","172.26.191.172","5000","0.179237000","48","1","54978","0.181059000"
"18","15:23:35.871002","100","577","172.26.191.172","5000","0.179248000","48","1","54978","0.181070000"
"19","15:23:35.871004","100","625","172.26.191.172","5000","0.179250000","48","1","54978","0.181072000"
"20","15:23:35.871016","52","1","100.64.0.5","54978","0.179262000","0","193","5000","0.181084000"
"21","15:23:35.871028","100","673","172.26.191.172","5000","0.179274000","48","1","54978","0.181096000"
"22","15:23:35.871030","100","721","172.26.191.172","5000","0.179276000","48","1","54978","0.181098000"
"23","15:23:35.871037","100","769","172.26.191.172","5000","0.179283000","48","1","54978","0.181105000"
"24","15:23:35.871039","100","817","172.26.191.172","5000","0.179285000","48","1","54978","0.181107000"
"25","15:23:35.871046","52","1","100.64.0.5","54978","0.179292000","0","289","5000","0.181114000"
"26","15:23:35.871056","100","865","172.26.191.172","5000","0.179302000","48","1","54978","0.181124000"
"27","15:23:35.871057","100","913","172.26.191.172","5000","0.179303000","48","1","54978","0.181125000"
"28","15:23:35.871066","100","961","172.26.191.172","5000","0.179312000","48","1","54978","0.181134000"
"29","15:23:35.871068","100","1009","172.26.191.172","5000","0.179314000","48","1","54978","0.181136000"
"30","15:23:35.871074","52","1","100.64.0.5","54978","0.179320000","0","385","5000","0.181142000"
"31","15:23:35.871085","100","1057","172.26.191.172","5000","0.179331000","48","1","54978","0.181153000"
"32","15:23:35.871086","100","1105","172.26.191.172","5000","0.179332000","48","1","54978","0.181154000"
"33","15:23:35.871094","100","1153","172.26.191.172","5000","0.179340000","48","1","54978","0.181162000"
"34","15:23:35.871095","100","1201","172.26.191.172","5000","0.179341000","48","1","54978","0.181163000"
"35","15:23:35.871102","52","1","100.64.0.5","54978","0.179348000","0","481","5000","0.181170000"
"36","15:23:35.871113","100","1249","172.26.191.172","5000","0.179359000","48","1","54978","0.181181000"
"37","15:23:35.871114","100","1297","172.26.191.172","5000","0.179360000","48","1","54978","0.181182000"
"38","15:23:35.871130","100","1345","172.26.191.172","5000","0.179376000","48","1","54978","0.181198000"
"39","15:23:35.871131","100","1393","172.26.191.172","5000","0.179377000","48","1","54978","0.181199000"
"40","15:23:35.960641","52","1","100.64.0.5","54978","0.268887000","0","577","5000","0.270709000"
"41","15:23:35.960682","100","1441","172.26.191.172","5000","0.268928000","48","1","54978","0.270750000"
"42","15:23:35.960693","100","1489","172.26.191.172","5000","0.268939000","48","1","54978","0.270761000"
"43","15:23:35.960705","100","1537","172.26.191.172","5000","0.268951000","48","1","54978","0.270773000"
"44","15:23:35.960706","100","1585","172.26.191.172","5000","0.268952000","48","1","54978","0.270774000"
"45","15:23:35.960719","52","1","100.64.0.5","54978","0.268965000","0","673","5000","0.270787000"
"46","15:23:35.960730","100","1633","172.26.191.172","5000","0.268976000","48","1","54978","0.270798000"
"47","15:23:35.960732","100","1681","172.26.191.172","5000","0.268978000","48","1","54978","0.270800000"
"48","15:23:35.960740","100","1729","172.26.191.172","5000","0.268986000","48","1","54978","0.270808000"
"49","15:23:35.960741","100","1777","172.26.191.172","5000","0.268987000","48","1","54978","0.270809000"
"50","15:23:35.960749","52","1","100.64.0.5","54978","0.268995000","0","769","5000","0.270817000"
"51","15:23:35.960759","100","1825","172.26.191.172","5000","0.269005000","48","1","54978","0.270827000"
"52","15:23:35.960761","100","1873","172.26.191.172","5000","0.269007000","48","1","54978","0.270829000"
"53","15:23:35.960768","100","1921","172.26.191.172","5000","0.269014000","48","1","54978","0.270836000"
"54","15:23:35.960769","100","1969","172.26.191.172","5000","0.269015000","48","1","54978","0.270837000"
"55","15:23:35.960776","52","1","100.64.0.5","54978","0.269022000","0","865","5000","0.270844000"
"56","15:23:35.960785","100","2017","172.26.191.172","5000","0.269031000","48","1","54978","0.270853000"
"57","15:23:35.960786","100","2065","172.26.191.172","5000","0.269032000","48","1","54978","0.270854000"
"58","15:23:35.960793","100","2113","172.26.191.172","5000","0.269039000","48","1","54978","0.270861000"
"59","15:23:35.960794","100","2161","172.26.191.172","5000","0.269040000","48","1","54978","0.270862000"
"60","15:23:35.960802","52","1","100.64.0.5","54978","0.269048000","0","961","5000","0.270870000"
"61","15:23:35.960810","100","2209","172.26.191.172","5000","0.269056000","48","1","54978","0.270878000"
"62","15:23:35.960812","100","2257","172.26.191.172","5000","0.269058000","48","1","54978","0.270880000"
"63","15:23:35.960818","100","2305","172.26.191.172","5000","0.269064000","48","1","54978","0.270886000"
"64","15:23:35.960820","100","2353","172.26.191.172","5000","0.269066000","48","1","54978","0.270888000"
"65","15:23:35.960826","52","1","100.64.0.5","54978","0.269072000","0","1057","5000","0.270894000"
"66","15:23:35.960836","100","2401","172.26.191.172","5000","0.269082000","48","1","54978","0.270904000"
"67","15:23:35.960837","100","2449","172.26.191.172","5000","0.269083000","48","1","54978","0.270905000"
"68","15:23:35.960844","100","2497","172.26.191.172","5000","0.269090000","48","1","54978","0.270912000"
"69","15:23:35.960847","100","2545","172.26.191.172","5000","0.269093000","48","1","54978","0.270915000"
"70","15:23:35.960853","52","1","100.64.0.5","54978","0.269099000","0","1153","5000","0.270921000"
"71","15:23:35.960863","100","2593","172.26.191.172","5000","0.269109000","48","1","54978","0.270931000"
"72","15:23:35.960864","100","2641","172.26.191.172","5000","0.269110000","48","1","54978","0.270932000"
"73","15:23:35.960879","100","2689","172.26.191.172","5000","0.269125000","48","1","54978","0.270947000"
"74","15:23:35.960882","100","2737","172.26.191.172","5000","0.269128000","48","1","54978","0.270950000"
"75","15:23:35.977531","76",,,,,,,,"0.287599000"
"76","15:23:35.991874","52","1","100.64.0.5","54978","0.300120000","0","1249","5000","0.301942000"
"77","15:23:35.991917","100","2785","172.26.191.172","5000","0.300163000","48","1","54978","0.301985000"
"78","15:23:35.991927","100","2833","172.26.191.172","5000","0.300173000","48","1","54978","0.301995000"
"79","15:23:35.991939","100","2881","172.26.191.172","5000","0.300185000","48","1","54978","0.302007000"
"80","15:23:35.991940","100","2929","172.26.191.172","5000","0.300186000","48","1","54978","0.302008000"
"81","15:23:35.991952","52","1","100.64.0.5","54978","0.300198000","0","1345","5000","0.302020000"
"82","15:23:35.991965","100","2977","172.26.191.172","5000","0.300211000","48","1","54978","0.302033000"
"83","15:23:35.991966","100","3025","172.26.191.172","5000","0.300212000","48","1","54978","0.302034000"
"84","15:23:35.991974","100","3073","172.26.191.172","5000","0.300220000","48","1","54978","0.302042000"
"85","15:23:35.991975","100","3121","172.26.191.172","5000","0.300221000","48","1","54978","0.302043000"
"86","15:23:35.991982","52","1","100.64.0.5","54978","0.300228000","0","1441","5000","0.302050000"
"87","15:23:35.991992","100","3169","172.26.191.172","5000","0.300238000","48","1","54978","0.302060000"
"88","15:23:35.991994","100","3217","172.26.191.172","5000","0.300240000","48","1","54978","0.302062000"
"89","15:23:35.992001","100","3265","172.26.191.172","5000","0.300247000","48","1","54978","0.302069000"
"90","15:23:35.992003","100","3313","172.26.191.172","5000","0.300249000","48","1","54978","0.302071000"
"91","15:23:36.052265","52","1","100.64.0.5","54978","0.360511000","0","1537","5000","0.362333000"
"92","15:23:36.052302","100","3361","172.26.191.172","5000","0.360548000","48","1","54978","0.362370000"
"93","15:23:36.052312","100","3409","172.26.191.172","5000","0.360558000","48","1","54978","0.362380000"
"94","15:23:36.052322","100","3457","172.26.191.172","5000","0.360568000","48","1","54978","0.362390000"
"95","15:23:36.052324","100","3505","172.26.191.172","5000","0.360570000","48","1","54978","0.362392000"
"96","15:23:36.052367","52","1","100.64.0.5","54978","0.360613000","0","2113","5000","0.362435000"
"97","15:23:36.052384","100","3553","172.26.191.172","5000","0.360630000","48","1","54978","0.362452000"
"98","15:23:36.052385","100","3601","172.26.191.172","5000","0.360631000","48","1","54978","0.362453000"
"99","15:23:36.052393","100","3649","172.26.191.172","5000","0.360639000","48","1","54978","0.362461000"
"100","15:23:36.052394","100","3697","172.26.191.172","5000","0.360640000","48","1","54978","0.362462000"
"101","15:23:36.052401","100","3745","172.26.191.172","5000","0.360647000","48","1","54978","0.362469000"
"102","15:23:36.052402","100","3793","172.26.191.172","5000","0.360648000","48","1","54978","0.362470000"
"103","15:23:36.052408","100","3841","172.26.191.172","5000","0.360654000","48","1","54978","0.362476000"
"104","15:23:36.052409","100","3889","172.26.191.172","5000","0.360655000","48","1","54978","0.362477000"
"105","15:23:36.052416","100","3937","172.26.191.172","5000","0.360662000","48","1","54978","0.362484000"
"106","15:23:36.052417","100","3985","172.26.191.172","5000","0.360663000","48","1","54978","0.362485000"
"107","15:23:36.052424","100","4033","172.26.191.172","5000","0.360670000","48","1","54978","0.362492000"
"108","15:23:36.052425","100","4081","172.26.191.172","5000","0.360671000","48","1","54978","0.362493000"
"109","15:23:36.052431","100","4129","172.26.191.172","5000","0.360677000","48","1","54978","0.362499000"
"110","15:23:36.052432","100","4177","172.26.191.172","5000","0.360678000","48","1","54978","0.362500000"
"111","15:23:36.052438","100","4225","172.26.191.172","5000","0.360684000","48","1","54978","0.362506000"
"112","15:23:36.052439","100","4273","172.26.191.172","5000","0.360685000","48","1","54978","0.362507000"
"113","15:23:36.052445","100","4321","172.26.191.172","5000","0.360691000","48","1","54978","0.362513000"
"114","15:23:36.052446","100","4369","172.26.191.172","5000","0.360692000","48","1","54978","0.362514000"
"115","15:23:36.052452","100","4417","172.26.191.172","5000","0.360698000","48","1","54978","0.362520000"
"116","15:23:36.052453","100","4465","172.26.191.172","5000","0.360699000","48","1","54978","0.362521000"
