frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"1","15:24:11.390657","86",,"100.64.0.5",,,,,,"0.000000000"
"2","15:24:11.392584","60","0","172.26.191.172","5000","0.000000000","0","0","43536","0.001927000"
"3","15:24:11.480933","60","0","100.64.0.5","43536","0.088349000","0","1","5000","0.090276000"
"4","15:24:11.480981","52","1","172.26.191.172","5000","0.088397000","0","1","43536","0.090324000"
"5","15:24:11.481342","100","1","172.26.191.172","5000","0.088758000","48","1","43536","0.090685000"
"6","15:24:11.481351","100","49","172.26.191.172","5000","0.088767000","48","1","43536","0.090694000"
"7","15:24:11.481367","100","97","172.26.191.172","5000","0.088783000","48","1","43536","0.090710000"
"8","15:24:11.481369","100","145","172.26.191.172","5000","0.088785000","48","1","43536","0.090712000"
"9","15:24:11.481376","100","193","172.26.191.172","5000","0.088792000","48","1","43536","0.090719000"
"10","15:24:11.481378","100","241","172.26.191.172","5000","0.088794000","48","1","43536","0.090721000"
"11","15:24:11.481384","100","289","172.26.191.172","5000","0.088800000","48","1","43536","0.090727000"
"12","15:24:11.481386","100","337","172.26.191.172","5000","0.088802000","48","1","43536","0.090729000"
"13","15:24:11.481392","100","385","172.26.191.172","5000","0.088808000","48","1","43536","0.090735000"
"14","15:24:11.481394","100","433","172.26.191.172","5000","0.088810000","48","1","43536","0.090737000"
"15","15:24:11.572035","52","1","100.64.0.5","43536","0.179451000","0","97","5000","0.181378000"
"16","15:24:11.572074","100","481","172.26.191.172","5000","0.179490000","48","1","43536","0.181417000"
"17","15:24:11.572086","100","529","172.26.191.172","5000","0.179502000","48","1","43536","0.181429000"
"18","15:24:11.572097","100","577","172.26.191.172","5000","0.179513000","48","1","43536","0.181440000"
"19","15:24:11.572099","100","625","172.26.191.172","5000","0.179515000","48","1","43536","0.181442000"
"20","15:24:11.572110","52","1","100.64.0.5","43536","0.179526000","0","193","5000","0.181453000"
"21","15:24:11.572121","100","673","172.26.191.172","5000","0.179537000","48","1","43536","0.181464000"
"22","15:24:11.572123","100","721","172.26.191.172","5000","0.179539000","48","1","43536","0.181466000"
"23","15:24:11.572129","100","769","172.26.191.172","5000","0.179545000","48","1","43536","0.181472000"
"24","15:24:11.572131","100","817","172.26.191.172","5000","0.179547000","48","1","43536","0.181474000"
"25","15:24:11.572138","52","1","100.64.0.5","43536","0.179554000","0","289","5000","0.181481000"
"26","15:24:11.572147","100","865","172.26.191.172","5000","0.179563000","48","1","43536","0.181490000"
"27","15:24:11.572148","100","913","172.26.191.172","5000","0.179564000","48","1","43536","0.181491000"
"28","15:24:11.572155","100","961","172.26.191.172","5000","0.179571000","48","1","43536","0.181498000"
"29","15:24:11.572156","100","1009","172.26.191.172","5000","0.179572000","48","1","43536","0.181499000"
"30","15:24:11.572162","52","1","100.64.0.5","43536","0.179578000","0","385","5000","0.181505000"
"31","15:24:11.572172","100","1057","172.26.191.172","5000","0.179588000","48","1","43536","0.181515000"
"32","15:24:11.572173","100","1105","172.26.191.172","5000","0.179589000","48","1","43536","0.181516000"
"33","15:24:11.572180","100","1153","172.26.191.172","5000","0.179596000","48","1","43536","0.181523000"
"34","15:24:11.572181","100","1201","172.26.191.172","5000","0.179597000","48","1","43536","0.181524000"
"35","15:24:11.572187","52","1","100.64.0.5","43536","0.179603000","0","481","5000","0.181530000"
"36","15:24:11.572196","100","1249","172.26.191.172","5000","0.179612000","48","1","43536","0.181539000"
"37","15:24:11.572198","100","1297","172.26.191.172","5000","0.179614000","48","1","43536","0.181541000"
"38","15:24:11.572212","100","1345","172.26.191.172","5000","0.179628000","48","1","43536","0.181555000"
"39","15:24:11.572213","100","1393","172.26.191.172","5000","0.179629000","48","1","43536","0.181556000"
"40","15:24:11.663086","52","1","100.64.0.5","43536","0.270502000","0","577","5000","0.272429000"
"41","15:24:11.663126","100","1441","172.26.191.172","5000","0.270542000","48","1","43536","0.272469000"
"42","15:24:11.663137","100","1489","172.26.191.172","5000","0.270553000","48","1","43536","0.272480000"
"43","15:24:11.663148","100","1537","172.26.191.172","5000","0.270564000","48","1","43536","0.272491000"
"44","15:24:11.663150","100","1585","172.26.191.172","5000","0.270566000","48","1","43536","0.272493000"
"45","15:24:11.663161","52","1","100.64.0.5","43536","0.270577000","0","673","5000","0.272504000"
"46","15:24:11.663172","100","1633","172.26.191.172","5000","0.270588000","48","1","43536","0.272515000"
"47","15:24:11.663174","100","1681","172.26.191.172","5000","0.270590000","48","1","43536","0.272517000"
"48","15:24:11.663181","100","1729","172.26.191.172","5000","0.270597000","48","1","43536","0.272524000"
"49","15:24:11.663182","100","1777","172.26.191.172","5000","0.270598000","48","1","43536","0.272525000"
"50","15:24:11.663188","52","1","100.64.0.5","43536","0.270604000","0","769","5000","0.272531000"
"51","15:24:11.663197","100","1825","172.26.191.172","5000","0.270613000","48","1","43536","0.272540000"
"52","15:24:11.663198","100","1873","172.26.191.172","5000","0.270614000","48","1","43536","0.272541000"
"53","15:24:11.663207","100","1921","172.26.191.172","5000","0.270623000","48","1","43536","0.272550000"
