frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"1","14:43:04.649782","76",,,,,,,,"0.000000000"
"2","14:43:04.835834","86",,"100.64.0.5",,,,,,"0.186052000"
"3","14:43:04.836748","60","0","172.26.191.172","5000","0.000000000","0","0","39080","0.186966000"
"4","14:43:05.162030","76",,,,,,,,"0.512248000"
"5","14:43:05.335668","60","0","100.64.0.5","39080","0.498920000","0","1","5000","0.685886000"
"6","14:43:05.335716","52","1","172.26.191.172","5000","0.498968000","0","1","39080","0.685934000"
"7","14:43:05.336055","100","1","172.26.191.172","5000","0.499307000","48","1","39080","0.686273000"
"8","14:43:05.336064","100","49","172.26.191.172","5000","0.499316000","48","1","39080","0.686282000"
"9","14:43:05.336083","100","97","172.26.191.172","5000","0.499335000","48","1","39080","0.686301000"
"10","14:43:05.336085","100","145","172.26.191.172","5000","0.499337000","48","1","39080","0.686303000"
"11","14:43:05.336096","100","193","172.26.191.172","5000","0.499348000","48","1","39080","0.686314000"
"12","14:43:05.336098","100","241","172.26.191.172","5000","0.499350000","48","1","39080","0.686316000"
"13","14:43:05.336108","100","289","172.26.191.172","5000","0.499360000","48","1","39080","0.686326000"
"14","14:43:05.336110","100","337","172.26.191.172","5000","0.499362000","48","1","39080","0.686328000"
"15","14:43:05.336118","100","385","172.26.191.172","5000","0.499370000","48","1","39080","0.686336000"
"16","14:43:05.336120","100","433","172.26.191.172","5000","0.499372000","48","1","39080","0.686338000"
"17","14:43:05.835624","52","1","100.64.0.5","39080","0.998876000","0","97","5000","1.185842000"
"18","14:43:05.835665","100","481","172.26.191.172","5000","0.998917000","48","1","39080","1.185883000"
"19","14:43:05.835674","100","529","172.26.191.172","5000","0.998926000","48","1","39080","1.185892000"
"20","14:43:05.835686","100","577","172.26.191.172","5000","0.998938000","48","1","39080","1.185904000"
"21","14:43:05.835687","100","625","172.26.191.172","5000","0.998939000","48","1","39080","1.185905000"
"22","14:43:05.835698","52","1","100.64.0.5","39080","0.998950000","0","145","5000","1.185916000"
"23","14:43:05.835709","100","673","172.26.191.172","5000","0.998961000","48","1","39080","1.185927000"
"24","14:43:05.835711","100","721","172.26.191.172","5000","0.998963000","48","1","39080","1.185929000"
"25","14:43:06.334928","64","1","100.64.0.5","39080","1.498180000","0","145","5000","1.685146000"
"26","14:43:06.334961","100","145","172.26.191.172","5000","1.498213000","48","1","39080","1.685179000"
"27","14:43:06.334980","100","193","172.26.191.172","5000","1.498232000","48","1","39080","1.685198000"
"28","14:43:06.334993","64","1","100.64.0.5","39080","1.498245000","0","145","5000","1.685211000"
"29","14:43:06.335002","100","241","172.26.191.172","5000","1.498254000","48","1","39080","1.685220000"
"30","14:43:06.834888","64","1","100.64.0.5","39080","1.998140000","0","289","5000","2.185106000"
"31","14:43:06.834931","100","289","172.26.191.172","5000","1.998183000","48","1","39080","2.185149000"
"32","14:43:06.834941","100","337","172.26.191.172","5000","1.998193000","48","1","39080","2.185159000"
"33","14:43:06.834950","100","385","172.26.191.172","5000","1.998202000","48","1","39080","2.185168000"
"34","14:43:06.834951","100","433","172.26.191.172","5000","1.998203000","48","1","39080","2.185169000"
"35","14:43:07.335059","64","1","100.64.0.5","39080","2.498311000","0","385","5000","2.685277000"
"36","14:43:07.335093","100","625","172.26.191.172","5000","2.498345000","48","1","39080","2.685311000"
"37","14:43:07.335114","100","673","172.26.191.172","5000","2.498366000","48","1","39080","2.685332000"
"38","14:43:07.335115","100","721","172.26.191.172","5000","2.498367000","48","1","39080","2.685333000"
"39","14:43:07.335129","64","1","100.64.0.5","39080","2.498381000","0","433","5000","2.685347000"
"40","14:43:07.335141","100","769","172.26.191.172","5000","2.498393000","48","1","39080","2.685359000"
"41","14:43:07.335142","100","817","172.26.191.172","5000","2.498394000","48","1","39080","2.685360000"
"42","14:43:07.834982","64","1","100.64.0.5","39080","2.998234000","0","433","5000","3.185200000"
"43","14:43:07.835017","100","433","172.26.191.172","5000","2.998269000","48","1","39080","3.185235000"
"44","14:43:07.835041","100","865","172.26.191.172","5000","2.998293000","48","1","39080","3.185259000"
"45","14:43:07.835043","100","913","172.26.191.172","5000","2.998295000","48","1","39080","3.185261000"
"46","14:43:08.105971","48",,,,,,,,"3.456189000"
"47","14:43:08.335054","52","1","100.64.0.5","39080","3.498306000","0","769","5000","3.685272000"
"48","14:43:08.335092","100","769","172.26.191.172","5000","3.498344000","48","1","39080","3.685310000"
"49","14:43:08.335115","64","1","100.64.0.5","39080","3.498367000","0","769","5000","3.685333000"
"50","14:43:08.335125","100","817","172.26.191.172","5000","3.498377000","48","1","39080","3.685343000"
"51","14:43:08.335131","100","961","172.26.191.172","5000","3.498383000","48","1","39080","3.685349000"
"52","14:43:08.835376","52","1","100.64.0.5","39080","3.998628000","0","961","5000","4.185594000"
"53","14:43:08.835418","100","1009","172.26.191.172","5000","3.998670000","48","1","39080","4.185636000"
"54","14:43:08.835435","100","1057","172.26.191.172","5000","3.998687000","48","1","39080","4.185653000"
"55","14:43:08.835447","52","1","100.64.0.5","39080","3.998699000","0","1009","5000","4.185665000"
"56","14:43:08.835456","100","1105","172.26.191.172","5000","3.998708000","48","1","39080","4.185674000"
"57","14:43:09.335306","52","1","100.64.0.5","39080","4.498558000","0","1153","5000","4.685524000"
"58","14:43:09.335345","100","1153","172.26.191.172","5000","4.498597000","48","1","39080","4.685563000"
"59","14:43:09.335354","100","1201","172.26.191.172","5000","4.498606000","48","1","39080","4.685572000"
"60","14:43:09.335366","100","1249","172.26.191.172","5000","4.498618000","48","1","39080","4.685584000"
"61","14:43:09.335367","100","1297","172.26.191.172","5000","4.498619000","48","1","39080","4.685585000"
"62","14:43:09.834779","52","1","100.64.0.5","39080","4.998031000","0","1249","5000","5.184997000"
"63","14:43:09.834794","100","1345","172.26.191.172","5000","4.998046000","48","1","39080","5.185012000"
"64","14:43:09.834797","100","1393","172.26.191.172","5000","4.998049000","48","1","39080","5.185015000"
"65","14:43:09.834802","52","1","100.64.0.5","39080","4.998054000","0","1297","5000","5.185020000"
"66","14:43:10.335540","64","1","100.64.0.5","39080","5.498792000","0","1297","5000","5.685758000"
"67","14:43:10.335575","100","1297","172.26.191.172","5000","5.498827000","48","1","39080","5.685793000"
"68","14:43:10.335597","100","1441","172.26.191.172","5000","5.498849000","48","1","39080","5.685815000"
"69","14:43:10.835524","52","1","100.64.0.5","39080","5.998776000","0","1441","5000","6.185742000"
"70","14:43:10.835542","100","1489","172.26.191.172","5000","5.998794000","48","1","39080","6.185760000"
"71","14:43:10.835550","52","1","100.64.0.5","39080","5.998802000","0","1489","5000","6.185768000"
"72","14:43:10.835553","100","1537","172.26.191.172","5000","5.998805000","48","1","39080","6.185771000"
"73","14:43:10.835555","100","1585","172.26.191.172","5000","5.998807000","48","1","39080","6.185773000"
"74","14:43:11.335405","52","1","100.64.0.5","39080","6.498657000","0","1633","5000","6.685623000"
"75","14:43:11.335443","100","1633","172.26.191.172","5000","6.498695000","48","1","39080","6.685661000"
"76","14:43:11.335461","100","1681","172.26.191.172","5000","6.498713000","48","1","39080","6.685679000"
"77","14:43:11.335466","100","1729","172.26.191.172","5000","6.498718000","48","1","39080","6.685684000"
"78","14:43:11.835693","52","1","100.64.0.5","39080","6.998945000","0","1777","5000","7.185911000"
"79","14:43:11.835727","100","1777","172.26.191.172","5000","6.998979000","48","1","39080","7.185945000"
"80","14:43:11.835743","100","1825","172.26.191.172","5000","6.998995000","48","1","39080","7.185961000"
"81","14:43:11.835747","100","1873","172.26.191.172","5000","6.998999000","48","1","39080","7.185965000"
"82","14:43:12.335668","52","1","100.64.0.5","39080","7.498920000","0","1921","5000","7.685886000"
"83","14:43:12.335709","100","1921","172.26.191.172","5000","7.498961000","48","1","39080","7.685927000"
"84","14:43:12.335719","100","1969","172.26.191.172","5000","7.498971000","48","1","39080","7.685937000"
"85","14:43:12.335732","100","2017","172.26.191.172","5000","7.498984000","48","1","39080","7.685950000"
"86","14:43:12.335734","100","2065","172.26.191.172","5000","7.498986000","48","1","39080","7.685952000"
"87","14:43:12.835029","52","1","100.64.0.5","39080","7.998281000","0","2065","5000","8.185247000"
"88","14:43:12.835071","100","2113","172.26.191.172","5000","7.998323000","48","1","39080","8.185289000"
"89","14:43:12.835081","100","2161","172.26.191.172","5000","7.998333000","48","1","39080","8.185299000"
"90","14:43:13.136575","100","2209","172.26.191.172","5000","8.299827000","48","1","39080","8.486793000"
"91","14:43:13.335105","64","1","100.64.0.5","39080","8.498357000","0","2065","5000","8.685323000"
"92","14:43:13.335140","100","2065","172.26.191.172","5000","8.498392000","48","1","39080","8.685358000"
"93","14:43:13.585471","64","1","100.64.0.5","39080","8.748723000","0","2065","5000","8.935689000"
"94","14:43:13.585512","100","2257","172.26.191.172","5000","8.748764000","48","1","39080","8.935730000"
"95","14:43:13.835315","52","1","100.64.0.5","39080","8.998567000","0","2257","5000","9.185533000"
"96","14:43:13.835355","100","2305","172.26.191.172","5000","8.998607000","48","1","39080","9.185573000"
"97","14:43:14.085735","52","1","100.64.0.5","39080","9.248987000","0","2305","5000","9.435953000"
"98","14:43:14.085771","100","2353","172.26.191.172","5000","9.249023000","48","1","39080","9.435989000"
"99","14:43:14.085789","100","2401","172.26.191.172","5000","9.249041000","48","1","39080","9.436007000"
"100","14:43:14.335359","52","1","100.64.0.5","39080","9.498611000","0","2353","5000","9.685577000"
"101","14:43:14.335392","100","2449","172.26.191.172","5000","9.498644000","48","1","39080","9.685610000"
"102","14:43:14.584944","52","1","100.64.0.5","39080","9.748196000","0","2449","5000","9.935162000"
"103","14:43:14.584978","100","2497","172.26.191.172","5000","9.748230000","48","1","39080","9.935196000"
"104","14:43:14.584994","100","2545","172.26.191.172","5000","9.748246000","48","1","39080","9.935212000"
"105","14:43:14.835329","52","1","100.64.0.5","39080","9.998581000","0","2497","5000","10.185547000"
"106","14:43:14.835370","100","2593","172.26.191.172","5000","9.998622000","48","1","39080","10.185588000"
"107","14:43:14.835380","100","2641","172.26.191.172","5000","9.998632000","48","1","39080","10.185598000"
"108","14:43:15.084831","52","1","100.64.0.5","39080","10.248083000","0","2593","5000","10.435049000"
"109","14:43:15.084874","100","2689","172.26.191.172","5000","10.248126000","48","1","39080","10.435092000"
"110","14:43:15.084884","100","2737","172.26.191.172","5000","10.248136000","48","1","39080","10.435102000"
"111","14:43:15.335196","52","1","100.64.0.5","39080","10.498448000","0","2689","5000","10.685414000"
"112","14:43:15.335237","100","2785","172.26.191.172","5000","10.498489000","48","1","39080","10.685455000"
"113","14:43:15.335248","100","2833","172.26.191.172","5000","10.498500000","48","1","39080","10.685466000"
"114","14:43:15.585005","52","1","100.64.0.5","39080","10.748257000","0","2785","5000","10.935223000"
"115","14:43:15.585049","100","2881","172.26.191.172","5000","10.748301000","48","1","39080","10.935267000"
"116","14:43:15.585059","100","2929","172.26.191.172","5000","10.748311000","48","1","39080","10.935277000"
"117","14:43:15.786014","48",,,,,,,,"11.136232000"
"118","14:43:15.835142","52","1","100.64.0.5","39080","10.998394000","0","2881","5000","11.185360000"
"119","14:43:15.835185","100","2977","172.26.191.172","5000","10.998437000","48","1","39080","11.185403000"
"120","14:43:15.835195","100","3025","172.26.191.172","5000","10.998447000","48","1","39080","11.185413000"
"121","14:43:16.084950","52","1","100.64.0.5","39080","11.248202000","0","2977","5000","11.435168000"
"122","14:43:16.084988","100","3073","172.26.191.172","5000","11.248240000","48","1","39080","11.435206000"
"123","14:43:16.084997","100","3121","172.26.191.172","5000","11.248249000","48","1","39080","11.435215000"
"124","14:43:16.335385","52","1","100.64.0.5","39080","11.498637000","0","3073","5000","11.685603000"
"125","14:43:16.335427","100","3169","172.26.191.172","5000","11.498679000","48","1","39080","11.685645000"
"126","14:43:16.335437","100","3217","172.26.191.172","5000","11.498689000","48","1","39080","11.685655000"
"127","14:43:16.585488","52","1","100.64.0.5","39080","11.748740000","0","3169","5000","11.935706000"
"128","14:43:16.585530","100","3265","172.26.191.172","5000","11.748782000","48","1","39080","11.935748000"
"129","14:43:16.585540","100","3313","172.26.191.172","5000","11.748792000","48","1","39080","11.935758000"
"130","14:43:16.835579","52","1","100.64.0.5","39080","11.998831000","0","3265","5000","12.185797000"
"131","14:43:16.835621","100","3361","172.26.191.172","5000","11.998873000","48","1","39080","12.185839000"
"132","14:43:16.835631","100","3409","172.26.191.172","5000","11.998883000","48","1","39080","12.185849000"
"133","14:43:17.085543","52","1","100.64.0.5","39080","12.248795000","0","3361","5000","12.435761000"
"134","14:43:17.085581","100","3457","172.26.191.172","5000","12.248833000","48","1","39080","12.435799000"
"135","14:43:17.085590","100","3505","172.26.191.172","5000","12.248842000","48","1","39080","12.435808000"
"136","14:43:17.085601","100","3553","172.26.191.172","5000","12.248853000","48","1","39080","12.435819000"
"137","14:43:17.085603","100","3601","172.26.191.172","5000","12.248855000","48","1","39080","12.435821000"
"138","14:43:17.335112","52","1","100.64.0.5","39080","12.498364000","0","3457","5000","12.685330000"
"139","14:43:17.335151","100","3649","172.26.191.172","5000","12.498403000","48","1","39080","12.685369000"
"140","14:43:17.335160","100","3697","172.26.191.172","5000","12.498412000","48","1","39080","12.685378000"
"141","14:43:17.585618","52","1","100.64.0.5","39080","12.748870000","0","3601","5000","12.935836000"
"142","14:43:17.585658","100","3745","172.26.191.172","5000","12.748910000","48","1","39080","12.935876000"
"143","14:43:17.585669","100","3793","172.26.191.172","5000","12.748921000","48","1","39080","12.935887000"
"144","14:43:17.796512","100","3841","172.26.191.172","5000","12.959764000","48","1","39080","13.146730000"
"145","14:43:17.835446","64","1","100.64.0.5","39080","12.998698000","0","3601","5000","13.185664000"
"146","14:43:17.835481","100","3601","172.26.191.172","5000","12.998733000","48","1","39080","13.185699000"
"147","14:43:18.085428","64","1","100.64.0.5","39080","13.248680000","0","3601","5000","13.435646000"
"148","14:43:18.085459","100","3889","172.26.191.172","5000","13.248711000","48","1","39080","13.435677000"
"149","14:43:18.335080","64","1","100.64.0.5","39080","13.498332000","0","3601","5000","13.685298000"
"150","14:43:18.335122","100","3937","172.26.191.172","5000","13.498374000","48","1","39080","13.685340000"
"151","14:43:18.335146","52","1","100.64.0.5","39080","13.498398000","0","3889","5000","13.685364000"
"152","14:43:18.335160","100","3985","172.26.191.172","5000","13.498412000","48","1","39080","13.685378000"
"153","14:43:18.585379","52","1","100.64.0.5","39080","13.748631000","0","3937","5000","13.935597000"
"154","14:43:18.585416","100","4033","172.26.191.172","5000","13.748668000","48","1","39080","13.935634000"
"155","14:43:18.835162","52","1","100.64.0.5","39080","13.998414000","0","4033","5000","14.185380000"
"156","14:43:18.835201","100","4081","172.26.191.172","5000","13.998453000","48","1","39080","14.185419000"
"157","14:43:18.835210","100","4129","172.26.191.172","5000","13.998462000","48","1","39080","14.185428000"
"158","14:43:18.835219","100","4177","172.26.191.172","5000","13.998471000","48","1","39080","14.185437000"
"159","14:43:19.085213","52","1","100.64.0.5","39080","14.248465000","0","4081","5000","14.435431000"
"160","14:43:19.085247","100","4225","172.26.191.172","5000","14.248499000","48","1","39080","14.435465000"
"161","14:43:19.335076","52","1","100.64.0.5","39080","14.498328000","0","4225","5000","14.685294000"
"162","14:43:19.335114","100","4273","172.26.191.172","5000","14.498366000","48","1","39080","14.685332000"
"163","14:43:19.335123","100","4321","172.26.191.172","5000","14.498375000","48","1","39080","14.685341000"
"164","14:43:19.335132","100","4369","172.26.191.172","5000","14.498384000","48","1","39080","14.685350000"
"165","14:43:19.585324","52","1","100.64.0.5","39080","14.748576000","0","4273","5000","14.935542000"
"166","14:43:19.585359","100","4417","172.26.191.172","5000","14.748611000","48","1","39080","14.935577000"
"167","14:43:19.835269","52","1","100.64.0.5","39080","14.998521000","0","4417","5000","15.185487000"
"168","14:43:19.835313","100","4465","172.26.191.172","5000","14.998565000","48","1","39080","15.185531000"
"169","14:43:19.835323","100","4513","172.26.191.172","5000","14.998575000","48","1","39080","15.185541000"
"170","14:43:19.835336","100","4561","172.26.191.172","5000","14.998588000","48","1","39080","15.185554000"
"171","14:43:19.835338","100","4609","172.26.191.172","5000","14.998590000","48","1","39080","15.185556000"
"172","14:43:20.085607","52","1","100.64.0.5","39080","15.248859000","0","4465","5000","15.435825000"
"173","14:43:20.085640","100","4657","172.26.191.172","5000","15.248892000","48","1","39080","15.435858000"
"174","14:43:20.335551","52","1","100.64.0.5","39080","15.498803000","0","4609","5000","15.685769000"
"175","14:43:20.335594","100","4705","172.26.191.172","5000","15.498846000","48","1","39080","15.685812000"
"176","14:43:20.335604","100","4753","172.26.191.172","5000","15.498856000","48","1","39080","15.685822000"
"177","14:43:20.368620","100","4801","172.26.191.172","5000","15.531872000","48","1","39080","15.718838000"
"178","14:43:20.544514","100","4849","172.26.191.172","5000","15.707766000","48","1","39080","15.894732000"
"179","14:43:20.585611","64","1","100.64.0.5","39080","15.748863000","0","4609","5000","15.935829000"
"180","14:43:20.585643","100","4609","172.26.191.172","5000","15.748895000","48","1","39080","15.935861000"
"181","14:43:20.835543","64","1","100.64.0.5","39080","15.998795000","0","4609","5000","16.185761000"
"182","14:43:20.835585","100","4897","172.26.191.172","5000","15.998837000","48","1","39080","16.185803000"
"183","14:43:20.835609","64","1","100.64.0.5","39080","15.998861000","0","4609","5000","16.185827000"
"184","14:43:21.084606","52","1","100.64.0.5","39080","16.247858000","0","4897","5000","16.434824000"
"185","14:43:21.084643","100","4945","172.26.191.172","5000","16.247895000","48","1","39080","16.434861000"
"186","14:43:21.335069","52","1","100.64.0.5","39080","16.498321000","0","4945","5000","16.685287000"
"187","14:43:21.335106","100","4993","172.26.191.172","5000","16.498358000","48","1","39080","16.685324000"
"188","14:43:21.335125","100","5041","172.26.191.172","5000","16.498377000","48","1","39080","16.685343000"
"189","14:43:21.584853","52","1","100.64.0.5","39080","16.748105000","0","4993","5000","16.935071000"
"190","14:43:21.584886","100","5089","172.26.191.172","5000","16.748138000","48","1","39080","16.935104000"
"191","14:43:21.835207","52","1","100.64.0.5","39080","16.998459000","0","5089","5000","17.185425000"
"192","14:43:21.835244","100","5137","172.26.191.172","5000","16.998496000","48","1","39080","17.185462000"
"193","14:43:21.835261","100","5185","172.26.191.172","5000","16.998513000","48","1","39080","17.185479000"
"194","14:43:22.085655","52","1","100.64.0.5","39080","17.248907000","0","5137","5000","17.435873000"
"195","14:43:22.085693","100","5233","172.26.191.172","5000","17.248945000","48","1","39080","17.435911000"
"196","14:43:22.085703","100","5281","172.26.191.172","5000","17.248955000","48","1","39080","17.435921000"
"197","14:43:22.335219","52","1","100.64.0.5","39080","17.498471000","0","5233","5000","17.685437000"
"198","14:43:22.335258","100","5329","172.26.191.172","5000","17.498510000","48","1","39080","17.685476000"
"199","14:43:22.335269","100","5377","172.26.191.172","5000","17.498521000","48","1","39080","17.685487000"
"200","14:43:22.585046","52","1","100.64.0.5","39080","17.748298000","0","5329","5000","17.935264000"
"201","14:43:22.585088","100","5425","172.26.191.172","5000","17.748340000","48","1","39080","17.935306000"
"202","14:43:22.585099","100","5473","172.26.191.172","5000","17.748351000","48","1","39080","17.935317000"
"203","14:43:22.835405","52","1","100.64.0.5","39080","17.998657000","0","5425","5000","18.185623000"
"204","14:43:22.835446","100","5521","172.26.191.172","5000","17.998698000","48","1","39080","18.185664000"
"205","14:43:22.835456","100","5569","172.26.191.172","5000","17.998708000","48","1","39080","18.185674000"
"206","14:43:23.085335","52","1","100.64.0.5","39080","18.248587000","0","5521","5000","18.435553000"
"207","14:43:23.085372","100","5617","172.26.191.172","5000","18.248624000","48","1","39080","18.435590000"
"208","14:43:23.085382","100","5665","172.26.191.172","5000","18.248634000","48","1","39080","18.435600000"
"209","14:43:23.335698","52","1","100.64.0.5","39080","18.498950000","0","5617","5000","18.685916000"
"210","14:43:23.335738","100","5713","172.26.191.172","5000","18.498990000","48","1","39080","18.685956000"
"211","14:43:23.335749","100","5761","172.26.191.172","5000","18.499001000","48","1","39080","18.685967000"
"212","14:43:23.585239","52","1","100.64.0.5","39080","18.748491000","0","5713","5000","18.935457000"
"213","14:43:23.585276","100","5809","172.26.191.172","5000","18.748528000","48","1","39080","18.935494000"
"214","14:43:23.585285","100","5857","172.26.191.172","5000","18.748537000","48","1","39080","18.935503000"
"215","14:43:23.585294","100","5905","172.26.191.172","5000","18.748546000","48","1","39080","18.935512000"
"216","14:43:23.835804","52","1","100.64.0.5","39080","18.999056000","0","5809","5000","19.186022000"
"217","14:43:23.835845","100","5953","172.26.191.172","5000","18.999097000","48","1","39080","19.186063000"
