frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"1","15:47:50.009636","86",,"100.64.0.5",,,,,,"0.000000000"
"2","15:47:50.011604","60","0","172.26.191.172","5000","0.000000000","0","0","50306","0.001968000"
"3","15:47:50.231243","76",,,,,,,,"0.221607000"
"4","15:47:50.259596","60","0","100.64.0.5","50306","0.247992000","0","1","5000","0.249960000"
"5","15:47:50.259642","52","1","172.26.191.172","5000","0.248038000","0","1","50306","0.250006000"
"6","15:47:50.259964","100","1","172.26.191.172","5000","0.248360000","48","1","50306","0.250328000"
"7","15:47:50.259987","100","49","172.26.191.172","5000","0.248383000","48","1","50306","0.250351000"
"8","15:47:50.259992","100","97","172.26.191.172","5000","0.248388000","48","1","50306","0.250356000"
"9","15:47:50.259996","100","145","172.26.191.172","5000","0.248392000","48","1","50306","0.250360000"
"10","15:47:50.260000","100","193","172.26.191.172","5000","0.248396000","48","1","50306","0.250364000"
"11","15:47:50.260004","100","241","172.26.191.172","5000","0.248400000","48","1","50306","0.250368000"
"12","15:47:50.260008","100","289","172.26.191.172","5000","0.248404000","48","1","50306","0.250372000"
"13","15:47:50.260011","100","337","172.26.191.172","5000","0.248407000","48","1","50306","0.250375000"
"14","15:47:50.260017","100","385","172.26.191.172","5000","0.248413000","48","1","50306","0.250381000"
"15","15:47:50.260021","100","433","172.26.191.172","5000","0.248417000","48","1","50306","0.250385000"
"16","15:47:50.483790","76",,,,,,,,"0.474154000"
"17","15:47:50.510093","52","1","100.64.0.5","50306","0.498489000","0","385","5000","0.500457000"
"18","15:47:50.510139","100","481","172.26.191.172","5000","0.498535000","48","1","50306","0.500503000"
"19","15:47:50.510177","52","1","100.64.0.5","50306","0.498573000","0","433","5000","0.500541000"
"20","15:47:50.514678","100","529","172.26.191.172","5000","0.503074000","48","1","50306","0.505042000"
"21","15:47:50.523379","100","577","172.26.191.172","5000","0.511775000","48","1","50306","0.513743000"
"22","15:47:50.532066","100","625","172.26.191.172","5000","0.520462000","48","1","50306","0.522430000"
"23","15:47:50.540585","100","673","172.26.191.172","5000","0.528981000","48","1","50306","0.530949000"
"24","15:47:50.549270","100","721","172.26.191.172","5000","0.537666000","48","1","50306","0.539634000"
"25","15:47:50.558058","100","769","172.26.191.172","5000","0.546454000","48","1","50306","0.548422000"
"26","15:47:50.566802","100","817","172.26.191.172","5000","0.555198000","48","1","50306","0.557166000"
"27","15:47:50.575367","100","865","172.26.191.172","5000","0.563763000","48","1","50306","0.565731000"
"28","15:47:50.584038","100","913","172.26.191.172","5000","0.572434000","48","1","50306","0.574402000"
"29","15:47:50.592655","100","961","172.26.191.172","5000","0.581051000","48","1","50306","0.583019000"
