frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"1","15:48:27.413724","86",,"100.64.0.5",,,,,,"0.000000000"
"2","15:48:27.415716","60","0","172.26.191.172","5000","0.000000000","0","0","36838","0.001992000"
"3","15:48:27.635357","76",,,,,,,,"0.221633000"
"4","15:48:27.663575","60","0","100.64.0.5","36838","0.247859000","0","1","5000","0.249851000"
"5","15:48:27.663605","52","1","172.26.191.172","5000","0.247889000","0","1","36838","0.249881000"
"6","15:48:27.663815","100","1","172.26.191.172","5000","0.248099000","48","1","36838","0.250091000"
"7","15:48:27.663819","100","49","172.26.191.172","5000","0.248103000","48","1","36838","0.250095000"
"8","15:48:27.663826","100","97","172.26.191.172","5000","0.248110000","48","1","36838","0.250102000"
"9","15:48:27.663827","100","145","172.26.191.172","5000","0.248111000","48","1","36838","0.250103000"
"10","15:48:27.663831","100","193","172.26.191.172","5000","0.248115000","48","1","36838","0.250107000"
"11","15:48:27.663831","100","241","172.26.191.172","5000","0.248115000","48","1","36838","0.250107000"
"12","15:48:27.663835","100","289","172.26.191.172","5000","0.248119000","48","1","36838","0.250111000"
"13","15:48:27.663835","100","337","172.26.191.172","5000","0.248119000","48","1","36838","0.250111000"
"14","15:48:27.663839","100","385","172.26.191.172","5000","0.248123000","48","1","36838","0.250115000"
"15","15:48:27.663839","100","433","172.26.191.172","5000","0.248123000","48","1","36838","0.250115000"
"16","15:48:27.913516","52","1","100.64.0.5","36838","0.497800000","0","97","5000","0.499792000"
"17","15:48:27.913559","100","481","172.26.191.172","5000","0.497843000","48","1","36838","0.499835000"
"18","15:48:27.913571","100","529","172.26.191.172","5000","0.497855000","48","1","36838","0.499847000"
"19","15:48:27.913594","100","577","172.26.191.172","5000","0.497878000","48","1","36838","0.499870000"
"20","15:48:27.913598","100","625","172.26.191.172","5000","0.497882000","48","1","36838","0.499874000"
"21","15:48:27.913620","52","1","100.64.0.5","36838","0.497904000","0","193","5000","0.499896000"
"22","15:48:27.913645","100","673","172.26.191.172","5000","0.497929000","48","1","36838","0.499921000"
"23","15:48:27.913648","100","721","172.26.191.172","5000","0.497932000","48","1","36838","0.499924000"
"24","15:48:27.913661","100","769","172.26.191.172","5000","0.497945000","48","1","36838","0.499937000"
"25","15:48:27.913664","100","817","172.26.191.172","5000","0.497948000","48","1","36838","0.499940000"
"26","15:48:27.913675","52","1","100.64.0.5","36838","0.497959000","0","289","5000","0.499951000"
"27","15:48:27.913695","100","865","172.26.191.172","5000","0.497979000","48","1","36838","0.499971000"
"28","15:48:27.913697","100","913","172.26.191.172","5000","0.497981000","48","1","36838","0.499973000"
"29","15:48:27.913709","100","961","172.26.191.172","5000","0.497993000","48","1","36838","0.499985000"
"30","15:48:27.913711","100","1009","172.26.191.172","5000","0.497995000","48","1","36838","0.499987000"
"31","15:48:27.913721","52","1","100.64.0.5","36838","0.498005000","0","385","5000","0.499997000"
"32","15:48:27.913736","100","1057","172.26.191.172","5000","0.498020000","48","1","36838","0.500012000"
"33","15:48:27.913738","100","1105","172.26.191.172","5000","0.498022000","48","1","36838","0.500014000"
"34","15:48:27.913750","100","1153","172.26.191.172","5000","0.498034000","48","1","36838","0.500026000"
"35","15:48:27.913752","100","1201","172.26.191.172","5000","0.498036000","48","1","36838","0.500028000"
"36","15:48:27.913764","52","1","100.64.0.5","36838","0.498048000","0","433","5000","0.500040000"
"37","15:48:27.913779","100","1249","172.26.191.172","5000","0.498063000","48","1","36838","0.500055000"
"38","15:48:27.913782","100","1297","172.26.191.172","5000","0.498066000","48","1","36838","0.500058000"
"39","15:48:28.163513","64","1","100.64.0.5","36838","0.747797000","0","433","5000","0.749789000"
"40","15:48:28.163547","100","433","172.26.191.172","5000","0.747831000","48","1","36838","0.749823000"
"41","15:48:28.163578","64","1","100.64.0.5","36838","0.747862000","0","433","5000","0.749854000"
"42","15:48:28.163600","100","1345","172.26.191.172","5000","0.747884000","48","1","36838","0.749876000"
"43","15:48:28.163611","64","1","100.64.0.5","36838","0.747895000","0","433","5000","0.749887000"
"44","15:48:28.163626","100","1393","172.26.191.172","5000","0.747910000","48","1","36838","0.749902000"
"45","15:48:28.163636","64","1","100.64.0.5","36838","0.747920000","0","433","5000","0.749912000"
"46","15:48:28.163648","100","1441","172.26.191.172","5000","0.747932000","48","1","36838","0.749924000"
"47","15:48:28.163670","64","1","100.64.0.5","36838","0.747954000","0","433","5000","0.749946000"
"48","15:48:28.163685","100","1489","172.26.191.172","5000","0.747969000","48","1","36838","0.749961000"
"49","15:48:28.412760","52","1","100.64.0.5","36838","0.997044000","0","913","5000","0.999036000"
"50","15:48:28.412798","100","913","172.26.191.172","5000","0.997082000","48","1","36838","0.999074000"
"51","15:48:28.412832","100","961","172.26.191.172","5000","0.997116000","48","1","36838","0.999108000"
"52","15:48:28.412836","100","1009","172.26.191.172","5000","0.997120000","48","1","36838","0.999112000"
"53","15:48:28.412851","100","1057","172.26.191.172","5000","0.997135000","48","1","36838","0.999127000"
"54","15:48:28.412852","100","1105","172.26.191.172","5000","0.997136000","48","1","36838","0.999128000"
"55","15:48:28.412872","64","1","100.64.0.5","36838","0.997156000","0","913","5000","0.999148000"
"56","15:48:28.412904","100","1153","172.26.191.172","5000","0.997188000","48","1","36838","0.999180000"
"57","15:48:28.412906","100","1201","172.26.191.172","5000","0.997190000","48","1","36838","0.999182000"
"58","15:48:28.412916","100","1249","172.26.191.172","5000","0.997200000","48","1","36838","0.999192000"
"59","15:48:28.412918","100","1297","172.26.191.172","5000","0.997202000","48","1","36838","0.999194000"
"60","15:48:28.663726","64","1","100.64.0.5","36838","1.248010000","0","961","5000","1.250002000"
"61","15:48:28.663764","100","1537","172.26.191.172","5000","1.248048000","48","1","36838","1.250040000"
"62","15:48:28.663796","64","1","100.64.0.5","36838","1.248080000","0","1057","5000","1.250072000"
"63","15:48:28.663825","100","1585","172.26.191.172","5000","1.248109000","48","1","36838","1.250101000"
"64","15:48:28.663827","100","1633","172.26.191.172","5000","1.248111000","48","1","36838","1.250103000"
"65","15:48:28.663842","64","1","100.64.0.5","36838","1.248126000","0","1153","5000","1.250118000"
"66","15:48:28.663859","100","1681","172.26.191.172","5000","1.248143000","48","1","36838","1.250135000"
"67","15:48:28.663877","100","1729","172.26.191.172","5000","1.248161000","48","1","36838","1.250153000"
"68","15:48:28.663888","52","1","100.64.0.5","36838","1.248172000","0","1537","5000","1.250164000"
"69","15:48:28.663912","100","1777","172.26.191.172","5000","1.248196000","48","1","36838","1.250188000"
