frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"1","15:49:53.056021","76",,,,,,,,"0.000000000"
"2","15:49:53.107719","76",,,,,,,,"0.051698000"
"3","15:49:53.115068","86",,"100.64.0.5",,,,,,"0.059047000"
"4","15:49:53.116987","60","0","172.26.191.172","5000","0.000000000","0","0","34424","0.060966000"
"5","15:49:53.301727","60","0","100.64.0.5","34424","0.184740000","0","1","5000","0.245706000"
"6","15:49:53.301778","52","1","172.26.191.172","5000","0.184791000","0","1","34424","0.245757000"
"7","15:49:53.302147","100","1","172.26.191.172","5000","0.185160000","48","1","34424","0.246126000"
"8","15:49:53.302157","100","49","172.26.191.172","5000","0.185170000","48","1","34424","0.246136000"
"9","15:49:53.302177","100","97","172.26.191.172","5000","0.185190000","48","1","34424","0.246156000"
"10","15:49:53.302180","100","145","172.26.191.172","5000","0.185193000","48","1","34424","0.246159000"
"11","15:49:53.302193","100","193","172.26.191.172","5000","0.185206000","48","1","34424","0.246172000"
"12","15:49:53.302195","100","241","172.26.191.172","5000","0.185208000","48","1","34424","0.246174000"
"13","15:49:53.302209","100","289","172.26.191.172","5000","0.185222000","48","1","34424","0.246188000"
"14","15:49:53.302211","100","337","172.26.191.172","5000","0.185224000","48","1","34424","0.246190000"
"15","15:49:53.302223","100","385","172.26.191.172","5000","0.185236000","48","1","34424","0.246202000"
"16","15:49:53.302225","100","433","172.26.191.172","5000","0.185238000","48","1","34424","0.246204000"
"17","15:49:53.488647","52","1","100.64.0.5","34424","0.371660000","0","97","5000","0.432626000"
"18","15:49:53.488687","100","481","172.26.191.172","5000","0.371700000","48","1","34424","0.432666000"
"19","15:49:53.488695","100","529","172.26.191.172","5000","0.371708000","48","1","34424","0.432674000"
"20","15:49:53.488706","100","577","172.26.191.172","5000","0.371719000","48","1","34424","0.432685000"
"21","15:49:53.488708","100","625","172.26.191.172","5000","0.371721000","48","1","34424","0.432687000"
"22","15:49:53.488718","52","1","100.64.0.5","34424","0.371731000","0","193","5000","0.432697000"
"23","15:49:53.488729","100","673","172.26.191.172","5000","0.371742000","48","1","34424","0.432708000"
"24","15:49:53.488730","100","721","172.26.191.172","5000","0.371743000","48","1","34424","0.432709000"
"25","15:49:53.488736","100","769","172.26.191.172","5000","0.371749000","48","1","34424","0.432715000"
"26","15:49:53.488738","100","817","172.26.191.172","5000","0.371751000","48","1","34424","0.432717000"
"27","15:49:53.488744","52","1","100.64.0.5","34424","0.371757000","0","289","5000","0.432723000"
