frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"1","16:38:02.561417","86",,"100.64.0.5",,,,,,"0.000000000"
"2","16:38:02.563291","60","0","172.26.191.172","5000","0.000000000","0","0","40198","0.001874000"
"3","16:38:02.749176","60","0","100.64.0.5","40198","0.185885000","0","1","5000","0.187759000"
"4","16:38:02.749231","52","1","172.26.191.172","5000","0.185940000","0","1","40198","0.187814000"
"5","16:38:02.749606","100","1","172.26.191.172","5000","0.186315000","48","1","40198","0.188189000"
"6","16:38:02.749615","100","49","172.26.191.172","5000","0.186324000","48","1","40198","0.188198000"
"7","16:38:02.749629","100","97","172.26.191.172","5000","0.186338000","48","1","40198","0.188212000"
"8","16:38:02.749631","100","145","172.26.191.172","5000","0.186340000","48","1","40198","0.188214000"
"9","16:38:02.749639","100","193","172.26.191.172","5000","0.186348000","48","1","40198","0.188222000"
"10","16:38:02.749641","100","241","172.26.191.172","5000","0.186350000","48","1","40198","0.188224000"
"11","16:38:02.749647","100","289","172.26.191.172","5000","0.186356000","48","1","40198","0.188230000"
"12","16:38:02.749649","100","337","172.26.191.172","5000","0.186358000","48","1","40198","0.188232000"
"13","16:38:02.749655","100","385","172.26.191.172","5000","0.186364000","48","1","40198","0.188238000"
"14","16:38:02.749657","100","433","172.26.191.172","5000","0.186366000","48","1","40198","0.188240000"
"15","16:38:02.936514","52","1","100.64.0.5","40198","0.373223000","0","97","5000","0.375097000"
"16","16:38:02.936554","100","481","172.26.191.172","5000","0.373263000","48","1","40198","0.375137000"
"17","16:38:02.936563","100","529","172.26.191.172","5000","0.373272000","48","1","40198","0.375146000"
"18","16:38:02.936586","100","577","172.26.191.172","5000","0.373295000","48","1","40198","0.375169000"
"19","16:38:02.936589","100","625","172.26.191.172","5000","0.373298000","48","1","40198","0.375172000"
"20","16:38:02.936605","52","1","100.64.0.5","40198","0.373314000","0","193","5000","0.375188000"
"21","16:38:02.936626","100","673","172.26.191.172","5000","0.373335000","48","1","40198","0.375209000"
"22","16:38:02.936628","100","721","172.26.191.172","5000","0.373337000","48","1","40198","0.375211000"
"23","16:38:02.936639","100","769","172.26.191.172","5000","0.373348000","48","1","40198","0.375222000"
"24","16:38:02.936641","100","817","172.26.191.172","5000","0.373350000","48","1","40198","0.375224000"
"25","16:38:02.936652","52","1","100.64.0.5","40198","0.373361000","0","289","5000","0.375235000"
"26","16:38:02.936668","100","865","172.26.191.172","5000","0.373377000","48","1","40198","0.375251000"
"27","16:38:02.936670","100","913","172.26.191.172","5000","0.373379000","48","1","40198","0.375253000"
"28","16:38:02.936682","100","961","172.26.191.172","5000","0.373391000","48","1","40198","0.375265000"
"29","16:38:02.936684","100","1009","172.26.191.172","5000","0.373393000","48","1","40198","0.375267000"
"30","16:38:02.936694","52","1","100.64.0.5","40198","0.373403000","0","337","5000","0.375277000"
"31","16:38:02.936709","100","1057","172.26.191.172","5000","0.373418000","48","1","40198","0.375292000"
"32","16:38:02.936711","100","1105","172.26.191.172","5000","0.373420000","48","1","40198","0.375294000"
"33","16:38:02.936721","52","1","100.64.0.5","40198","0.373430000","0","385","5000","0.375304000"
"34","16:38:02.936736","100","1153","172.26.191.172","5000","0.373445000","48","1","40198","0.375319000"
"35","16:38:02.936738","100","1201","172.26.191.172","5000","0.373447000","48","1","40198","0.375321000"
"36","16:38:02.936748","52","1","100.64.0.5","40198","0.373457000","0","481","5000","0.375331000"
"37","16:38:02.936763","100","1249","172.26.191.172","5000","0.373472000","48","1","40198","0.375346000"
"38","16:38:02.936764","100","1297","172.26.191.172","5000","0.373473000","48","1","40198","0.375347000"
"39","16:38:02.936789","100","1345","172.26.191.172","5000","0.373498000","48","1","40198","0.375372000"
"40","16:38:02.936790","100","1393","172.26.191.172","5000","0.373499000","48","1","40198","0.375373000"
"41","16:38:03.123838","52","1","100.64.0.5","40198","0.560547000","0","577","5000","0.562421000"
"42","16:38:03.123880","100","1441","172.26.191.172","5000","0.560589000","48","1","40198","0.562463000"
"43","16:38:03.123890","100","1489","172.26.191.172","5000","0.560599000","48","1","40198","0.562473000"
"44","16:38:03.123915","100","1537","172.26.191.172","5000","0.560624000","48","1","40198","0.562498000"
"45","16:38:03.123918","100","1585","172.26.191.172","5000","0.560627000","48","1","40198","0.562501000"
"46","16:38:03.123940","52","1","100.64.0.5","40198","0.560649000","0","673","5000","0.562523000"
"47","16:38:03.123967","100","1633","172.26.191.172","5000","0.560676000","48","1","40198","0.562550000"
"48","16:38:03.123969","100","1681","172.26.191.172","5000","0.560678000","48","1","40198","0.562552000"
"49","16:38:03.123984","100","1729","172.26.191.172","5000","0.560693000","48","1","40198","0.562567000"
"50","16:38:03.123986","100","1777","172.26.191.172","5000","0.560695000","48","1","40198","0.562569000"
"51","16:38:03.123998","52","1","100.64.0.5","40198","0.560707000","0","769","5000","0.562581000"
"52","16:38:03.124017","100","1825","172.26.191.172","5000","0.560726000","48","1","40198","0.562600000"
"53","16:38:03.124019","100","1873","172.26.191.172","5000","0.560728000","48","1","40198","0.562602000"
"54","16:38:03.124033","100","1921","172.26.191.172","5000","0.560742000","48","1","40198","0.562616000"
"55","16:38:03.124035","100","1969","172.26.191.172","5000","0.560744000","48","1","40198","0.562618000"
"56","16:38:03.124046","52","1","100.64.0.5","40198","0.560755000","0","865","5000","0.562629000"
"57","16:38:03.124062","100","2017","172.26.191.172","5000","0.560771000","48","1","40198","0.562645000"
"58","16:38:03.124065","100","2065","172.26.191.172","5000","0.560774000","48","1","40198","0.562648000"
"59","16:38:03.124076","100","2113","172.26.191.172","5000","0.560785000","48","1","40198","0.562659000"
"60","16:38:03.124078","100","2161","172.26.191.172","5000","0.560787000","48","1","40198","0.562661000"
"61","16:38:03.124088","52","1","100.64.0.5","40198","0.560797000","0","961","5000","0.562671000"
"62","16:38:03.124105","100","2209","172.26.191.172","5000","0.560814000","48","1","40198","0.562688000"
"63","16:38:03.124108","100","2257","172.26.191.172","5000","0.560817000","48","1","40198","0.562691000"
