frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"1","04:22:54.729447","86",,"100.64.0.5",,,,,,"0.000000000"
"2","04:22:54.731454","60","0","172.26.191.172","5000","0.000000000","0","0","42954","0.002007000"
"3","04:22:54.971809","60","0","100.64.0.5","42954","0.240355000","0","1","5000","0.242362000"
"4","04:22:54.971853","52","1","172.26.191.172","5000","0.240399000","0","1","42954","0.242406000"
"5","04:22:54.972186","100","1","172.26.191.172","5000","0.240732000","48","1","42954","0.242739000"
"6","04:22:54.972194","100","49","172.26.191.172","5000","0.240740000","48","1","42954","0.242747000"
"7","04:22:54.972208","100","97","172.26.191.172","5000","0.240754000","48","1","42954","0.242761000"
"8","04:22:54.972210","100","145","172.26.191.172","5000","0.240756000","48","1","42954","0.242763000"
"9","04:22:54.972217","100","193","172.26.191.172","5000","0.240763000","48","1","42954","0.242770000"
"10","04:22:54.972219","100","241","172.26.191.172","5000","0.240765000","48","1","42954","0.242772000"
"11","04:22:54.972225","100","289","172.26.191.172","5000","0.240771000","48","1","42954","0.242778000"
"12","04:22:54.972227","100","337","172.26.191.172","5000","0.240773000","48","1","42954","0.242780000"
"13","04:22:54.972233","100","385","172.26.191.172","5000","0.240779000","48","1","42954","0.242786000"
"14","04:22:54.972234","100","433","172.26.191.172","5000","0.240780000","48","1","42954","0.242787000"
"15","04:22:55.024131","76",,,,,,,,"0.294684000"
"16","04:22:55.213890","52","1","100.64.0.5","42954","0.482436000","0","97","5000","0.484443000"
"17","04:22:55.213935","100","481","172.26.191.172","5000","0.482481000","48","1","42954","0.484488000"
"18","04:22:55.213947","100","529","172.26.191.172","5000","0.482493000","48","1","42954","0.484500000"
"19","04:22:55.213959","100","577","172.26.191.172","5000","0.482505000","48","1","42954","0.484512000"
"20","04:22:55.213961","100","625","172.26.191.172","5000","0.482507000","48","1","42954","0.484514000"
"21","04:22:55.213973","52","1","100.64.0.5","42954","0.482519000","0","193","5000","0.484526000"
"22","04:22:55.213985","100","673","172.26.191.172","5000","0.482531000","48","1","42954","0.484538000"
"23","04:22:55.213987","100","721","172.26.191.172","5000","0.482533000","48","1","42954","0.484540000"
"24","04:22:55.213995","100","769","172.26.191.172","5000","0.482541000","48","1","42954","0.484548000"
"25","04:22:55.213997","100","817","172.26.191.172","5000","0.482543000","48","1","42954","0.484550000"
"26","04:22:55.214005","52","1","100.64.0.5","42954","0.482551000","0","289","5000","0.484558000"
"27","04:22:55.214017","100","865","172.26.191.172","5000","0.482563000","48","1","42954","0.484570000"
"28","04:22:55.214018","100","913","172.26.191.172","5000","0.482564000","48","1","42954","0.484571000"
"29","04:22:55.214025","100","961","172.26.191.172","5000","0.482571000","48","1","42954","0.484578000"
"30","04:22:55.214026","100","1009","172.26.191.172","5000","0.482572000","48","1","42954","0.484579000"
