_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","70","10.0.0.2",,"10.0.0.1",,,,
"0.000041","0.000041000",,"2","70","10.0.0.2",,"10.0.0.1",,,,
"0.003113","0.003113000",,"3","556","10.0.0.1",,"10.0.0.2",,,,
"0.003195","0.003195000",,"4","540","10.0.0.1",,"10.0.0.2",,,,
"0.187567","0.187567000","0.000000000","5","60","10.0.0.2","37214","23.192.152.196","443","0","0","0"
"0.188307","0.188307000","0.000740000","6","60","23.192.152.196","443","10.0.0.2","37214","0","0","1"
"0.374343","0.374343000","0.186776000","7","52","10.0.0.2","37214","23.192.152.196","443","0","1","1"
"0.374373","0.374373000","0.186806000","8","100","10.0.0.2","37214","23.192.152.196","443","48","1","1"
"0.374390","0.374390000","0.186823000","9","100","10.0.0.2","37214","23.192.152.196","443","48","49","1"
"0.374404","0.374404000","0.186837000","10","100","10.0.0.2","37214","23.192.152.196","443","48","97","1"
"0.374419","0.374419000","0.186852000","11","100","10.0.0.2","37214","23.192.152.196","443","48","145","1"
"0.374434","0.374434000","0.186867000","12","100","10.0.0.2","37214","23.192.152.196","443","48","193","1"
"0.374448","0.374448000","0.186881000","13","100","10.0.0.2","37214","23.192.152.196","443","48","241","1"
"0.374461","0.374461000","0.186894000","14","100","10.0.0.2","37214","23.192.152.196","443","48","289","1"
"0.374474","0.374474000","0.186907000","15","100","10.0.0.2","37214","23.192.152.196","443","48","337","1"
"0.374490","0.374490000","0.186923000","16","75","10.0.0.2","37214","23.192.152.196","443","23","385","1"
"0.375216","0.375216000","0.187649000","17","52","23.192.152.196","443","10.0.0.2","37214","0","1","49"
"0.375328","0.375328000","0.187761000","18","52","23.192.152.196","443","10.0.0.2","37214","0","1","97"
"0.375343","0.375343000","0.187776000","19","52","23.192.152.196","443","10.0.0.2","37214","0","1","145"
"0.375388","0.375388000","0.187821000","20","52","23.192.152.196","443","10.0.0.2","37214","0","1","193"
"0.375408","0.375408000","0.187841000","21","52","23.192.152.196","443","10.0.0.2","37214","0","1","241"
"0.375451","0.375451000","0.187884000","22","52","23.192.152.196","443","10.0.0.2","37214","0","1","289"
"0.375464","0.375464000","0.187897000","23","52","23.192.152.196","443","10.0.0.2","37214","0","1","337"
"0.375510","0.375510000","0.187943000","24","52","23.192.152.196","443","10.0.0.2","37214","0","1","385"
"0.375524","0.375524000","0.187957000","25","52","23.192.152.196","443","10.0.0.2","37214","0","1","408"
"0.418338","0.418338000","0.230771000","26","296","23.192.152.196","443","10.0.0.2","37214","244","1","408"
"0.418382","0.418382000","0.230815000","27","296","23.192.152.196","443","10.0.0.2","37214","244","245","408"
"0.418443","0.418443000","0.230876000","28","296","23.192.152.196","443","10.0.0.2","37214","244","489","408"
"0.418461","0.418461000","0.230894000","29","296","23.192.152.196","443","10.0.0.2","37214","244","733","408"
"0.418518","0.418518000","0.230951000","30","296","23.192.152.196","443","10.0.0.2","37214","244","977","408"
"0.418530","0.418530000","0.230963000","31","296","23.192.152.196","443","10.0.0.2","37214","244","1221","408"
"0.418576","0.418576000","0.231009000","32","296","23.192.152.196","443","10.0.0.2","37214","244","1465","408"
"0.418587","0.418587000","0.231020000","33","296","23.192.152.196","443","10.0.0.2","37214","244","1709","408"
"0.418632","0.418632000","0.231065000","34","296","23.192.152.196","443","10.0.0.2","37214","244","1953","408"
"0.418643","0.418643000","0.231076000","35","296","23.192.152.196","443","10.0.0.2","37214","244","2197","408"
"0.471423","0.471423000",,"36","76",,,,,,,
"0.471446","0.471446000",,"37","48",,,,,,,
"0.474053","0.474053000",,"38","76",,,,,,,
"0.522076","0.522076000",,"39","76",,,,,,,
"0.562339","0.562339000","0.374772000","40","52","10.0.0.2","37214","23.192.152.196","443","0","408","245"
"0.562370","0.562370000","0.374803000","41","52","10.0.0.2","37214","23.192.152.196","443","0","408","489"
"0.562388","0.562388000","0.374821000","42","52","10.0.0.2","37214","23.192.152.196","443","0","408","733"
"0.563043","0.563043000","0.375476000","43","296","23.192.152.196","443","10.0.0.2","37214","244","2441","408"
"0.563079","0.563079000","0.375512000","44","296","23.192.152.196","443","10.0.0.2","37214","244","2685","408"
"0.563129","0.563129000","0.375562000","45","296","23.192.152.196","443","10.0.0.2","37214","244","2929","408"
"0.563141","0.563141000","0.375574000","46","296","23.192.152.196","443","10.0.0.2","37214","244","3173","408"
"0.563189","0.563189000","0.375622000","47","296","23.192.152.196","443","10.0.0.2","37214","244","3417","408"
