_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","76",,,,,,,
"0.248593","0.248593000",,"2","69","10.0.0.2",,"10.0.0.1",,,,
"0.248609","0.248609000",,"3","69","10.0.0.2",,"10.0.0.1",,,,
"0.250942","0.250942000",,"4","204","10.0.0.1",,"10.0.0.2",,,,
"0.279200","0.279200000",,"5","508","10.0.0.1",,"10.0.0.2",,,,
"0.559641","0.559641000","0.000000000","6","60","10.0.0.2","35576","104.126.37.179","443","0","0","0"
"0.560396","0.560396000","0.000755000","7","60","104.126.37.179","443","10.0.0.2","35576","0","0","1"
"0.671589","0.671589000",,"8","76",,,,,,,
"0.671612","0.671612000",,"9","48",,,,,,,
"0.674243","0.674243000",,"10","76",,,,,,,
"0.799114","0.799114000",,"11","76",,,,,,,
"0.872526","0.872526000","0.312885000","12","52","10.0.0.2","35576","104.126.37.179","443","0","1","1"
"0.872556","0.872556000","0.312915000","13","100","10.0.0.2","35576","104.126.37.179","443","48","1","1"
"0.872574","0.872574000","0.312933000","14","100","10.0.0.2","35576","104.126.37.179","443","48","49","1"
"0.872592","0.872592000","0.312951000","15","100","10.0.0.2","35576","104.126.37.179","443","48","97","1"
"0.872607","0.872607000","0.312966000","16","100","10.0.0.2","35576","104.126.37.179","443","48","145","1"
"0.872623","0.872623000","0.312982000","17","100","10.0.0.2","35576","104.126.37.179","443","48","193","1"
"0.872639","0.872639000","0.312998000","18","100","10.0.0.2","35576","104.126.37.179","443","48","241","1"
"0.872654","0.872654000","0.313013000","19","100","10.0.0.2","35576","104.126.37.179","443","48","289","1"
"0.872669","0.872669000","0.313028000","20","100","10.0.0.2","35576","104.126.37.179","443","48","337","1"
"0.872685","0.872685000","0.313044000","21","74","10.0.0.2","35576","104.126.37.179","443","22","385","1"
"0.873388","0.873388000","0.313747000","22","52","104.126.37.179","443","10.0.0.2","35576","0","1","49"
"0.873621","0.873621000","0.313980000","23","52","104.126.37.179","443","10.0.0.2","35576","0","1","97"
"0.873641","0.873641000","0.314000000","24","52","104.126.37.179","443","10.0.0.2","35576","0","1","145"
"0.873687","0.873687000","0.314046000","25","52","104.126.37.179","443","10.0.0.2","35576","0","1","193"
"0.873699","0.873699000","0.314058000","26","52","104.126.37.179","443","10.0.0.2","35576","0","1","241"
"0.873742","0.873742000","0.314101000","27","52","104.126.37.179","443","10.0.0.2","35576","0","1","289"
"0.873753","0.873753000","0.314112000","28","52","104.126.37.179","443","10.0.0.2","35576","0","1","337"
"0.873796","0.873796000","0.314155000","29","52","104.126.37.179","443","10.0.0.2","35576","0","1","385"
"0.873807","0.873807000","0.314166000","30","52","104.126.37.179","443","10.0.0.2","35576","0","1","407"
"0.914676","0.914676000","0.355035000","31","296","104.126.37.179","443","10.0.0.2","35576","244","1","407"
"0.914705","0.914705000","0.355064000","32","296","104.126.37.179","443","10.0.0.2","35576","244","245","407"
"0.914763","0.914763000","0.355122000","33","296","104.126.37.179","443","10.0.0.2","35576","244","489","407"
"0.914780","0.914780000","0.355139000","34","296","104.126.37.179","443","10.0.0.2","35576","244","733","407"
"0.914835","0.914835000","0.355194000","35","296","104.126.37.179","443","10.0.0.2","35576","244","977","407"
"0.914852","0.914852000","0.355211000","36","296","104.126.37.179","443","10.0.0.2","35576","244","1221","407"
"0.914900","0.914900000","0.355259000","37","296","104.126.37.179","443","10.0.0.2","35576","244","1465","407"
"0.914912","0.914912000","0.355271000","38","296","104.126.37.179","443","10.0.0.2","35576","244","1709","407"
"0.914957","0.914957000","0.355316000","39","296","104.126.37.179","443","10.0.0.2","35576","244","1953","407"
"0.915002","0.915002000","0.355361000","40","296","104.126.37.179","443","10.0.0.2","35576","244","2197","407"
"1.015252","1.015252000",,"41","76",,,,,,,
"1.184504","1.184504000","0.624863000","42","52","10.0.0.2","35576","104.126.37.179","443","0","407","245"
"1.184535","1.184535000","0.624894000","43","52","10.0.0.2","35576","104.126.37.179","443","0","407","489"
"1.184553","1.184553000","0.624912000","44","52","10.0.0.2","35576","104.126.37.179","443","0","407","733"
"1.185154","1.185154000","0.625513000","45","296","104.126.37.179","443","10.0.0.2","35576","244","2441","407"
"1.185177","1.185177000","0.625536000","46","296","104.126.37.179","443","10.0.0.2","35576","244","2685","407"
"1.185225","1.185225000","0.625584000","47","296","104.126.37.179","443","10.0.0.2","35576","244","2929","407"
"1.185237","1.185237000","0.625596000","48","296","104.126.37.179","443","10.0.0.2","35576","244","3173","407"
"1.185282","1.185282000","0.625641000","49","296","104.126.37.179","443","10.0.0.2","35576","244","3417","407"
"1.185293","1.185293000","0.625652000","50","296","104.126.37.179","443","10.0.0.2","35576","244","3661","407"
"1.247825","1.247825000","0.688184000","51","52","10.0.0.2","35576","104.126.37.179","443","0","407","977"
"1.247857","1.247857000","0.688216000","52","52","10.0.0.2","35576","104.126.37.179","443","0","407","1221"
"1.247879","1.247879000","0.688238000","53","52","10.0.0.2","35576","104.126.37.179","443","0","407","1465"
"1.247893","1.247893000","0.688252000","54","52","10.0.0.2","35576","104.126.37.179","443","0","407","1709"
"1.247904","1.247904000","0.688263000","55","52","10.0.0.2","35576","104.126.37.179","443","0","407","1953"
"1.248563","1.248563000","0.688922000","56","296","104.126.37.179","443","10.0.0.2","35576","244","3905","407"
"1.248588","1.248588000","0.688947000","57","296","104.126.37.179","443","10.0.0.2","35576","244","4149","407"
"1.248637","1.248637000","0.688996000","58","296","104.126.37.179","443","10.0.0.2","35576","244","4393","407"
"1.248648","1.248648000","0.689007000","59","296","104.126.37.179","443","10.0.0.2","35576","244","4637","407"
