_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","75","10.0.0.2",,"10.0.0.1",,,,
"0.000034","0.000034000",,"2","75","10.0.0.2",,"10.0.0.1",,,,
"0.002737","0.002737000",,"3","530","10.0.0.1",,"10.0.0.2",,,,
"0.003538","0.003538000",,"4","588","10.0.0.1",,"10.0.0.2",,,,
"0.015382","0.015382000",,"5","76",,,,,,,
"0.015390","0.015390000",,"6","48",,,,,,,
"0.018357","0.018357000",,"7","76",,,,,,,
"0.187673","0.187673000","0.000000000","8","60","10.0.0.2","45252","104.102.50.195","443","0","0","0"
"0.188343","0.188343000","0.000670000","9","60","104.102.50.195","443","10.0.0.2","45252","0","0","1"
"0.374734","0.374734000","0.187061000","10","52","10.0.0.2","45252","104.102.50.195","443","0","1","1"
"0.374762","0.374762000","0.187089000","11","100","10.0.0.2","45252","104.102.50.195","443","48","1","1"
"0.374778","0.374778000","0.187105000","12","100","10.0.0.2","45252","104.102.50.195","443","48","49","1"
"0.374792","0.374792000","0.187119000","13","100","10.0.0.2","45252","104.102.50.195","443","48","97","1"
"0.374806","0.374806000","0.187133000","14","100","10.0.0.2","45252","104.102.50.195","443","48","145","1"
"0.374822","0.374822000","0.187149000","15","100","10.0.0.2","45252","104.102.50.195","443","48","193","1"
"0.374836","0.374836000","0.187163000","16","100","10.0.0.2","45252","104.102.50.195","443","48","241","1"
"0.374850","0.374850000","0.187177000","17","100","10.0.0.2","45252","104.102.50.195","443","48","289","1"
"0.374865","0.374865000","0.187192000","18","100","10.0.0.2","45252","104.102.50.195","443","48","337","1"
"0.374881","0.374881000","0.187208000","19","80","10.0.0.2","45252","104.102.50.195","443","28","385","1"
"0.375570","0.375570000","0.187897000","20","52","104.102.50.195","443","10.0.0.2","45252","0","1","49"
"0.375798","0.375798000","0.188125000","21","52","104.102.50.195","443","10.0.0.2","45252","0","1","97"
"0.375830","0.375830000","0.188157000","22","52","104.102.50.195","443","10.0.0.2","45252","0","1","145"
"0.375878","0.375878000","0.188205000","23","52","104.102.50.195","443","10.0.0.2","45252","0","1","193"
"0.375894","0.375894000","0.188221000","24","52","104.102.50.195","443","10.0.0.2","45252","0","1","241"
"0.375940","0.375940000","0.188267000","25","52","104.102.50.195","443","10.0.0.2","45252","0","1","289"
"0.375953","0.375953000","0.188280000","26","52","104.102.50.195","443","10.0.0.2","45252","0","1","337"
"0.375999","0.375999000","0.188326000","27","52","104.102.50.195","443","10.0.0.2","45252","0","1","385"
"0.376012","0.376012000","0.188339000","28","52","104.102.50.195","443","10.0.0.2","45252","0","1","413"
"0.410270","0.410270000","0.222597000","29","296","104.102.50.195","443","10.0.0.2","45252","244","1","413"
"0.410355","0.410355000","0.222682000","30","296","104.102.50.195","443","10.0.0.2","45252","244","245","413"
"0.410423","0.410423000","0.222750000","31","296","104.102.50.195","443","10.0.0.2","45252","244","489","413"
"0.410438","0.410438000","0.222765000","32","296","104.102.50.195","443","10.0.0.2","45252","244","733","413"
"0.410484","0.410484000","0.222811000","33","296","104.102.50.195","443","10.0.0.2","45252","244","977","413"
"0.410496","0.410496000","0.222823000","34","296","104.102.50.195","443","10.0.0.2","45252","244","1221","413"
"0.410542","0.410542000","0.222869000","35","296","104.102.50.195","443","10.0.0.2","45252","244","1465","413"
"0.410562","0.410562000","0.222889000","36","296","104.102.50.195","443","10.0.0.2","45252","244","1709","413"
