_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","72","10.0.0.2",,"10.0.0.1",,,,
"0.000012","0.000012000",,"2","72","10.0.0.2",,"10.0.0.1",,,,
"0.002033","0.002033000",,"3","626","10.0.0.1",,"10.0.0.2",,,,
"0.002174","0.002174000",,"4","610","10.0.0.1",,"10.0.0.2",,,,
"0.184476","0.184476000",,"5","76",,,,,,,
"0.184498","0.184498000",,"6","48",,,,,,,
"0.187362","0.187362000",,"7","76",,,,,,,
"0.188291","0.188291000","0.000000000","8","60","10.0.0.2","35112","23.213.168.27","443","0","0","0"
"0.188935","0.188935000","0.000644000","9","60","23.213.168.27","443","10.0.0.2","35112","0","0","1"
"0.374633","0.374633000","0.186342000","10","52","10.0.0.2","35112","23.213.168.27","443","0","1","1"
"0.374643","0.374643000","0.186352000","11","100","10.0.0.2","35112","23.213.168.27","443","48","1","1"
"0.374646","0.374646000","0.186355000","12","100","10.0.0.2","35112","23.213.168.27","443","48","49","1"
"0.374650","0.374650000","0.186359000","13","100","10.0.0.2","35112","23.213.168.27","443","48","97","1"
"0.374653","0.374653000","0.186362000","14","100","10.0.0.2","35112","23.213.168.27","443","48","145","1"
"0.374656","0.374656000","0.186365000","15","100","10.0.0.2","35112","23.213.168.27","443","48","193","1"
"0.374659","0.374659000","0.186368000","16","100","10.0.0.2","35112","23.213.168.27","443","48","241","1"
"0.374662","0.374662000","0.186371000","17","100","10.0.0.2","35112","23.213.168.27","443","48","289","1"
"0.374666","0.374666000","0.186375000","18","100","10.0.0.2","35112","23.213.168.27","443","48","337","1"
"0.374670","0.374670000","0.186379000","19","77","10.0.0.2","35112","23.213.168.27","443","25","385","1"
"0.375546","0.375546000","0.187255000","20","52","23.213.168.27","443","10.0.0.2","35112","0","1","49"
"0.375576","0.375576000","0.187285000","21","52","23.213.168.27","443","10.0.0.2","35112","0","1","97"
"0.375616","0.375616000","0.187325000","22","52","23.213.168.27","443","10.0.0.2","35112","0","1","145"
"0.375625","0.375625000","0.187334000","23","52","23.213.168.27","443","10.0.0.2","35112","0","1","193"
"0.375657","0.375657000","0.187366000","24","52","23.213.168.27","443","10.0.0.2","35112","0","1","241"
"0.375665","0.375665000","0.187374000","25","52","23.213.168.27","443","10.0.0.2","35112","0","1","289"
"0.375697","0.375697000","0.187406000","26","52","23.213.168.27","443","10.0.0.2","35112","0","1","337"
"0.375705","0.375705000","0.187414000","27","52","23.213.168.27","443","10.0.0.2","35112","0","1","385"
"0.375729","0.375729000","0.187438000","28","52","23.213.168.27","443","10.0.0.2","35112","0","1","410"
"0.408260","0.408260000","0.219969000","29","296","23.213.168.27","443","10.0.0.2","35112","244","1","410"
"0.408296","0.408296000","0.220005000","30","296","23.213.168.27","443","10.0.0.2","35112","244","245","410"
"0.408345","0.408345000","0.220054000","31","296","23.213.168.27","443","10.0.0.2","35112","244","489","410"
"0.408356","0.408356000","0.220065000","32","296","23.213.168.27","443","10.0.0.2","35112","244","733","410"
"0.408389","0.408389000","0.220098000","33","296","23.213.168.27","443","10.0.0.2","35112","244","977","410"
"0.408398","0.408398000","0.220107000","34","296","23.213.168.27","443","10.0.0.2","35112","244","1221","410"
"0.408430","0.408430000","0.220139000","35","296","23.213.168.27","443","10.0.0.2","35112","244","1465","410"
"0.408439","0.408439000","0.220148000","36","296","23.213.168.27","443","10.0.0.2","35112","244","1709","410"
"0.408471","0.408471000","0.220180000","37","296","23.213.168.27","443","10.0.0.2","35112","244","1953","410"
"0.408480","0.408480000","0.220189000","38","296","23.213.168.27","443","10.0.0.2","35112","244","2197","410"
"0.488199","0.488199000",,"39","76",,,,,,,
"0.488225","0.488225000",,"40","76",,,,,,,
"0.563156","0.563156000","0.374865000","41","52","10.0.0.2","35112","23.213.168.27","443","0","410","245"
"0.563173","0.563173000","0.374882000","42","52","10.0.0.2","35112","23.213.168.27","443","0","410","489"
"0.563181","0.563181000","0.374890000","43","52","10.0.0.2","35112","23.213.168.27","443","0","410","733"
"0.563810","0.563810000","0.375519000","44","296","23.213.168.27","443","10.0.0.2","35112","244","2441","410"
"0.563855","0.563855000","0.375564000","45","296","23.213.168.27","443","10.0.0.2","35112","244","2685","410"
"0.563917","0.563917000","0.375626000","46","296","23.213.168.27","443","10.0.0.2","35112","244","2929","410"
"0.563935","0.563935000","0.375644000","47","296","23.213.168.27","443","10.0.0.2","35112","244","3173","410"
"0.563985","0.563985000","0.375694000","48","296","23.213.168.27","443","10.0.0.2","35112","244","3417","410"
"0.563997","0.563997000","0.375706000","49","296","23.213.168.27","443","10.0.0.2","35112","244","3661","410"
"0.625184","0.625184000","0.436893000","50","52","10.0.0.2","35112","23.213.168.27","443","0","410","977"
"0.625215","0.625215000","0.436924000","51","52","10.0.0.2","35112","23.213.168.27","443","0","410","1221"
"0.625234","0.625234000","0.436943000","52","52","10.0.0.2","35112","23.213.168.27","443","0","410","1465"
"0.625247","0.625247000","0.436956000","53","52","10.0.0.2","35112","23.213.168.27","443","0","410","1709"
"0.625262","0.625262000","0.436971000","54","52","10.0.0.2","35112","23.213.168.27","443","0","410","1953"
"0.625760","0.625760000","0.437469000","55","296","23.213.168.27","443","10.0.0.2","35112","244","3905","410"
"0.625798","0.625798000","0.437507000","56","296","23.213.168.27","443","10.0.0.2","35112","244","4149","410"
"0.625849","0.625849000","0.437558000","57","296","23.213.168.27","443","10.0.0.2","35112","244","4393","410"
"0.625862","0.625862000","0.437571000","58","296","23.213.168.27","443","10.0.0.2","35112","244","4637","410"
"0.625908","0.625908000","0.437617000","59","296","23.213.168.27","443","10.0.0.2","35112","244","4881","410"
"0.625920","0.625920000","0.437629000","60","296","23.213.168.27","443","10.0.0.2","35112","244","5125","410"
"0.625953","0.625953000","0.437662000","61","129","23.213.168.27","443","10.0.0.2","35112","77","5369","410"
"0.687427","0.687427000","0.499136000","62","52","10.0.0.2","35112","23.213.168.27","443","0","410","2197"
"0.687452","0.687452000","0.499161000","63","52","10.0.0.2","35112","23.213.168.27","443","0","410","2441"
"0.749518","0.749518000","0.561227000","64","52","10.0.0.2","35112","23.213.168.27","443","0","410","2685"
"0.749555","0.749555000","0.561264000","65","52","10.0.0.2","35112","23.213.168.27","443","0","410","2929"
"0.749574","0.749574000","0.561283000","66","52","10.0.0.2","35112","23.213.168.27","443","0","410","3173"
"0.749591","0.749591000","0.561300000","67","52","10.0.0.2","35112","23.213.168.27","443","0","410","3417"
"0.749610","0.749610000","0.561319000","68","52","10.0.0.2","35112","23.213.168.27","443","0","410","3661"
"0.808329","0.808329000",,"69","76",,,,,,,
"0.812457","0.812457000","0.624166000","70","52","10.0.0.2","35112","23.213.168.27","443","0","410","3905"
"0.812488","0.812488000","0.624197000","71","52","10.0.0.2","35112","23.213.168.27","443","0","410","4881"
"0.874860","0.874860000","0.686569000","72","52","10.0.0.2","35112","23.213.168.27","443","0","410","5446"
