_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","69","10.0.0.2",,"10.0.0.1",,,,
"0.000019","0.000019000",,"2","69","10.0.0.2",,"10.0.0.1",,,,
"0.003113","0.003113000",,"3","484","10.0.0.1",,"10.0.0.2",,,,
"0.003226","0.003226000",,"4","608","10.0.0.1",,"10.0.0.2",,,,
"0.005573","0.005573000",,"5","76",,,,,,,
"0.005585","0.005585000",,"6","48",,,,,,,
"0.008569","0.008569000",,"7","76",,,,,,,
"0.311312","0.311312000","0.000000000","8","60","10.0.0.2","33604","23.213.168.27","443","0","0","0"
"0.312222","0.312222000","0.000910000","9","60","23.213.168.27","443","10.0.0.2","33604","0","0","1"
"0.624504","0.624504000","0.313192000","10","52","10.0.0.2","33604","23.213.168.27","443","0","1","1"
"0.624548","0.624548000","0.313236000","11","100","10.0.0.2","33604","23.213.168.27","443","48","1","1"
"0.624564","0.624564000","0.313252000","12","100","10.0.0.2","33604","23.213.168.27","443","48","49","1"
"0.624578","0.624578000","0.313266000","13","100","10.0.0.2","33604","23.213.168.27","443","48","97","1"
"0.624592","0.624592000","0.313280000","14","100","10.0.0.2","33604","23.213.168.27","443","48","145","1"
"0.624606","0.624606000","0.313294000","15","100","10.0.0.2","33604","23.213.168.27","443","48","193","1"
"0.624617","0.624617000","0.313305000","16","100","10.0.0.2","33604","23.213.168.27","443","48","241","1"
"0.624631","0.624631000","0.313319000","17","100","10.0.0.2","33604","23.213.168.27","443","48","289","1"
"0.624645","0.624645000","0.313333000","18","100","10.0.0.2","33604","23.213.168.27","443","48","337","1"
"0.624661","0.624661000","0.313349000","19","74","10.0.0.2","33604","23.213.168.27","443","22","385","1"
"0.625351","0.625351000","0.314039000","20","52","23.213.168.27","443","10.0.0.2","33604","0","1","49"
"0.625462","0.625462000","0.314150000","21","52","23.213.168.27","443","10.0.0.2","33604","0","1","97"
"0.625505","0.625505000","0.314193000","22","52","23.213.168.27","443","10.0.0.2","33604","0","1","145"
"0.625554","0.625554000","0.314242000","23","52","23.213.168.27","443","10.0.0.2","33604","0","1","193"
"0.625569","0.625569000","0.314257000","24","52","23.213.168.27","443","10.0.0.2","33604","0","1","241"
"0.625612","0.625612000","0.314300000","25","52","23.213.168.27","443","10.0.0.2","33604","0","1","289"
"0.625624","0.625624000","0.314312000","26","52","23.213.168.27","443","10.0.0.2","33604","0","1","337"
"0.625669","0.625669000","0.314357000","27","52","23.213.168.27","443","10.0.0.2","33604","0","1","385"
"0.625682","0.625682000","0.314370000","28","52","23.213.168.27","443","10.0.0.2","33604","0","1","407"
"0.645627","0.645627000",,"29","76",,,,,,,
"0.646043","0.646043000",,"30","76",,,,,,,
"0.646062","0.646062000",,"31","48",,,,,,,
"0.648748","0.648748000",,"32","76",,,,,,,
"0.659713","0.659713000","0.348401000","33","296","23.213.168.27","443","10.0.0.2","33604","244","1","407"
"0.659759","0.659759000","0.348447000","34","296","23.213.168.27","443","10.0.0.2","33604","244","245","407"
"0.659826","0.659826000","0.348514000","35","296","23.213.168.27","443","10.0.0.2","33604","244","489","407"
"0.659846","0.659846000","0.348534000","36","296","23.213.168.27","443","10.0.0.2","33604","244","733","407"
"0.659896","0.659896000","0.348584000","37","296","23.213.168.27","443","10.0.0.2","33604","244","977","407"
"0.659907","0.659907000","0.348595000","38","296","23.213.168.27","443","10.0.0.2","33604","244","1221","407"
"0.659957","0.659957000","0.348645000","39","296","23.213.168.27","443","10.0.0.2","33604","244","1465","407"
"0.659969","0.659969000","0.348657000","40","296","23.213.168.27","443","10.0.0.2","33604","244","1709","407"
"0.660014","0.660014000","0.348702000","41","296","23.213.168.27","443","10.0.0.2","33604","244","1953","407"
"0.660026","0.660026000","0.348714000","42","296","23.213.168.27","443","10.0.0.2","33604","244","2197","407"
"0.837623","0.837623000",,"43","76",,,,,,,
"0.925771","0.925771000",,"44","76",,,,,,,
"0.936248","0.936248000","0.624936000","45","52","10.0.0.2","33604","23.213.168.27","443","0","407","245"
"0.936278","0.936278000","0.624966000","46","52","10.0.0.2","33604","23.213.168.27","443","0","407","489"
"0.936295","0.936295000","0.624983000","47","52","10.0.0.2","33604","23.213.168.27","443","0","407","733"
"0.936948","0.936948000","0.625636000","48","296","23.213.168.27","443","10.0.0.2","33604","244","2441","407"
"0.936987","0.936987000","0.625675000","49","296","23.213.168.27","443","10.0.0.2","33604","244","2685","407"
"0.937044","0.937044000","0.625732000","50","296","23.213.168.27","443","10.0.0.2","33604","244","2929","407"
"0.937056","0.937056000","0.625744000","51","296","23.213.168.27","443","10.0.0.2","33604","244","3173","407"
"0.937103","0.937103000","0.625791000","52","296","23.213.168.27","443","10.0.0.2","33604","244","3417","407"
"0.937114","0.937114000","0.625802000","53","296","23.213.168.27","443","10.0.0.2","33604","244","3661","407"
"0.981770","0.981770000",,"54","76",,,,,,,
"0.999029","0.999029000","0.687717000","55","52","10.0.0.2","33604","23.213.168.27","443","0","407","977"
"0.999056","0.999056000","0.687744000","56","52","10.0.0.2","33604","23.213.168.27","443","0","407","1221"
"0.999073","0.999073000","0.687761000","57","52","10.0.0.2","33604","23.213.168.27","443","0","407","1465"
"0.999087","0.999087000","0.687775000","58","52","10.0.0.2","33604","23.213.168.27","443","0","407","1709"
"0.999100","0.999100000","0.687788000","59","52","10.0.0.2","33604","23.213.168.27","443","0","407","1953"
"0.999757","0.999757000","0.688445000","60","296","23.213.168.27","443","10.0.0.2","33604","244","3905","407"
"0.999793","0.999793000","0.688481000","61","296","23.213.168.27","443","10.0.0.2","33604","244","4149","407"
"0.999844","0.999844000","0.688532000","62","296","23.213.168.27","443","10.0.0.2","33604","244","4393","407"
"0.999856","0.999856000","0.688544000","63","296","23.213.168.27","443","10.0.0.2","33604","244","4637","407"
"0.999901","0.999901000","0.688589000","64","296","23.213.168.27","443","10.0.0.2","33604","244","4881","407"
"0.999913","0.999913000","0.688601000","65","296","23.213.168.27","443","10.0.0.2","33604","244","5125","407"
"0.999947","0.999947000","0.688635000","66","129","23.213.168.27","443","10.0.0.2","33604","77","5369","407"
"1.060974","1.060974000","0.749662000","67","52","10.0.0.2","33604","23.213.168.27","443","0","407","2197"
"1.061003","1.061003000","0.749691000","68","52","10.0.0.2","33604","23.213.168.27","443","0","407","2441"
"1.249234","1.249234000","0.937922000","69","52","10.0.0.2","33604","23.213.168.27","443","0","407","2685"
"1.249263","1.249263000","0.937951000","70","52","10.0.0.2","33604","23.213.168.27","443","0","407","2929"
"1.249278","1.249278000","0.937966000","71","52","10.0.0.2","33604","23.213.168.27","443","0","407","3173"
"1.249293","1.249293000","0.937981000","72","52","10.0.0.2","33604","23.213.168.27","443","0","407","3417"
"1.249306","1.249306000","0.937994000","73","52","10.0.0.2","33604","23.213.168.27","443","0","407","3661"
"1.310956","1.310956000","0.999644000","74","52","10.0.0.2","33604","23.213.168.27","443","0","407","3905"
"1.310984","1.310984000","0.999672000","75","52","10.0.0.2","33604","23.213.168.27","443","0","407","4393"
"1.311000","1.311000000","0.999688000","76","52","10.0.0.2","33604","23.213.168.27","443","0","407","4881"
"1.374058","1.374058000","1.062746000","77","52","10.0.0.2","33604","23.213.168.27","443","0","407","5446"
"1.374088","1.374088000","1.062776000","78","100","10.0.0.2","33604","23.213.168.27","443","48","407","5446"
"1.374105","1.374105000","1.062793000","79","84","10.0.0.2","33604","23.213.168.27","443","32","455","5446"
"1.374119","1.374119000","1.062807000","80","100","10.0.0.2","33604","23.213.168.27","443","48","487","5446"
"1.374133","1.374133000","1.062821000","81","100","10.0.0.2","33604","23.213.168.27","443","48","535","5446"
"1.374148","1.374148000","1.062836000","82","100","10.0.0.2","33604","23.213.168.27","443","48","583","5446"
"1.374864","1.374864000","1.063552000","83","52","23.213.168.27","443","10.0.0.2","33604","0","5446","455"
"1.374905","1.374905000","1.063593000","84","52","23.213.168.27","443","10.0.0.2","33604","0","5446","535"
"1.374968","1.374968000","1.063656000","85","52","23.213.168.27","443","10.0.0.2","33604","0","5446","583"
"1.374986","1.374986000","1.063674000","86","52","23.213.168.27","443","10.0.0.2","33604","0","5446","631"
"1.392021","1.392021000","1.080709000","87","296","23.213.168.27","443","10.0.0.2","33604","244","5446","631"
"1.392065","1.392065000","1.080753000","88","79","23.213.168.27","443","10.0.0.2","33604","27","5690","631"
"1.392127","1.392127000","1.080815000","89","296","23.213.168.27","443","10.0.0.2","33604","244","5717","631"
"1.392144","1.392144000","1.080832000","90","79","23.213.168.27","443","10.0.0.2","33604","27","5961","631"
"1.685921","1.685921000","1.374609000","91","53","10.0.0.2","33604","23.213.168.27","443","1","631","5446"
"1.685947","1.685947000","1.374635000","92","52","10.0.0.2","33604","23.213.168.27","443","0","632","5988"
"1.705668","1.705668000","1.394356000","93","296","23.213.168.27","443","10.0.0.2","33604","244","5988","632"
"1.705717","1.705717000","1.394405000","94","296","23.213.168.27","443","10.0.0.2","33604","244","6232","632"
"1.705783","1.705783000","1.394471000","95","296","23.213.168.27","443","10.0.0.2","33604","244","6476","632"
"1.705799","1.705799000","1.394487000","96","296","23.213.168.27","443","10.0.0.2","33604","244","6720","632"
