_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","73","10.0.0.2",,"10.0.0.1",,,,
"0.000020","0.000020000",,"2","73","10.0.0.2",,"10.0.0.1",,,,
"0.002363","0.002363000",,"3","423","10.0.0.1",,"10.0.0.2",,,,
"0.002371","0.002371000",,"4","496","10.0.0.1",,"10.0.0.2",,,,
"0.187366","0.187366000","0.000000000","5","60","10.0.0.2","54260","148.153.35.66","443","0","0","0"
"0.188208","0.188208000","0.000842000","6","60","148.153.35.66","443","10.0.0.2","54260","0","0","1"
"0.374286","0.374286000","0.186920000","7","52","10.0.0.2","54260","148.153.35.66","443","0","1","1"
"0.374315","0.374315000","0.186949000","8","100","10.0.0.2","54260","148.153.35.66","443","48","1","1"
"0.374333","0.374333000","0.186967000","9","100","10.0.0.2","54260","148.153.35.66","443","48","49","1"
"0.374346","0.374346000","0.186980000","10","100","10.0.0.2","54260","148.153.35.66","443","48","97","1"
"0.374369","0.374369000","0.187003000","11","100","10.0.0.2","54260","148.153.35.66","443","48","145","1"
"0.374377","0.374377000","0.187011000","12","100","10.0.0.2","54260","148.153.35.66","443","48","193","1"
"0.374385","0.374385000","0.187019000","13","100","10.0.0.2","54260","148.153.35.66","443","48","241","1"
"0.374393","0.374393000","0.187027000","14","100","10.0.0.2","54260","148.153.35.66","443","48","289","1"
"0.374401","0.374401000","0.187035000","15","100","10.0.0.2","54260","148.153.35.66","443","48","337","1"
"0.374409","0.374409000","0.187043000","16","78","10.0.0.2","54260","148.153.35.66","443","26","385","1"
"0.375158","0.375158000","0.187792000","17","52","148.153.35.66","443","10.0.0.2","54260","0","1","49"
"0.375214","0.375214000","0.187848000","18","52","148.153.35.66","443","10.0.0.2","54260","0","1","97"
"0.375224","0.375224000","0.187858000","19","52","148.153.35.66","443","10.0.0.2","54260","0","1","145"
"0.375249","0.375249000","0.187883000","20","52","148.153.35.66","443","10.0.0.2","54260","0","1","193"
"0.375255","0.375255000","0.187889000","21","52","148.153.35.66","443","10.0.0.2","54260","0","1","241"
"0.375279","0.375279000","0.187913000","22","52","148.153.35.66","443","10.0.0.2","54260","0","1","289"
"0.375285","0.375285000","0.187919000","23","52","148.153.35.66","443","10.0.0.2","54260","0","1","337"
"0.375310","0.375310000","0.187944000","24","52","148.153.35.66","443","10.0.0.2","54260","0","1","385"
"0.375322","0.375322000","0.187956000","25","52","148.153.35.66","443","10.0.0.2","54260","0","1","411"
"0.475303","0.475303000","0.287937000","26","296","148.153.35.66","443","10.0.0.2","54260","244","1","411"
"0.475350","0.475350000","0.287984000","27","296","148.153.35.66","443","10.0.0.2","54260","244","245","411"
"0.475417","0.475417000","0.288051000","28","296","148.153.35.66","443","10.0.0.2","54260","244","489","411"
"0.475437","0.475437000","0.288071000","29","296","148.153.35.66","443","10.0.0.2","54260","244","733","411"
"0.475488","0.475488000","0.288122000","30","296","148.153.35.66","443","10.0.0.2","54260","244","977","411"
"0.475500","0.475500000","0.288134000","31","296","148.153.35.66","443","10.0.0.2","54260","244","1221","411"
"0.475550","0.475550000","0.288184000","32","296","148.153.35.66","443","10.0.0.2","54260","244","1465","411"
"0.475562","0.475562000","0.288196000","33","296","148.153.35.66","443","10.0.0.2","54260","244","1709","411"
"0.475607","0.475607000","0.288241000","34","296","148.153.35.66","443","10.0.0.2","54260","244","1953","411"
"0.475619","0.475619000","0.288253000","35","296","148.153.35.66","443","10.0.0.2","54260","244","2197","411"
