_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","76",,,,,,,
"0.160434","0.160434000",,"2","68","10.0.0.2",,"10.0.0.1",,,,
"0.160462","0.160462000",,"3","68","10.0.0.2",,"10.0.0.1",,,,
"0.161421","0.161421000",,"4","148","10.0.0.1",,"10.0.0.2",,,,
"0.161808","0.161808000",,"5","127","10.0.0.1",,"10.0.0.2",,,,
"0.320019","0.320019000",,"6","76",,,,,,,
"0.347965","0.347965000","0.000000000","7","60","10.0.0.2","43022","162.159.137.232","443","0","0","0"
"0.348785","0.348785000","0.000820000","8","60","162.159.137.232","443","10.0.0.2","43022","0","0","1"
"0.534106","0.534106000","0.186141000","9","52","10.0.0.2","43022","162.159.137.232","443","0","1","1"
"0.534135","0.534135000","0.186170000","10","100","10.0.0.2","43022","162.159.137.232","443","48","1","1"
"0.534153","0.534153000","0.186188000","11","100","10.0.0.2","43022","162.159.137.232","443","48","49","1"
"0.534167","0.534167000","0.186202000","12","100","10.0.0.2","43022","162.159.137.232","443","48","97","1"
"0.534183","0.534183000","0.186218000","13","100","10.0.0.2","43022","162.159.137.232","443","48","145","1"
"0.534197","0.534197000","0.186232000","14","100","10.0.0.2","43022","162.159.137.232","443","48","193","1"
"0.534213","0.534213000","0.186248000","15","100","10.0.0.2","43022","162.159.137.232","443","48","241","1"
"0.534227","0.534227000","0.186262000","16","100","10.0.0.2","43022","162.159.137.232","443","48","289","1"
"0.534241","0.534241000","0.186276000","17","100","10.0.0.2","43022","162.159.137.232","443","48","337","1"
"0.534258","0.534258000","0.186293000","18","73","10.0.0.2","43022","162.159.137.232","443","21","385","1"
"0.535342","0.535342000","0.187377000","19","52","162.159.137.232","443","10.0.0.2","43022","0","1","49"
"0.535448","0.535448000","0.187483000","20","52","162.159.137.232","443","10.0.0.2","43022","0","1","97"
"0.535469","0.535469000","0.187504000","21","52","162.159.137.232","443","10.0.0.2","43022","0","1","145"
"0.535526","0.535526000","0.187561000","22","52","162.159.137.232","443","10.0.0.2","43022","0","1","193"
"0.535539","0.535539000","0.187574000","23","52","162.159.137.232","443","10.0.0.2","43022","0","1","241"
"0.535583","0.535583000","0.187618000","24","52","162.159.137.232","443","10.0.0.2","43022","0","1","289"
"0.535604","0.535604000","0.187639000","25","52","162.159.137.232","443","10.0.0.2","43022","0","1","337"
"0.535649","0.535649000","0.187684000","26","52","162.159.137.232","443","10.0.0.2","43022","0","1","385"
"0.535662","0.535662000","0.187697000","27","52","162.159.137.232","443","10.0.0.2","43022","0","1","406"
"0.570286","0.570286000","0.222321000","28","296","162.159.137.232","443","10.0.0.2","43022","244","1","406"
"0.570331","0.570331000","0.222366000","29","296","162.159.137.232","443","10.0.0.2","43022","244","245","406"
"0.570390","0.570390000","0.222425000","30","296","162.159.137.232","443","10.0.0.2","43022","244","489","406"
"0.570407","0.570407000","0.222442000","31","296","162.159.137.232","443","10.0.0.2","43022","244","733","406"
"0.570464","0.570464000","0.222499000","32","296","162.159.137.232","443","10.0.0.2","43022","244","977","406"
"0.570477","0.570477000","0.222512000","33","296","162.159.137.232","443","10.0.0.2","43022","244","1221","406"
"0.570522","0.570522000","0.222557000","34","296","162.159.137.232","443","10.0.0.2","43022","244","1465","406"
"0.570534","0.570534000","0.222569000","35","296","162.159.137.232","443","10.0.0.2","43022","244","1709","406"
"0.570578","0.570578000","0.222613000","36","296","162.159.137.232","443","10.0.0.2","43022","244","1953","406"
"0.570599","0.570599000","0.222634000","37","296","162.159.137.232","443","10.0.0.2","43022","244","2197","406"
"0.672160","0.672160000",,"38","76",,,,,,,
"0.722334","0.722334000","0.374369000","39","52","10.0.0.2","43022","162.159.137.232","443","0","406","245"
"0.722352","0.722352000","0.374387000","40","52","10.0.0.2","43022","162.159.137.232","443","0","406","489"
"0.722363","0.722363000","0.374398000","41","52","10.0.0.2","43022","162.159.137.232","443","0","406","733"
"0.722992","0.722992000","0.375027000","42","296","162.159.137.232","443","10.0.0.2","43022","244","2441","406"
"0.723030","0.723030000","0.375065000","43","193","162.159.137.232","443","10.0.0.2","43022","141","2685","406"
"0.736014","0.736014000",,"44","76",,,,,,,
