_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","75","10.0.0.2",,"10.0.0.1",,,,
"0.000019","0.000019000",,"2","75","10.0.0.2",,"10.0.0.1",,,,
"0.028510","0.028510000",,"3","444","10.0.0.1",,"10.0.0.2",,,,
"0.029844","0.029844000",,"4","484","10.0.0.1",,"10.0.0.2",,,,
"0.311057","0.311057000","0.000000000","5","60","10.0.0.2","48500","95.101.148.41","443","0","0","0"
"0.311782","0.311782000","0.000725000","6","60","95.101.148.41","443","10.0.0.2","48500","0","0","1"
"0.446745","0.446745000",,"7","76",,,,,,,
"0.446764","0.446764000",,"8","48",,,,,,,
"0.449679","0.449679000",,"9","76",,,,,,,
"0.606701","0.606701000",,"10","76",,,,,,,
"0.624288","0.624288000","0.313231000","11","52","10.0.0.2","48500","95.101.148.41","443","0","1","1"
"0.624319","0.624319000","0.313262000","12","100","10.0.0.2","48500","95.101.148.41","443","48","1","1"
"0.624338","0.624338000","0.313281000","13","100","10.0.0.2","48500","95.101.148.41","443","48","49","1"
"0.624354","0.624354000","0.313297000","14","100","10.0.0.2","48500","95.101.148.41","443","48","97","1"
"0.624370","0.624370000","0.313313000","15","100","10.0.0.2","48500","95.101.148.41","443","48","145","1"
"0.624385","0.624385000","0.313328000","16","100","10.0.0.2","48500","95.101.148.41","443","48","193","1"
"0.624401","0.624401000","0.313344000","17","100","10.0.0.2","48500","95.101.148.41","443","48","241","1"
"0.624417","0.624417000","0.313360000","18","100","10.0.0.2","48500","95.101.148.41","443","48","289","1"
"0.624434","0.624434000","0.313377000","19","100","10.0.0.2","48500","95.101.148.41","443","48","337","1"
"0.624451","0.624451000","0.313394000","20","80","10.0.0.2","48500","95.101.148.41","443","28","385","1"
"0.625295","0.625295000","0.314238000","21","52","95.101.148.41","443","10.0.0.2","48500","0","1","49"
"0.625749","0.625749000","0.314692000","22","52","95.101.148.41","443","10.0.0.2","48500","0","1","97"
"0.625785","0.625785000","0.314728000","23","52","95.101.148.41","443","10.0.0.2","48500","0","1","145"
"0.625836","0.625836000","0.314779000","24","52","95.101.148.41","443","10.0.0.2","48500","0","1","193"
"0.625848","0.625848000","0.314791000","25","52","95.101.148.41","443","10.0.0.2","48500","0","1","241"
"0.625892","0.625892000","0.314835000","26","52","95.101.148.41","443","10.0.0.2","48500","0","1","289"
"0.625904","0.625904000","0.314847000","27","52","95.101.148.41","443","10.0.0.2","48500","0","1","337"
"0.625949","0.625949000","0.314892000","28","52","95.101.148.41","443","10.0.0.2","48500","0","1","385"
"0.625961","0.625961000","0.314904000","29","52","95.101.148.41","443","10.0.0.2","48500","0","1","413"
"0.639319","0.639319000",,"30","76",,,,,,,
"0.639342","0.639342000",,"31","48",,,,,,,
"0.641789","0.641789000",,"32","76",,,,,,,
"0.660342","0.660342000","0.349285000","33","296","95.101.148.41","443","10.0.0.2","48500","244","1","413"
"0.660387","0.660387000","0.349330000","34","296","95.101.148.41","443","10.0.0.2","48500","244","245","413"
"0.660449","0.660449000","0.349392000","35","296","95.101.148.41","443","10.0.0.2","48500","244","489","413"
"0.660468","0.660468000","0.349411000","36","296","95.101.148.41","443","10.0.0.2","48500","244","733","413"
"0.660529","0.660529000","0.349472000","37","296","95.101.148.41","443","10.0.0.2","48500","244","977","413"
"0.660544","0.660544000","0.349487000","38","296","95.101.148.41","443","10.0.0.2","48500","244","1221","413"
"0.660627","0.660627000","0.349570000","39","296","95.101.148.41","443","10.0.0.2","48500","244","1465","413"
"0.660640","0.660640000","0.349583000","40","296","95.101.148.41","443","10.0.0.2","48500","244","1709","413"
"0.660686","0.660686000","0.349629000","41","296","95.101.148.41","443","10.0.0.2","48500","244","1953","413"
"0.660702","0.660702000","0.349645000","42","296","95.101.148.41","443","10.0.0.2","48500","244","2197","413"
"0.686691","0.686691000",,"43","76",,,,,,,
"0.934809","0.934809000",,"44","76",,,,,,,
"0.935988","0.935988000","0.624931000","45","52","10.0.0.2","48500","95.101.148.41","443","0","413","245"
"0.936001","0.936001000","0.624944000","46","52","10.0.0.2","48500","95.101.148.41","443","0","413","489"
"0.936006","0.936006000","0.624949000","47","52","10.0.0.2","48500","95.101.148.41","443","0","413","733"
"0.936684","0.936684000","0.625627000","48","296","95.101.148.41","443","10.0.0.2","48500","244","2441","413"
"0.936721","0.936721000","0.625664000","49","296","95.101.148.41","443","10.0.0.2","48500","244","2685","413"
"0.936772","0.936772000","0.625715000","50","296","95.101.148.41","443","10.0.0.2","48500","244","2929","413"
"0.936784","0.936784000","0.625727000","51","296","95.101.148.41","443","10.0.0.2","48500","244","3173","413"
"0.936831","0.936831000","0.625774000","52","296","95.101.148.41","443","10.0.0.2","48500","244","3417","413"
"0.936843","0.936843000","0.625786000","53","296","95.101.148.41","443","10.0.0.2","48500","244","3661","413"
"0.999119","0.999119000","0.688062000","54","52","10.0.0.2","48500","95.101.148.41","443","0","413","977"
"0.999154","0.999154000","0.688097000","55","52","10.0.0.2","48500","95.101.148.41","443","0","413","1221"
"0.999176","0.999176000","0.688119000","56","52","10.0.0.2","48500","95.101.148.41","443","0","413","1953"
"0.999801","0.999801000","0.688744000","57","296","95.101.148.41","443","10.0.0.2","48500","244","3905","413"
"0.999836","0.999836000","0.688779000","58","296","95.101.148.41","443","10.0.0.2","48500","244","4149","413"
"1.000052","1.000052000","0.688995000","59","296","95.101.148.41","443","10.0.0.2","48500","244","4393","413"
"1.000068","1.000068000","0.689011000","60","296","95.101.148.41","443","10.0.0.2","48500","244","4637","413"
"1.000117","1.000117000","0.689060000","61","296","95.101.148.41","443","10.0.0.2","48500","244","4881","413"
"1.000130","1.000130000","0.689073000","62","246","95.101.148.41","443","10.0.0.2","48500","194","5125","413"
"1.061339","1.061339000","0.750282000","63","52","10.0.0.2","48500","95.101.148.41","443","0","413","2197"
"1.061370","1.061370000","0.750313000","64","52","10.0.0.2","48500","95.101.148.41","443","0","413","2441"
"1.214812","1.214812000",,"65","76",,,,,,,
"1.248839","1.248839000","0.937782000","66","52","10.0.0.2","48500","95.101.148.41","443","0","413","2685"
"1.248875","1.248875000","0.937818000","67","52","10.0.0.2","48500","95.101.148.41","443","0","413","2929"
"1.248893","1.248893000","0.937836000","68","52","10.0.0.2","48500","95.101.148.41","443","0","413","3173"
"1.248908","1.248908000","0.937851000","69","52","10.0.0.2","48500","95.101.148.41","443","0","413","3417"
"1.248924","1.248924000","0.937867000","70","52","10.0.0.2","48500","95.101.148.41","443","0","413","3661"
"1.310932","1.310932000","0.999875000","71","52","10.0.0.2","48500","95.101.148.41","443","0","413","3905"
"1.310962","1.310962000","0.999905000","72","52","10.0.0.2","48500","95.101.148.41","443","0","413","4149"
"1.310981","1.310981000","0.999924000","73","52","10.0.0.2","48500","95.101.148.41","443","0","413","4393"
"1.310996","1.310996000","0.999939000","74","52","10.0.0.2","48500","95.101.148.41","443","0","413","4881"
"1.374570","1.374570000","1.063513000","75","52","10.0.0.2","48500","95.101.148.41","443","0","413","5319"
"1.374619","1.374619000","1.063562000","76","100","10.0.0.2","48500","95.101.148.41","443","48","413","5319"
"1.374639","1.374639000","1.063582000","77","84","10.0.0.2","48500","95.101.148.41","443","32","461","5319"
"1.374657","1.374657000","1.063600000","78","100","10.0.0.2","48500","95.101.148.41","443","48","493","5319"
"1.374672","1.374672000","1.063615000","79","100","10.0.0.2","48500","95.101.148.41","443","48","541","5319"
