_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","71","10.0.0.2",,"10.0.0.1",,,,
"0.000021","0.000021000",,"2","71","10.0.0.2",,"10.0.0.1",,,,
"0.002350","0.002350000",,"3","354","10.0.0.1",,"10.0.0.2",,,,
"0.002481","0.002481000",,"4","258","10.0.0.1",,"10.0.0.2",,,,
"0.310831","0.310831000","0.000000000","5","60","10.0.0.2","44484","221.194.141.157","443","0","0","0"
"0.311729","0.311729000","0.000898000","6","60","221.194.141.157","443","10.0.0.2","44484","0","0","1"
"0.341143","0.341143000",,"7","76",,,,,,,
"0.341165","0.341165000",,"8","48",,,,,,,
"0.344075","0.344075000",,"9","76",,,,,,,
"0.533093","0.533093000",,"10","76",,,,,,,
"0.597574","0.597574000",,"11","76",,,,,,,
"0.597596","0.597596000",,"12","48",,,,,,,
"0.600183","0.600183000",,"13","76",,,,,,,
"0.623966","0.623966000","0.313135000","14","52","10.0.0.2","44484","221.194.141.157","443","0","1","1"
"0.624024","0.624024000","0.313193000","15","100","10.0.0.2","44484","221.194.141.157","443","48","1","1"
"0.624043","0.624043000","0.313212000","16","100","10.0.0.2","44484","221.194.141.157","443","48","49","1"
"0.624058","0.624058000","0.313227000","17","100","10.0.0.2","44484","221.194.141.157","443","48","97","1"
"0.624074","0.624074000","0.313243000","18","100","10.0.0.2","44484","221.194.141.157","443","48","145","1"
"0.624089","0.624089000","0.313258000","19","100","10.0.0.2","44484","221.194.141.157","443","48","193","1"
"0.624106","0.624106000","0.313275000","20","100","10.0.0.2","44484","221.194.141.157","443","48","241","1"
"0.624122","0.624122000","0.313291000","21","100","10.0.0.2","44484","221.194.141.157","443","48","289","1"
"0.624136","0.624136000","0.313305000","22","100","10.0.0.2","44484","221.194.141.157","443","48","337","1"
"0.624151","0.624151000","0.313320000","23","76","10.0.0.2","44484","221.194.141.157","443","24","385","1"
"0.624788","0.624788000","0.313957000","24","52","221.194.141.157","443","10.0.0.2","44484","0","1","49"
"0.624881","0.624881000","0.314050000","25","52","221.194.141.157","443","10.0.0.2","44484","0","1","97"
"0.624931","0.624931000","0.314100000","26","52","221.194.141.157","443","10.0.0.2","44484","0","1","145"
"0.624972","0.624972000","0.314141000","27","52","221.194.141.157","443","10.0.0.2","44484","0","1","193"
"0.625021","0.625021000","0.314190000","28","52","221.194.141.157","443","10.0.0.2","44484","0","1","241"
