_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","76",,,,,,,
"0.000011","0.000011000",,"2","48",,,,,,,
"0.001965","0.001965000",,"3","76",,,,,,,
"0.006916","0.006916000",,"4","76",,,,,,,
"0.030926","0.030926000",,"5","76",,,,,,,
"0.126244","0.126244000",,"6","73","10.0.0.2",,"10.0.0.1",,,,
"0.126268","0.126268000",,"7","73","10.0.0.2",,"10.0.0.1",,,,
"0.127442","0.127442000",,"8","556","10.0.0.1",,"10.0.0.2",,,,
"0.127734","0.127734000",,"9","396","10.0.0.1",,"10.0.0.2",,,,
"0.415129","0.415129000",,"10","76",,,,,,,
"0.437343","0.437343000","0.000000000","11","60","10.0.0.2","42882","3.167.227.99","443","0","0","0"
"0.438110","0.438110000","0.000767000","12","60","3.167.227.99","443","10.0.0.2","42882","0","0","1"
"0.487139","0.487139000",,"13","76",,,,,,,
"0.750029","0.750029000","0.312686000","14","52","10.0.0.2","42882","3.167.227.99","443","0","1","1"
"0.750052","0.750052000","0.312709000","15","100","10.0.0.2","42882","3.167.227.99","443","48","1","1"
"0.750063","0.750063000","0.312720000","16","100","10.0.0.2","42882","3.167.227.99","443","48","49","1"
"0.750073","0.750073000","0.312730000","17","100","10.0.0.2","42882","3.167.227.99","443","48","97","1"
"0.750082","0.750082000","0.312739000","18","100","10.0.0.2","42882","3.167.227.99","443","48","145","1"
"0.750091","0.750091000","0.312748000","19","100","10.0.0.2","42882","3.167.227.99","443","48","193","1"
"0.750100","0.750100000","0.312757000","20","100","10.0.0.2","42882","3.167.227.99","443","48","241","1"
"0.750109","0.750109000","0.312766000","21","100","10.0.0.2","42882","3.167.227.99","443","48","289","1"
"0.750119","0.750119000","0.312776000","22","100","10.0.0.2","42882","3.167.227.99","443","48","337","1"
"0.750130","0.750130000","0.312787000","23","78","10.0.0.2","42882","3.167.227.99","443","26","385","1"
"0.750771","0.750771000","0.313428000","24","52","3.167.227.99","443","10.0.0.2","42882","0","1","49"
