_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","69","10.0.0.2",,"10.0.0.1",,,,
"0.000016","0.000016000",,"2","69","10.0.0.2",,"10.0.0.1",,,,
"0.001883","0.001883000",,"3","360","10.0.0.1",,"10.0.0.2",,,,
"0.001896","0.001896000",,"4","143","10.0.0.1",,"10.0.0.2",,,,
"0.073012","0.073012000",,"5","76",,,,,,,
"0.265319","0.265319000",,"6","76",,,,,,,
"0.265342","0.265342000",,"7","48",,,,,,,
"0.268201","0.268201000",,"8","76",,,,,,,
"0.311184","0.311184000","0.000000000","9","60","10.0.0.2","49760","216.239.32.29","443","0","0","0"
"0.311987","0.311987000","0.000803000","10","60","216.239.32.29","443","10.0.0.2","49760","0","0","1"
"0.593216","0.593216000",,"11","76",,,,,,,
"0.624872","0.624872000","0.313688000","12","52","10.0.0.2","49760","216.239.32.29","443","0","1","1"
"0.624899","0.624899000","0.313715000","13","100","10.0.0.2","49760","216.239.32.29","443","48","1","1"
"0.624915","0.624915000","0.313731000","14","100","10.0.0.2","49760","216.239.32.29","443","48","49","1"
"0.624974","0.624974000","0.313790000","15","100","10.0.0.2","49760","216.239.32.29","443","48","97","1"
"0.624991","0.624991000","0.313807000","16","100","10.0.0.2","49760","216.239.32.29","443","48","145","1"
"0.625007","0.625007000","0.313823000","17","100","10.0.0.2","49760","216.239.32.29","443","48","193","1"
"0.625022","0.625022000","0.313838000","18","100","10.0.0.2","49760","216.239.32.29","443","48","241","1"
"0.625035","0.625035000","0.313851000","19","100","10.0.0.2","49760","216.239.32.29","443","48","289","1"
"0.625051","0.625051000","0.313867000","20","100","10.0.0.2","49760","216.239.32.29","443","48","337","1"
"0.625066","0.625066000","0.313882000","21","74","10.0.0.2","49760","216.239.32.29","443","22","385","1"
"0.625857","0.625857000","0.314673000","22","52","216.239.32.29","443","10.0.0.2","49760","0","1","49"
"0.625883","0.625883000","0.314699000","23","52","216.239.32.29","443","10.0.0.2","49760","0","1","97"
"0.625967","0.625967000","0.314783000","24","52","216.239.32.29","443","10.0.0.2","49760","0","1","145"
"0.625981","0.625981000","0.314797000","25","52","216.239.32.29","443","10.0.0.2","49760","0","1","193"
"0.626028","0.626028000","0.314844000","26","52","216.239.32.29","443","10.0.0.2","49760","0","1","241"
"0.626039","0.626039000","0.314855000","27","52","216.239.32.29","443","10.0.0.2","49760","0","1","289"
"0.626084","0.626084000","0.314900000","28","52","216.239.32.29","443","10.0.0.2","49760","0","1","337"
"0.626095","0.626095000","0.314911000","29","52","216.239.32.29","443","10.0.0.2","49760","0","1","385"
"0.626128","0.626128000","0.314944000","30","52","216.239.32.29","443","10.0.0.2","49760","0","1","407"
"0.649077","0.649077000",,"31","76",,,,,,,
"0.661111","0.661111000","0.349927000","32","296","216.239.32.29","443","10.0.0.2","49760","244","1","407"
"0.661147","0.661147000","0.349963000","33","296","216.239.32.29","443","10.0.0.2","49760","244","245","407"
"0.661207","0.661207000","0.350023000","34","296","216.239.32.29","443","10.0.0.2","49760","244","489","407"
"0.661224","0.661224000","0.350040000","35","296","216.239.32.29","443","10.0.0.2","49760","244","733","407"
"0.661280","0.661280000","0.350096000","36","296","216.239.32.29","443","10.0.0.2","49760","244","977","407"
"0.661295","0.661295000","0.350111000","37","232","216.239.32.29","443","10.0.0.2","49760","180","1221","407"
"0.661345","0.661345000","0.350161000","38","296","216.239.32.29","443","10.0.0.2","49760","244","1401","407"
"0.661356","0.661356000","0.350172000","39","296","216.239.32.29","443","10.0.0.2","49760","244","1645","407"
"0.661405","0.661405000","0.350221000","40","296","216.239.32.29","443","10.0.0.2","49760","244","1889","407"
"0.661419","0.661419000","0.350235000","41","296","216.239.32.29","443","10.0.0.2","49760","244","2133","407"
"0.681216","0.681216000",,"42","76",,,,,,,
"0.936565","0.936565000","0.625381000","43","52","10.0.0.2","49760","216.239.32.29","443","0","407","245"
"0.936594","0.936594000","0.625410000","44","52","10.0.0.2","49760","216.239.32.29","443","0","407","489"
"0.936610","0.936610000","0.625426000","45","52","10.0.0.2","49760","216.239.32.29","443","0","407","733"
"0.937290","0.937290000","0.626106000","46","296","216.239.32.29","443","10.0.0.2","49760","244","2377","407"
"0.937318","0.937318000","0.626134000","47","296","216.239.32.29","443","10.0.0.2","49760","244","2621","407"
"0.937368","0.937368000","0.626184000","48","296","216.239.32.29","443","10.0.0.2","49760","244","2865","407"
"0.937380","0.937380000","0.626196000","49","296","216.239.32.29","443","10.0.0.2","49760","244","3109","407"
"0.937429","0.937429000","0.626245000","50","296","216.239.32.29","443","10.0.0.2","49760","244","3353","407"
"0.937442","0.937442000","0.626258000","51","296","216.239.32.29","443","10.0.0.2","49760","244","3597","407"
"0.999460","0.999460000","0.688276000","52","52","10.0.0.2","49760","216.239.32.29","443","0","407","977"
"0.999489","0.999489000","0.688305000","53","52","10.0.0.2","49760","216.239.32.29","443","0","407","1221"
"0.999506","0.999506000","0.688322000","54","52","10.0.0.2","49760","216.239.32.29","443","0","407","1401"
"0.999523","0.999523000","0.688339000","55","52","10.0.0.2","49760","216.239.32.29","443","0","407","1645"
"0.999539","0.999539000","0.688355000","56","52","10.0.0.2","49760","216.239.32.29","443","0","407","1889"
"1.000062","1.000062000","0.688878000","57","296","216.239.32.29","443","10.0.0.2","49760","244","3841","407"
"1.000087","1.000087000","0.688903000","58","88","216.239.32.29","443","10.0.0.2","49760","36","4085","407"
"1.061239","1.061239000","0.750055000","59","52","10.0.0.2","49760","216.239.32.29","443","0","407","2133"
"1.061277","1.061277000","0.750093000","60","52","10.0.0.2","49760","216.239.32.29","443","0","407","2377"
"1.250006","1.250006000","0.938822000","61","52","10.0.0.2","49760","216.239.32.29","443","0","407","2621"
"1.250043","1.250043000","0.938859000","62","52","10.0.0.2","49760","216.239.32.29","443","0","407","2865"
"1.250059","1.250059000","0.938875000","63","52","10.0.0.2","49760","216.239.32.29","443","0","407","3109"
"1.250072","1.250072000","0.938888000","64","52","10.0.0.2","49760","216.239.32.29","443","0","407","3353"
"1.250086","1.250086000","0.938902000","65","52","10.0.0.2","49760","216.239.32.29","443","0","407","3597"
"1.311597","1.311597000","1.000413000","66","52","10.0.0.2","49760","216.239.32.29","443","0","407","3841"
"1.311624","1.311624000","1.000440000","67","52","10.0.0.2","49760","216.239.32.29","443","0","407","4121"
"1.311641","1.311641000","1.000457000","68","100","10.0.0.2","49760","216.239.32.29","443","48","407","4121"
"1.311655","1.311655000","1.000471000","69","84","10.0.0.2","49760","216.239.32.29","443","32","455","4121"
"1.311668","1.311668000","1.000484000","70","100","10.0.0.2","49760","216.239.32.29","443","48","487","4121"
"1.311682","1.311682000","1.000498000","71","100","10.0.0.2","49760","216.239.32.29","443","48","535","4121"
"1.311695","1.311695000","1.000511000","72","100","10.0.0.2","49760","216.239.32.29","443","48","583","4121"
"1.311708","1.311708000","1.000524000","73","100","10.0.0.2","49760","216.239.32.29","443","48","631","4121"
"1.312295","1.312295000","1.001111000","74","52","216.239.32.29","443","10.0.0.2","49760","0","4121","487"
"1.312353","1.312353000","1.001169000","75","52","216.239.32.29","443","10.0.0.2","49760","0","4121","535"
"1.312404","1.312404000","1.001220000","76","52","216.239.32.29","443","10.0.0.2","49760","0","4121","583"
"1.312416","1.312416000","1.001232000","77","52","216.239.32.29","443","10.0.0.2","49760","0","4121","679"
"1.624991","1.624991000","1.313807000","78","74","10.0.0.2","49760","216.239.32.29","443","22","679","4121"
"1.625622","1.625622000","1.314438000","79","52","216.239.32.29","443","10.0.0.2","49760","0","4121","701"
"1.648627","1.648627000","1.337443000","80","296","216.239.32.29","443","10.0.0.2","49760","244","4121","701"
"1.648659","1.648659000","1.337475000","81","296","216.239.32.29","443","10.0.0.2","49760","244","4365","701"
"1.648719","1.648719000","1.337535000","82","296","216.239.32.29","443","10.0.0.2","49760","244","4609","701"
"1.648737","1.648737000","1.337553000","83","296","216.239.32.29","443","10.0.0.2","49760","244","4853","701"
"1.648793","1.648793000","1.337609000","84","296","216.239.32.29","443","10.0.0.2","49760","244","5097","701"
"1.648809","1.648809000","1.337625000","85","232","216.239.32.29","443","10.0.0.2","49760","180","5341","701"
