_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","73","10.0.0.2",,"10.0.0.1",,,,
"0.000029","0.000029000",,"2","73","10.0.0.2",,"10.0.0.1",,,,
"0.046829","0.046829000",,"3","612","10.0.0.1",,"10.0.0.2",,,,
"0.051464","0.051464000",,"4","452","10.0.0.1",,"10.0.0.2",,,,
"0.311272","0.311272000","0.000000000","5","60","10.0.0.2","59510","18.64.119.38","443","0","0","0"
"0.312024","0.312024000","0.000752000","6","60","18.64.119.38","443","10.0.0.2","59510","0","0","1"
"0.435663","0.435663000",,"7","76",,,,,,,
"0.435685","0.435685000",,"8","48",,,,,,,
"0.439166","0.439166000",,"9","76",,,,,,,
"0.611184","0.611184000",,"10","76",,,,,,,
"0.625094","0.625094000","0.313822000","11","52","10.0.0.2","59510","18.64.119.38","443","0","1","1"
"0.625124","0.625124000","0.313852000","12","100","10.0.0.2","59510","18.64.119.38","443","48","1","1"
"0.625140","0.625140000","0.313868000","13","100","10.0.0.2","59510","18.64.119.38","443","48","49","1"
"0.625154","0.625154000","0.313882000","14","100","10.0.0.2","59510","18.64.119.38","443","48","97","1"
"0.625168","0.625168000","0.313896000","15","100","10.0.0.2","59510","18.64.119.38","443","48","145","1"
"0.625182","0.625182000","0.313910000","16","100","10.0.0.2","59510","18.64.119.38","443","48","193","1"
"0.625198","0.625198000","0.313926000","17","100","10.0.0.2","59510","18.64.119.38","443","48","241","1"
"0.625212","0.625212000","0.313940000","18","100","10.0.0.2","59510","18.64.119.38","443","48","289","1"
"0.625226","0.625226000","0.313954000","19","100","10.0.0.2","59510","18.64.119.38","443","48","337","1"
"0.625242","0.625242000","0.313970000","20","78","10.0.0.2","59510","18.64.119.38","443","26","385","1"
"0.625963","0.625963000","0.314691000","21","52","18.64.119.38","443","10.0.0.2","59510","0","1","49"
"0.625992","0.625992000","0.314720000","22","52","18.64.119.38","443","10.0.0.2","59510","0","1","97"
"0.626043","0.626043000","0.314771000","23","52","18.64.119.38","443","10.0.0.2","59510","0","1","145"
"0.626055","0.626055000","0.314783000","24","52","18.64.119.38","443","10.0.0.2","59510","0","1","193"
"0.626099","0.626099000","0.314827000","25","52","18.64.119.38","443","10.0.0.2","59510","0","1","241"
"0.626111","0.626111000","0.314839000","26","52","18.64.119.38","443","10.0.0.2","59510","0","1","289"
"0.626154","0.626154000","0.314882000","27","52","18.64.119.38","443","10.0.0.2","59510","0","1","337"
"0.626165","0.626165000","0.314893000","28","52","18.64.119.38","443","10.0.0.2","59510","0","1","385"
"0.626197","0.626197000","0.314925000","29","52","18.64.119.38","443","10.0.0.2","59510","0","1","411"
"0.627077","0.627077000",,"30","76",,,,,,,
"0.627099","0.627099000",,"31","48",,,,,,,
"0.630021","0.630021000",,"32","76",,,,,,,
"0.697922","0.697922000","0.386650000","33","296","18.64.119.38","443","10.0.0.2","59510","244","1","411"
"0.697962","0.697962000","0.386690000","34","296","18.64.119.38","443","10.0.0.2","59510","244","245","411"
"0.698022","0.698022000","0.386750000","35","296","18.64.119.38","443","10.0.0.2","59510","244","489","411"
"0.698043","0.698043000","0.386771000","36","296","18.64.119.38","443","10.0.0.2","59510","244","733","411"
"0.698098","0.698098000","0.386826000","37","296","18.64.119.38","443","10.0.0.2","59510","244","977","411"
"0.698111","0.698111000","0.386839000","38","260","18.64.119.38","443","10.0.0.2","59510","208","1221","411"
"0.698157","0.698157000","0.386885000","39","296","18.64.119.38","443","10.0.0.2","59510","244","1429","411"
"0.698168","0.698168000","0.386896000","40","296","18.64.119.38","443","10.0.0.2","59510","244","1673","411"
"0.698214","0.698214000","0.386942000","41","296","18.64.119.38","443","10.0.0.2","59510","244","1917","411"
"0.698228","0.698228000","0.386956000","42","296","18.64.119.38","443","10.0.0.2","59510","244","2161","411"
"0.999224","0.999224000","0.687952000","43","52","10.0.0.2","59510","18.64.119.38","443","0","411","245"
"0.999237","0.999237000","0.687965000","44","52","10.0.0.2","59510","18.64.119.38","443","0","411","489"
"0.999243","0.999243000","0.687971000","45","52","10.0.0.2","59510","18.64.119.38","443","0","411","733"
"0.999248","0.999248000","0.687976000","46","52","10.0.0.2","59510","18.64.119.38","443","0","411","977"
"0.999254","0.999254000","0.687982000","47","52","10.0.0.2","59510","18.64.119.38","443","0","411","1221"
"1.000013","1.000013000","0.688741000","48","296","18.64.119.38","443","10.0.0.2","59510","244","2405","411"
