_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","76",,,,,,,
"0.000011","0.000011000",,"2","48",,,,,,,
"0.001967","0.001967000",,"3","76",,,,,,,
"0.017374","0.017374000",,"4","72","10.0.0.2",,"10.0.0.1",,,,
"0.017394","0.017394000",,"5","72","10.0.0.2",,"10.0.0.1",,,,
"0.019635","0.019635000",,"6","570","10.0.0.1",,"10.0.0.2",,,,
"0.020186","0.020186000",,"7","710","10.0.0.1",,"10.0.0.2",,,,
"0.204525","0.204525000","0.000000000","8","60","10.0.0.2","46934","23.38.98.248","443","0","0","0"
"0.205006","0.205006000","0.000481000","9","60","23.38.98.248","443","10.0.0.2","46934","0","0","1"
"0.391031","0.391031000","0.186506000","10","52","10.0.0.2","46934","23.38.98.248","443","0","1","1"
"0.391056","0.391056000","0.186531000","11","100","10.0.0.2","46934","23.38.98.248","443","48","1","1"
"0.391075","0.391075000","0.186550000","12","100","10.0.0.2","46934","23.38.98.248","443","48","49","1"
"0.391091","0.391091000","0.186566000","13","100","10.0.0.2","46934","23.38.98.248","443","48","97","1"
"0.391106","0.391106000","0.186581000","14","100","10.0.0.2","46934","23.38.98.248","443","48","145","1"
"0.391123","0.391123000","0.186598000","15","100","10.0.0.2","46934","23.38.98.248","443","48","193","1"
"0.391139","0.391139000","0.186614000","16","100","10.0.0.2","46934","23.38.98.248","443","48","241","1"
"0.391154","0.391154000","0.186629000","17","100","10.0.0.2","46934","23.38.98.248","443","48","289","1"
"0.391170","0.391170000","0.186645000","18","100","10.0.0.2","46934","23.38.98.248","443","48","337","1"
"0.391188","0.391188000","0.186663000","19","77","10.0.0.2","46934","23.38.98.248","443","25","385","1"
"0.391949","0.391949000","0.187424000","20","52","23.38.98.248","443","10.0.0.2","46934","0","1","49"
"0.392284","0.392284000","0.187759000","21","52","23.38.98.248","443","10.0.0.2","46934","0","1","97"
"0.392317","0.392317000","0.187792000","22","52","23.38.98.248","443","10.0.0.2","46934","0","1","145"
