_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","76",,,,,,,
"0.017132","0.017132000",,"2","69","10.0.0.2",,"10.0.0.1",,,,
"0.017150","0.017150000",,"3","69","10.0.0.2",,"10.0.0.1",,,,
"0.018996","0.018996000",,"4","236","10.0.0.1",,"10.0.0.2",,,,
"0.019004","0.019004000",,"5","204","10.0.0.1",,"10.0.0.2",,,,
"0.136165","0.136165000",,"6","76",,,,,,,
"0.136173","0.136173000",,"7","48",,,,,,,
"0.139022","0.139022000",,"8","76",,,,,,,
"0.144067","0.144067000",,"9","76",,,,,,,
"0.204708","0.204708000","0.000000000","10","60","10.0.0.2","42700","104.126.37.179","443","0","0","0"
"0.205344","0.205344000","0.000636000","11","60","104.126.37.179","443","10.0.0.2","42700","0","0","1"
"0.391327","0.391327000","0.186619000","12","52","10.0.0.2","42700","104.126.37.179","443","0","1","1"
"0.391340","0.391340000","0.186632000","13","100","10.0.0.2","42700","104.126.37.179","443","48","1","1"
"0.391346","0.391346000","0.186638000","14","100","10.0.0.2","42700","104.126.37.179","443","48","49","1"
"0.391352","0.391352000","0.186644000","15","100","10.0.0.2","42700","104.126.37.179","443","48","97","1"
"0.391357","0.391357000","0.186649000","16","100","10.0.0.2","42700","104.126.37.179","443","48","145","1"
"0.391363","0.391363000","0.186655000","17","100","10.0.0.2","42700","104.126.37.179","443","48","193","1"
"0.391367","0.391367000","0.186659000","18","100","10.0.0.2","42700","104.126.37.179","443","48","241","1"
"0.391373","0.391373000","0.186665000","19","100","10.0.0.2","42700","104.126.37.179","443","48","289","1"
"0.391379","0.391379000","0.186671000","20","100","10.0.0.2","42700","104.126.37.179","443","48","337","1"
"0.391385","0.391385000","0.186677000","21","74","10.0.0.2","42700","104.126.37.179","443","22","385","1"
"0.392179","0.392179000","0.187471000","22","52","104.126.37.179","443","10.0.0.2","42700","0","1","49"
"0.392197","0.392197000","0.187489000","23","52","104.126.37.179","443","10.0.0.2","42700","0","1","97"
"0.392218","0.392218000","0.187510000","24","52","104.126.37.179","443","10.0.0.2","42700","0","1","145"
"0.392222","0.392222000","0.187514000","25","52","104.126.37.179","443","10.0.0.2","42700","0","1","193"
"0.392238","0.392238000","0.187530000","26","52","104.126.37.179","443","10.0.0.2","42700","0","1","241"
"0.392242","0.392242000","0.187534000","27","52","104.126.37.179","443","10.0.0.2","42700","0","1","289"
"0.392257","0.392257000","0.187549000","28","52","104.126.37.179","443","10.0.0.2","42700","0","1","337"
"0.392261","0.392261000","0.187553000","29","52","104.126.37.179","443","10.0.0.2","42700","0","1","385"
"0.392272","0.392272000","0.187564000","30","52","104.126.37.179","443","10.0.0.2","42700","0","1","407"
"0.426160","0.426160000","0.221452000","31","296","104.126.37.179","443","10.0.0.2","42700","244","1","407"
"0.426177","0.426177000","0.221469000","32","296","104.126.37.179","443","10.0.0.2","42700","244","245","407"
"0.426196","0.426196000","0.221488000","33","296","104.126.37.179","443","10.0.0.2","42700","244","489","407"
"0.426200","0.426200000","0.221492000","34","296","104.126.37.179","443","10.0.0.2","42700","244","733","407"
"0.426216","0.426216000","0.221508000","35","296","104.126.37.179","443","10.0.0.2","42700","244","977","407"
"0.426220","0.426220000","0.221512000","36","280","104.126.37.179","443","10.0.0.2","42700","228","1221","407"
"0.426236","0.426236000","0.221528000","37","296","104.126.37.179","443","10.0.0.2","42700","244","1449","407"
"0.426240","0.426240000","0.221532000","38","296","104.126.37.179","443","10.0.0.2","42700","244","1693","407"
