_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","76","10.0.0.2",,"10.0.0.1",,,,
"0.000024","0.000024000",,"2","76","10.0.0.2",,"10.0.0.1",,,,
"0.002396","0.002396000",,"3","400","10.0.0.1",,"10.0.0.2",,,,
"0.002406","0.002406000",,"4","428","10.0.0.1",,"10.0.0.2",,,,
"0.310869","0.310869000","0.000000000","5","60","10.0.0.2","49954","157.240.27.18","443","0","0","0"
"0.311610","0.311610000","0.000741000","6","60","157.240.27.18","443","10.0.0.2","49954","0","0","1"
"0.346892","0.346892000",,"7","76",,,,,,,
"0.346913","0.346913000",,"8","48",,,,,,,
"0.349636","0.349636000",,"9","76",,,,,,,
"0.538562","0.538562000",,"10","76",,,,,,,
"0.538583","0.538583000",,"11","48",,,,,,,
"0.541457","0.541457000",,"12","76",,,,,,,
"0.623825","0.623825000","0.312956000","13","52","10.0.0.2","49954","157.240.27.18","443","0","1","1"
"0.623854","0.623854000","0.312985000","14","100","10.0.0.2","49954","157.240.27.18","443","48","1","1"
"0.623872","0.623872000","0.313003000","15","100","10.0.0.2","49954","157.240.27.18","443","48","49","1"
"0.623887","0.623887000","0.313018000","16","100","10.0.0.2","49954","157.240.27.18","443","48","97","1"
"0.623901","0.623901000","0.313032000","17","100","10.0.0.2","49954","157.240.27.18","443","48","145","1"
"0.623916","0.623916000","0.313047000","18","100","10.0.0.2","49954","157.240.27.18","443","48","193","1"
"0.623931","0.623931000","0.313062000","19","100","10.0.0.2","49954","157.240.27.18","443","48","241","1"
"0.623945","0.623945000","0.313076000","20","100","10.0.0.2","49954","157.240.27.18","443","48","289","1"
"0.623963","0.623963000","0.313094000","21","100","10.0.0.2","49954","157.240.27.18","443","48","337","1"
"0.623982","0.623982000","0.313113000","22","81","10.0.0.2","49954","157.240.27.18","443","29","385","1"
"0.624589","0.624589000","0.313720000","23","52","157.240.27.18","443","10.0.0.2","49954","0","1","49"
"0.624666","0.624666000","0.313797000","24","52","157.240.27.18","443","10.0.0.2","49954","0","1","97"
"0.624679","0.624679000","0.313810000","25","52","157.240.27.18","443","10.0.0.2","49954","0","1","145"
"0.624724","0.624724000","0.313855000","26","52","157.240.27.18","443","10.0.0.2","49954","0","1","193"
"0.624736","0.624736000","0.313867000","27","52","157.240.27.18","443","10.0.0.2","49954","0","1","241"
"0.624872","0.624872000","0.314003000","28","52","157.240.27.18","443","10.0.0.2","49954","0","1","289"
"0.624892","0.624892000","0.314023000","29","52","157.240.27.18","443","10.0.0.2","49954","0","1","337"
"0.624936","0.624936000","0.314067000","30","52","157.240.27.18","443","10.0.0.2","49954","0","1","385"
"0.624947","0.624947000","0.314078000","31","52","157.240.27.18","443","10.0.0.2","49954","0","1","414"
"0.659277","0.659277000","0.348408000","32","296","157.240.27.18","443","10.0.0.2","49954","244","1","414"
"0.659428","0.659428000","0.348559000","33","296","157.240.27.18","443","10.0.0.2","49954","244","245","414"
"0.659445","0.659445000","0.348576000","34","296","157.240.27.18","443","10.0.0.2","49954","244","489","414"
"0.659496","0.659496000","0.348627000","35","296","157.240.27.18","443","10.0.0.2","49954","244","733","414"
"0.659523","0.659523000","0.348654000","36","296","157.240.27.18","443","10.0.0.2","49954","244","977","414"
"0.659569","0.659569000","0.348700000","37","296","157.240.27.18","443","10.0.0.2","49954","244","1221","414"
"0.659583","0.659583000","0.348714000","38","296","157.240.27.18","443","10.0.0.2","49954","244","1465","414"
"0.659629","0.659629000","0.348760000","39","296","157.240.27.18","443","10.0.0.2","49954","244","1709","414"
"0.659643","0.659643000","0.348774000","40","296","157.240.27.18","443","10.0.0.2","49954","244","1953","414"
"0.659676","0.659676000","0.348807000","41","296","157.240.27.18","443","10.0.0.2","49954","244","2197","414"
"0.922643","0.922643000",,"42","76",,,,,,,
"0.935854","0.935854000","0.624985000","43","52","10.0.0.2","49954","157.240.27.18","443","0","414","245"
"0.935887","0.935887000","0.625018000","44","52","10.0.0.2","49954","157.240.27.18","443","0","414","489"
"0.935907","0.935907000","0.625038000","45","52","10.0.0.2","49954","157.240.27.18","443","0","414","733"
"0.936548","0.936548000","0.625679000","46","296","157.240.27.18","443","10.0.0.2","49954","244","2441","414"
"0.936585","0.936585000","0.625716000","47","296","157.240.27.18","443","10.0.0.2","49954","244","2685","414"
"0.936637","0.936637000","0.625768000","48","296","157.240.27.18","443","10.0.0.2","49954","244","2929","414"
"0.936650","0.936650000","0.625781000","49","87","157.240.27.18","443","10.0.0.2","49954","35","3173","414"
"0.999462","0.999462000","0.688593000","50","52","10.0.0.2","49954","157.240.27.18","443","0","414","977"
"0.999486","0.999486000","0.688617000","51","52","10.0.0.2","49954","157.240.27.18","443","0","414","1221"
"0.999501","0.999501000","0.688632000","52","52","10.0.0.2","49954","157.240.27.18","443","0","414","1465"
"0.999517","0.999517000","0.688648000","53","52","10.0.0.2","49954","157.240.27.18","443","0","414","1709"
"0.999530","0.999530000","0.688661000","54","52","10.0.0.2","49954","157.240.27.18","443","0","414","1953"
"1.060860","1.060860000","0.749991000","55","52","10.0.0.2","49954","157.240.27.18","443","0","414","2197"
"1.060891","1.060891000","0.750022000","56","52","10.0.0.2","49954","157.240.27.18","443","0","414","2441"
"1.114469","1.114469000",,"57","76",,,,,,,
"1.178636","1.178636000",,"58","76",,,,,,,
"1.242502","1.242502000",,"59","76",,,,,,,
"1.248744","1.248744000","0.937875000","60","52","10.0.0.2","49954","157.240.27.18","443","0","414","2685"
"1.248779","1.248779000","0.937910000","61","52","10.0.0.2","49954","157.240.27.18","443","0","414","2929"
"1.248798","1.248798000","0.937929000","62","52","10.0.0.2","49954","157.240.27.18","443","0","414","3173"
"1.248815","1.248815000","0.937946000","63","52","10.0.0.2","49954","157.240.27.18","443","0","414","3208"
"1.248833","1.248833000","0.937964000","64","100","10.0.0.2","49954","157.240.27.18","443","48","414","3208"
