_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","76",,,,,,,
"0.000012","0.000012000",,"2","48",,,,,,,
"0.001974","0.001974000",,"3","76",,,,,,,
"0.094973","0.094973000",,"4","76",,,,,,,
"0.124527","0.124527000",,"5","74","10.0.0.2",,"10.0.0.1",,,,
"0.124567","0.124567000",,"6","74","10.0.0.2",,"10.0.0.1",,,,
"0.126485","0.126485000",,"7","490","10.0.0.1",,"10.0.0.2",,,,
"0.126947","0.126947000",,"8","462","10.0.0.1",,"10.0.0.2",,,,
"0.391145","0.391145000",,"9","76",,,,,,,
"0.435143","0.435143000","0.000000000","10","60","10.0.0.2","56862","104.126.37.184","443","0","0","0"
"0.435746","0.435746000","0.000603000","11","60","104.126.37.184","443","10.0.0.2","56862","0","0","1"
"0.495026","0.495026000",,"12","76",,,,,,,
"0.495050","0.495050000",,"13","48",,,,,,,
"0.498093","0.498093000",,"14","76",,,,,,,
"0.646982","0.646982000",,"15","76",,,,,,,
"0.718982","0.718982000",,"16","76",,,,,,,
"0.748780","0.748780000","0.313637000","17","52","10.0.0.2","56862","104.126.37.184","443","0","1","1"
"0.748813","0.748813000","0.313670000","18","100","10.0.0.2","56862","104.126.37.184","443","48","1","1"
"0.748872","0.748872000","0.313729000","19","100","10.0.0.2","56862","104.126.37.184","443","48","49","1"
"0.748895","0.748895000","0.313752000","20","100","10.0.0.2","56862","104.126.37.184","443","48","97","1"
"0.748912","0.748912000","0.313769000","21","100","10.0.0.2","56862","104.126.37.184","443","48","145","1"
"0.748928","0.748928000","0.313785000","22","100","10.0.0.2","56862","104.126.37.184","443","48","193","1"
"0.748945","0.748945000","0.313802000","23","100","10.0.0.2","56862","104.126.37.184","443","48","241","1"
"0.748963","0.748963000","0.313820000","24","100","10.0.0.2","56862","104.126.37.184","443","48","289","1"
"0.748980","0.748980000","0.313837000","25","100","10.0.0.2","56862","104.126.37.184","443","48","337","1"
"0.748999","0.748999000","0.313856000","26","79","10.0.0.2","56862","104.126.37.184","443","27","385","1"
"0.750193","0.750193000","0.315050000","27","52","104.126.37.184","443","10.0.0.2","56862","0","1","49"
"0.750226","0.750226000","0.315083000","28","52","104.126.37.184","443","10.0.0.2","56862","0","1","97"
"0.750286","0.750286000","0.315143000","29","52","104.126.37.184","443","10.0.0.2","56862","0","1","145"
"0.750305","0.750305000","0.315162000","30","52","104.126.37.184","443","10.0.0.2","56862","0","1","193"
"0.750364","0.750364000","0.315221000","31","52","104.126.37.184","443","10.0.0.2","56862","0","1","241"
"0.750381","0.750381000","0.315238000","32","52","104.126.37.184","443","10.0.0.2","56862","0","1","289"
"0.750434","0.750434000","0.315291000","33","52","104.126.37.184","443","10.0.0.2","56862","0","1","337"
"0.750447","0.750447000","0.315304000","34","52","104.126.37.184","443","10.0.0.2","56862","0","1","385"
"0.750479","0.750479000","0.315336000","35","52","104.126.37.184","443","10.0.0.2","56862","0","1","412"
"0.792715","0.792715000","0.357572000","36","296","104.126.37.184","443","10.0.0.2","56862","244","1","412"
"0.792742","0.792742000","0.357599000","37","296","104.126.37.184","443","10.0.0.2","56862","244","245","412"
"0.792792","0.792792000","0.357649000","38","296","104.126.37.184","443","10.0.0.2","56862","244","489","412"
"0.792804","0.792804000","0.357661000","39","296","104.126.37.184","443","10.0.0.2","56862","244","733","412"
"0.792886","0.792886000","0.357743000","40","296","104.126.37.184","443","10.0.0.2","56862","244","977","412"
"0.792900","0.792900000","0.357757000","41","268","104.126.37.184","443","10.0.0.2","56862","216","1221","412"
"0.792946","0.792946000","0.357803000","42","296","104.126.37.184","443","10.0.0.2","56862","244","1437","412"
"0.792958","0.792958000","0.357815000","43","296","104.126.37.184","443","10.0.0.2","56862","244","1681","412"
"0.793003","0.793003000","0.357860000","44","296","104.126.37.184","443","10.0.0.2","56862","244","1925","412"
"0.793014","0.793014000","0.357871000","45","296","104.126.37.184","443","10.0.0.2","56862","244","2169","412"
"1.060261","1.060261000","0.625118000","46","52","10.0.0.2","56862","104.126.37.184","443","0","412","245"
"1.060294","1.060294000","0.625151000","47","52","10.0.0.2","56862","104.126.37.184","443","0","412","489"
"1.060313","1.060313000","0.625170000","48","52","10.0.0.2","56862","104.126.37.184","443","0","412","733"
"1.061111","1.061111000","0.625968000","49","296","104.126.37.184","443","10.0.0.2","56862","244","2413","412"
"1.061146","1.061146000","0.626003000","50","296","104.126.37.184","443","10.0.0.2","56862","244","2657","412"
"1.061195","1.061195000","0.626052000","51","287","104.126.37.184","443","10.0.0.2","56862","235","2901","412"
"1.123589","1.123589000","0.688446000","52","52","10.0.0.2","56862","104.126.37.184","443","0","412","977"
"1.123624","1.123624000","0.688481000","53","52","10.0.0.2","56862","104.126.37.184","443","0","412","1221"
"1.123645","1.123645000","0.688502000","54","52","10.0.0.2","56862","104.126.37.184","443","0","412","1437"
"1.123667","1.123667000","0.688524000","55","52","10.0.0.2","56862","104.126.37.184","443","0","412","1681"
"1.123687","1.123687000","0.688544000","56","52","10.0.0.2","56862","104.126.37.184","443","0","412","1925"
"1.185908","1.185908000","0.750765000","57","52","10.0.0.2","56862","104.126.37.184","443","0","412","2169"
"1.185944","1.185944000","0.750801000","58","52","10.0.0.2","56862","104.126.37.184","443","0","412","2413"
"1.373212","1.373212000","0.938069000","59","52","10.0.0.2","56862","104.126.37.184","443","0","412","2657"
