_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","72","10.0.0.2",,"10.0.0.1",,,,
"0.000014","0.000014000",,"2","72","10.0.0.2",,"10.0.0.1",,,,
"0.002237","0.002237000",,"3","137","10.0.0.1",,"10.0.0.2",,,,
"0.002248","0.002248000",,"4","121","10.0.0.1",,"10.0.0.2",,,,
"0.128899","0.128899000",,"5","76",,,,,,,
"0.128909","0.128909000",,"6","48",,,,,,,
"0.131869","0.131869000",,"7","76",,,,,,,
"0.187340","0.187340000","0.000000000","8","60","10.0.0.2","44666","142.251.209.142","443","0","0","0"
"0.187805","0.187805000","0.000465000","9","60","142.251.209.142","443","10.0.0.2","44666","0","0","1"
"0.374840","0.374840000","0.187500000","10","52","10.0.0.2","44666","142.251.209.142","443","0","1","1"
"0.374890","0.374890000","0.187550000","11","100","10.0.0.2","44666","142.251.209.142","443","48","1","1"
"0.374907","0.374907000","0.187567000","12","100","10.0.0.2","44666","142.251.209.142","443","48","49","1"
"0.374923","0.374923000","0.187583000","13","100","10.0.0.2","44666","142.251.209.142","443","48","97","1"
"0.374939","0.374939000","0.187599000","14","100","10.0.0.2","44666","142.251.209.142","443","48","145","1"
"0.374954","0.374954000","0.187614000","15","100","10.0.0.2","44666","142.251.209.142","443","48","193","1"
"0.374968","0.374968000","0.187628000","16","100","10.0.0.2","44666","142.251.209.142","443","48","241","1"
"0.374982","0.374982000","0.187642000","17","100","10.0.0.2","44666","142.251.209.142","443","48","289","1"
"0.374998","0.374998000","0.187658000","18","100","10.0.0.2","44666","142.251.209.142","443","48","337","1"
"0.375012","0.375012000","0.187672000","19","77","10.0.0.2","44666","142.251.209.142","443","25","385","1"
"0.375602","0.375602000","0.188262000","20","52","142.251.209.142","443","10.0.0.2","44666","0","1","49"
"0.375670","0.375670000","0.188330000","21","52","142.251.209.142","443","10.0.0.2","44666","0","1","97"
"0.375682","0.375682000","0.188342000","22","52","142.251.209.142","443","10.0.0.2","44666","0","1","145"
"0.375915","0.375915000","0.188575000","23","52","142.251.209.142","443","10.0.0.2","44666","0","1","193"
"0.375944","0.375944000","0.188604000","24","52","142.251.209.142","443","10.0.0.2","44666","0","1","241"
"0.375988","0.375988000","0.188648000","25","52","142.251.209.142","443","10.0.0.2","44666","0","1","289"
"0.375999","0.375999000","0.188659000","26","52","142.251.209.142","443","10.0.0.2","44666","0","1","337"
"0.376039","0.376039000","0.188699000","27","52","142.251.209.142","443","10.0.0.2","44666","0","1","385"
"0.376049","0.376049000","0.188709000","28","52","142.251.209.142","443","10.0.0.2","44666","0","1","410"
"0.396735","0.396735000","0.209395000","29","296","142.251.209.142","443","10.0.0.2","44666","244","1","410"
"0.396780","0.396780000","0.209440000","30","296","142.251.209.142","443","10.0.0.2","44666","244","245","410"
"0.396885","0.396885000","0.209545000","31","296","142.251.209.142","443","10.0.0.2","44666","244","489","410"
"0.396900","0.396900000","0.209560000","32","296","142.251.209.142","443","10.0.0.2","44666","244","733","410"
"0.396949","0.396949000","0.209609000","33","296","142.251.209.142","443","10.0.0.2","44666","244","977","410"
"0.396970","0.396970000","0.209630000","34","232","142.251.209.142","443","10.0.0.2","44666","180","1221","410"
"0.397015","0.397015000","0.209675000","35","296","142.251.209.142","443","10.0.0.2","44666","244","1401","410"
"0.397029","0.397029000","0.209689000","36","296","142.251.209.142","443","10.0.0.2","44666","244","1645","410"
"0.397073","0.397073000","0.209733000","37","296","142.251.209.142","443","10.0.0.2","44666","244","1889","410"
"0.397086","0.397086000","0.209746000","38","296","142.251.209.142","443","10.0.0.2","44666","244","2133","410"
"0.562663","0.562663000","0.375323000","39","52","10.0.0.2","44666","142.251.209.142","443","0","410","245"
"0.562682","0.562682000","0.375342000","40","52","10.0.0.2","44666","142.251.209.142","443","0","410","489"
"0.562695","0.562695000","0.375355000","41","52","10.0.0.2","44666","142.251.209.142","443","0","410","733"
"0.563339","0.563339000","0.375999000","42","296","142.251.209.142","443","10.0.0.2","44666","244","2377","410"
"0.563376","0.563376000","0.376036000","43","296","142.251.209.142","443","10.0.0.2","44666","244","2621","410"
"0.563428","0.563428000","0.376088000","44","296","142.251.209.142","443","10.0.0.2","44666","244","2865","410"
"0.563440","0.563440000","0.376100000","45","296","142.251.209.142","443","10.0.0.2","44666","244","3109","410"
"0.563486","0.563486000","0.376146000","46","296","142.251.209.142","443","10.0.0.2","44666","244","3353","410"
"0.563498","0.563498000","0.376158000","47","296","142.251.209.142","443","10.0.0.2","44666","244","3597","410"
"0.624100","0.624100000","0.436760000","48","52","10.0.0.2","44666","142.251.209.142","443","0","410","977"
"0.624109","0.624109000","0.436769000","49","52","10.0.0.2","44666","142.251.209.142","443","0","410","1221"
"0.624113","0.624113000","0.436773000","50","52","10.0.0.2","44666","142.251.209.142","443","0","410","1401"
"0.624117","0.624117000","0.436777000","51","52","10.0.0.2","44666","142.251.209.142","443","0","410","1645"
"0.624120","0.624120000","0.436780000","52","52","10.0.0.2","44666","142.251.209.142","443","0","410","1889"
"0.624466","0.624466000","0.437126000","53","296","142.251.209.142","443","10.0.0.2","44666","244","3841","410"
"0.624476","0.624476000","0.437136000","54","296","142.251.209.142","443","10.0.0.2","44666","244","4085","410"
"0.624535","0.624535000","0.437195000","55","296","142.251.209.142","443","10.0.0.2","44666","244","4329","410"
"0.624542","0.624542000","0.437202000","56","296","142.251.209.142","443","10.0.0.2","44666","244","4573","410"
"0.624557","0.624557000","0.437217000","57","296","142.251.209.142","443","10.0.0.2","44666","244","4817","410"
"0.624560","0.624560000","0.437220000","58","296","142.251.209.142","443","10.0.0.2","44666","244","5061","410"
"0.624571","0.624571000","0.437231000","59","296","142.251.209.142","443","10.0.0.2","44666","244","5305","410"
"0.624575","0.624575000","0.437235000","60","296","142.251.209.142","443","10.0.0.2","44666","244","5549","410"
"0.649396","0.649396000",,"61","76",,,,,,,
"0.649419","0.649419000",,"62","48",,,,,,,
"0.652065","0.652065000",,"63","76",,,,,,,
"0.687280","0.687280000","0.499940000","64","52","10.0.0.2","44666","142.251.209.142","443","0","410","2133"
"0.687302","0.687302000","0.499962000","65","52","10.0.0.2","44666","142.251.209.142","443","0","410","2377"
"0.687880","0.687880000","0.500540000","66","296","142.251.209.142","443","10.0.0.2","44666","244","5793","410"
"0.687911","0.687911000","0.500571000","67","296","142.251.209.142","443","10.0.0.2","44666","244","6037","410"
"0.749764","0.749764000","0.562424000","68","52","10.0.0.2","44666","142.251.209.142","443","0","410","2621"
