_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","76",,,,,,,
"0.000011","0.000011000",,"2","48",,,,,,,
"0.003035","0.003035000",,"3","76",,,,,,,
"0.049862","0.049862000",,"4","76",,,,,,,
"0.049871","0.049871000",,"5","48",,,,,,,
"0.052114","0.052114000",,"6","76",,,,,,,
"0.090930","0.090930000",,"7","76",,,,,,,
"0.264065","0.264065000",,"8","64","10.0.0.2",,"10.0.0.1",,,,
"0.264073","0.264073000",,"9","64","10.0.0.2",,"10.0.0.1",,,,
"0.265225","0.265225000",,"10","451","10.0.0.1",,"10.0.0.2",,,,
"0.287899","0.287899000",,"11","403","10.0.0.1",,"10.0.0.2",,,,
"0.401056","0.401056000",,"12","76",,,,,,,
"0.575232","0.575232000","0.000000000","13","60","10.0.0.2","58268","66.203.124.37","443","0","0","0"
"0.576012","0.576012000","0.000780000","14","60","66.203.124.37","443","10.0.0.2","58268","0","0","1"
"0.673160","0.673160000",,"15","76",,,,,,,
"0.737115","0.737115000",,"16","76",,,,,,,
"0.888265","0.888265000","0.313033000","17","52","10.0.0.2","58268","66.203.124.37","443","0","1","1"
"0.888294","0.888294000","0.313062000","18","100","10.0.0.2","58268","66.203.124.37","443","48","1","1"
"0.888313","0.888313000","0.313081000","19","100","10.0.0.2","58268","66.203.124.37","443","48","49","1"
"0.888328","0.888328000","0.313096000","20","100","10.0.0.2","58268","66.203.124.37","443","48","97","1"
"0.888343","0.888343000","0.313111000","21","100","10.0.0.2","58268","66.203.124.37","443","48","145","1"
"0.888358","0.888358000","0.313126000","22","100","10.0.0.2","58268","66.203.124.37","443","48","193","1"
"0.888373","0.888373000","0.313141000","23","100","10.0.0.2","58268","66.203.124.37","443","48","241","1"
"0.888388","0.888388000","0.313156000","24","100","10.0.0.2","58268","66.203.124.37","443","48","289","1"
"0.888404","0.888404000","0.313172000","25","100","10.0.0.2","58268","66.203.124.37","443","48","337","1"
"0.888419","0.888419000","0.313187000","26","69","10.0.0.2","58268","66.203.124.37","443","17","385","1"
