_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","72","10.0.0.2",,"10.0.0.1",,,,
"0.000031","0.000031000",,"2","72","10.0.0.2",,"10.0.0.1",,,,
"0.101801","0.101801000",,"3","76",,,,,,,
"0.101824","0.101824000",,"4","48",,,,,,,
"0.102609","0.102609000",,"5","76",,,,,,,
"0.128777","0.128777000",,"6","465","10.0.0.1",,"10.0.0.2",,,,
"0.169147","0.169147000",,"7","501","10.0.0.1",,"10.0.0.2",,,,
"0.435850","0.435850000","0.000000000","8","60","10.0.0.2","36490","3.251.50.149","443","0","0","0"
"0.436495","0.436495000","0.000645000","9","60","3.251.50.149","443","10.0.0.2","36490","0","0","1"
"0.531519","0.531519000",,"10","76",,,,,,,
"0.531540","0.531540000",,"11","48",,,,,,,
"0.534454","0.534454000",,"12","76",,,,,,,
"0.748671","0.748671000","0.312821000","13","52","10.0.0.2","36490","3.251.50.149","443","0","1","1"
"0.748699","0.748699000","0.312849000","14","100","10.0.0.2","36490","3.251.50.149","443","48","1","1"
"0.748716","0.748716000","0.312866000","15","100","10.0.0.2","36490","3.251.50.149","443","48","49","1"
"0.748730","0.748730000","0.312880000","16","100","10.0.0.2","36490","3.251.50.149","443","48","97","1"
"0.748754","0.748754000","0.312904000","17","100","10.0.0.2","36490","3.251.50.149","443","48","145","1"
"0.748764","0.748764000","0.312914000","18","100","10.0.0.2","36490","3.251.50.149","443","48","193","1"
"0.748776","0.748776000","0.312926000","19","100","10.0.0.2","36490","3.251.50.149","443","48","241","1"
"0.748786","0.748786000","0.312936000","20","100","10.0.0.2","36490","3.251.50.149","443","48","289","1"
"0.748798","0.748798000","0.312948000","21","100","10.0.0.2","36490","3.251.50.149","443","48","337","1"
"0.748810","0.748810000","0.312960000","22","77","10.0.0.2","36490","3.251.50.149","443","25","385","1"
"0.749497","0.749497000","0.313647000","23","52","3.251.50.149","443","10.0.0.2","36490","0","1","49"
"0.749725","0.749725000","0.313875000","24","52","3.251.50.149","443","10.0.0.2","36490","0","1","97"
"0.749751","0.749751000","0.313901000","25","52","3.251.50.149","443","10.0.0.2","36490","0","1","145"
"0.749787","0.749787000","0.313937000","26","52","3.251.50.149","443","10.0.0.2","36490","0","1","193"
"0.749795","0.749795000","0.313945000","27","52","3.251.50.149","443","10.0.0.2","36490","0","1","241"
"0.749828","0.749828000","0.313978000","28","52","3.251.50.149","443","10.0.0.2","36490","0","1","289"
"0.749837","0.749837000","0.313987000","29","52","3.251.50.149","443","10.0.0.2","36490","0","1","337"
"0.749869","0.749869000","0.314019000","30","52","3.251.50.149","443","10.0.0.2","36490","0","1","385"
