_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","72","10.0.0.2",,"10.0.0.1",,,,
"0.000016","0.000016000",,"2","72","10.0.0.2",,"10.0.0.1",,,,
"0.001716","0.001716000",,"3","169","10.0.0.1",,"10.0.0.2",,,,
"0.001738","0.001738000",,"4","153","10.0.0.1",,"10.0.0.2",,,,
"0.187566","0.187566000","0.000000000","5","60","10.0.0.2","53544","66.254.114.41","443","0","0","0"
"0.188452","0.188452000","0.000886000","6","60","66.254.114.41","443","10.0.0.2","53544","0","0","1"
"0.297877","0.297877000",,"7","76",,,,,,,
"0.374390","0.374390000","0.186824000","8","52","10.0.0.2","53544","66.254.114.41","443","0","1","1"
"0.374420","0.374420000","0.186854000","9","100","10.0.0.2","53544","66.254.114.41","443","48","1","1"
"0.374437","0.374437000","0.186871000","10","100","10.0.0.2","53544","66.254.114.41","443","48","49","1"
"0.374451","0.374451000","0.186885000","11","100","10.0.0.2","53544","66.254.114.41","443","48","97","1"
"0.374464","0.374464000","0.186898000","12","100","10.0.0.2","53544","66.254.114.41","443","48","145","1"
"0.374478","0.374478000","0.186912000","13","100","10.0.0.2","53544","66.254.114.41","443","48","193","1"
"0.374492","0.374492000","0.186926000","14","100","10.0.0.2","53544","66.254.114.41","443","48","241","1"
"0.374507","0.374507000","0.186941000","15","100","10.0.0.2","53544","66.254.114.41","443","48","289","1"
"0.374523","0.374523000","0.186957000","16","100","10.0.0.2","53544","66.254.114.41","443","48","337","1"
"0.374538","0.374538000","0.186972000","17","77","10.0.0.2","53544","66.254.114.41","443","25","385","1"
"0.375181","0.375181000","0.187615000","18","52","66.254.114.41","443","10.0.0.2","53544","0","1","49"
"0.375218","0.375218000","0.187652000","19","52","66.254.114.41","443","10.0.0.2","53544","0","1","97"
"0.375269","0.375269000","0.187703000","20","52","66.254.114.41","443","10.0.0.2","53544","0","1","145"
"0.375280","0.375280000","0.187714000","21","52","66.254.114.41","443","10.0.0.2","53544","0","1","193"
"0.375325","0.375325000","0.187759000","22","52","66.254.114.41","443","10.0.0.2","53544","0","1","241"
"0.375337","0.375337000","0.187771000","23","52","66.254.114.41","443","10.0.0.2","53544","0","1","289"
"0.375381","0.375381000","0.187815000","24","52","66.254.114.41","443","10.0.0.2","53544","0","1","337"
"0.375392","0.375392000","0.187826000","25","52","66.254.114.41","443","10.0.0.2","53544","0","1","385"
"0.375424","0.375424000","0.187858000","26","52","66.254.114.41","443","10.0.0.2","53544","0","1","410"
"0.419338","0.419338000","0.231772000","27","296","66.254.114.41","443","10.0.0.2","53544","244","1","410"
"0.419385","0.419385000","0.231819000","28","296","66.254.114.41","443","10.0.0.2","53544","244","245","410"
"0.419451","0.419451000","0.231885000","29","296","66.254.114.41","443","10.0.0.2","53544","244","489","410"
"0.419470","0.419470000","0.231904000","30","296","66.254.114.41","443","10.0.0.2","53544","244","733","410"
"0.419525","0.419525000","0.231959000","31","296","66.254.114.41","443","10.0.0.2","53544","244","977","410"
"0.419538","0.419538000","0.231972000","32","280","66.254.114.41","443","10.0.0.2","53544","228","1221","410"
"0.419585","0.419585000","0.232019000","33","296","66.254.114.41","443","10.0.0.2","53544","244","1449","410"
"0.419608","0.419608000","0.232042000","34","296","66.254.114.41","443","10.0.0.2","53544","244","1693","410"
"0.419653","0.419653000","0.232087000","35","296","66.254.114.41","443","10.0.0.2","53544","244","1937","410"
"0.419665","0.419665000","0.232099000","36","296","66.254.114.41","443","10.0.0.2","53544","244","2181","410"
"0.562395","0.562395000","0.374829000","37","52","10.0.0.2","53544","66.254.114.41","443","0","410","245"
"0.562430","0.562430000","0.374864000","38","52","10.0.0.2","53544","66.254.114.41","443","0","410","489"
"0.562450","0.562450000","0.374884000","39","52","10.0.0.2","53544","66.254.114.41","443","0","410","733"
"0.563092","0.563092000","0.375526000","40","296","66.254.114.41","443","10.0.0.2","53544","244","2425","410"
"0.563127","0.563127000","0.375561000","41","296","66.254.114.41","443","10.0.0.2","53544","244","2669","410"
"0.563178","0.563178000","0.375612000","42","296","66.254.114.41","443","10.0.0.2","53544","244","2913","410"
"0.563191","0.563191000","0.375625000","43","118","66.254.114.41","443","10.0.0.2","53544","66","3157","410"
"0.618430","0.618430000",,"44","76",,,,,,,
"0.618453","0.618453000",,"45","48",,,,,,,
"0.620956","0.620956000",,"46","76",,,,,,,
"0.624548","0.624548000","0.436982000","47","52","10.0.0.2","53544","66.254.114.41","443","0","410","977"
"0.624579","0.624579000","0.437013000","48","52","10.0.0.2","53544","66.254.114.41","443","0","410","1221"
"0.624597","0.624597000","0.437031000","49","52","10.0.0.2","53544","66.254.114.41","443","0","410","1449"
"0.624615","0.624615000","0.437049000","50","52","10.0.0.2","53544","66.254.114.41","443","0","410","1693"
"0.624631","0.624631000","0.437065000","51","52","10.0.0.2","53544","66.254.114.41","443","0","410","1937"
"0.687002","0.687002000","0.499436000","52","52","10.0.0.2","53544","66.254.114.41","443","0","410","2181"
"0.687021","0.687021000","0.499455000","53","52","10.0.0.2","53544","66.254.114.41","443","0","410","2425"
"0.749600","0.749600000","0.562034000","54","52","10.0.0.2","53544","66.254.114.41","443","0","410","2669"
"0.749627","0.749627000","0.562061000","55","52","10.0.0.2","53544","66.254.114.41","443","0","410","2913"
"0.749642","0.749642000","0.562076000","56","52","10.0.0.2","53544","66.254.114.41","443","0","410","3157"
"0.749656","0.749656000","0.562090000","57","52","10.0.0.2","53544","66.254.114.41","443","0","410","3223"
"0.749681","0.749681000","0.562115000","58","100","10.0.0.2","53544","66.254.114.41","443","48","410","3223"
"0.749697","0.749697000","0.562131000","59","68","10.0.0.2","53544","66.254.114.41","443","16","458","3223"
"0.749712","0.749712000","0.562146000","60","100","10.0.0.2","53544","66.254.114.41","443","48","474","3223"
"0.749768","0.749768000","0.562202000","61","100","10.0.0.2","53544","66.254.114.41","443","48","522","3223"
"0.749789","0.749789000","0.562223000","62","100","10.0.0.2","53544","66.254.114.41","443","48","570","3223"
"0.750369","0.750369000","0.562803000","63","52","66.254.114.41","443","10.0.0.2","53544","0","3223","474"
"0.750406","0.750406000","0.562840000","64","52","66.254.114.41","443","10.0.0.2","53544","0","3223","522"
"0.750457","0.750457000","0.562891000","65","52","66.254.114.41","443","10.0.0.2","53544","0","3223","570"
"0.750468","0.750468000","0.562902000","66","52","66.254.114.41","443","10.0.0.2","53544","0","3223","618"
"0.773139","0.773139000","0.585573000","67","296","66.254.114.41","443","10.0.0.2","53544","244","3223","618"
"0.773184","0.773184000","0.585618000","68","296","66.254.114.41","443","10.0.0.2","53544","244","3467","618"
"0.773232","0.773232000","0.585666000","69","74","66.254.114.41","443","10.0.0.2","53544","22","3711","618"
"0.825976","0.825976000",,"70","76",,,,,,,
"0.937094","0.937094000","0.749528000","71","67","10.0.0.2","53544","66.254.114.41","443","15","618","3223"
"0.937120","0.937120000","0.749554000","72","52","10.0.0.2","53544","66.254.114.41","443","0","633","3733"
"0.961976","0.961976000",,"73","76",,,,,,,
"0.985645","0.985645000","0.798079000","74","52","66.254.114.41","443","10.0.0.2","53544","0","3733","633"
"1.004410","1.004410000","0.816844000","75","296","66.254.114.41","443","10.0.0.2","53544","244","3733","633"
"1.004461","1.004461000","0.816895000","76","296","66.254.114.41","443","10.0.0.2","53544","244","3977","633"
"1.004528","1.004528000","0.816962000","77","296","66.254.114.41","443","10.0.0.2","53544","244","4221","633"
"1.004545","1.004545000","0.816979000","78","296","66.254.114.41","443","10.0.0.2","53544","244","4465","633"
"1.004597","1.004597000","0.817031000","79","296","66.254.114.41","443","10.0.0.2","53544","244","4709","633"
"1.004609","1.004609000","0.817043000","80","280","66.254.114.41","443","10.0.0.2","53544","228","4953","633"
"1.004655","1.004655000","0.817089000","81","296","66.254.114.41","443","10.0.0.2","53544","244","5181","633"
"1.004667","1.004667000","0.817101000","82","296","66.254.114.41","443","10.0.0.2","53544","244","5425","633"
"1.004714","1.004714000","0.817148000","83","296","66.254.114.41","443","10.0.0.2","53544","244","5669","633"
"1.004763","1.004763000","0.817197000","84","296","66.254.114.41","443","10.0.0.2","53544","244","5913","633"
"1.004826","1.004826000","0.817260000","85","296","66.254.114.41","443","10.0.0.2","53544","244","6157","633"
"1.004840","1.004840000","0.817274000","86","280","66.254.114.41","443","10.0.0.2","53544","228","6401","633"
"1.004887","1.004887000","0.817321000","87","296","66.254.114.41","443","10.0.0.2","53544","244","6629","633"
"1.004898","1.004898000","0.817332000","88","296","66.254.114.41","443","10.0.0.2","53544","244","6873","633"
"1.004944","1.004944000","0.817378000","89","296","66.254.114.41","443","10.0.0.2","53544","244","7117","633"
"1.004957","1.004957000","0.817391000","90","296","66.254.114.41","443","10.0.0.2","53544","244","7361","633"
"1.005002","1.005002000","0.817436000","91","296","66.254.114.41","443","10.0.0.2","53544","244","7605","633"
"1.005014","1.005014000","0.817448000","92","296","66.254.114.41","443","10.0.0.2","53544","244","7849","633"
"1.005058","1.005058000","0.817492000","93","296","66.254.114.41","443","10.0.0.2","53544","244","8093","633"
"1.005070","1.005070000","0.817504000","94","296","66.254.114.41","443","10.0.0.2","53544","244","8337","633"
"1.187672","1.187672000","1.000106000","95","52","10.0.0.2","53544","66.254.114.41","443","0","633","4953"
"1.188502","1.188502000","1.000936000","96","296","66.254.114.41","443","10.0.0.2","53544","244","8581","633"
"1.188549","1.188549000","1.000983000","97","296","66.254.114.41","443","10.0.0.2","53544","244","8825","633"
"1.188610","1.188610000","1.001044000","98","296","66.254.114.41","443","10.0.0.2","53544","244","9069","633"
"1.188627","1.188627000","1.001061000","99","296","66.254.114.41","443","10.0.0.2","53544","244","9313","633"
"1.188672","1.188672000","1.001106000","100","296","66.254.114.41","443","10.0.0.2","53544","244","9557","633"
"1.249061","1.249061000","1.061495000","101","52","10.0.0.2","53544","66.254.114.41","443","0","633","6157"
"1.249816","1.249816000","1.062250000","102","296","66.254.114.41","443","10.0.0.2","53544","244","9801","633"
