_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","75","10.0.0.2",,"10.0.0.1",,,,
"0.000018","0.000018000",,"2","75","10.0.0.2",,"10.0.0.1",,,,
"0.002467","0.002467000",,"3","366","10.0.0.1",,"10.0.0.2",,,,
"0.002476","0.002476000",,"4","159","10.0.0.1",,"10.0.0.2",,,,
"0.187166","0.187166000","0.000000000","5","60","10.0.0.2","34854","3.162.81.200","443","0","0","0"
"0.187874","0.187874000","0.000708000","6","60","3.162.81.200","443","10.0.0.2","34854","0","0","1"
"0.374002","0.374002000","0.186836000","7","52","10.0.0.2","34854","3.162.81.200","443","0","1","1"
"0.374039","0.374039000","0.186873000","8","100","10.0.0.2","34854","3.162.81.200","443","48","1","1"
"0.374057","0.374057000","0.186891000","9","100","10.0.0.2","34854","3.162.81.200","443","48","49","1"
"0.374073","0.374073000","0.186907000","10","100","10.0.0.2","34854","3.162.81.200","443","48","97","1"
"0.374100","0.374100000","0.186934000","11","100","10.0.0.2","34854","3.162.81.200","443","48","145","1"
"0.374116","0.374116000","0.186950000","12","100","10.0.0.2","34854","3.162.81.200","443","48","193","1"
"0.374130","0.374130000","0.186964000","13","100","10.0.0.2","34854","3.162.81.200","443","48","241","1"
"0.374143","0.374143000","0.186977000","14","100","10.0.0.2","34854","3.162.81.200","443","48","289","1"
"0.374160","0.374160000","0.186994000","15","100","10.0.0.2","34854","3.162.81.200","443","48","337","1"
"0.374173","0.374173000","0.187007000","16","80","10.0.0.2","34854","3.162.81.200","443","28","385","1"
"0.374988","0.374988000","0.187822000","17","52","3.162.81.200","443","10.0.0.2","34854","0","1","49"
"0.375066","0.375066000","0.187900000","18","52","3.162.81.200","443","10.0.0.2","34854","0","1","97"
"0.375083","0.375083000","0.187917000","19","52","3.162.81.200","443","10.0.0.2","34854","0","1","145"
"0.375126","0.375126000","0.187960000","20","52","3.162.81.200","443","10.0.0.2","34854","0","1","193"
"0.375136","0.375136000","0.187970000","21","52","3.162.81.200","443","10.0.0.2","34854","0","1","241"
"0.375172","0.375172000","0.188006000","22","52","3.162.81.200","443","10.0.0.2","34854","0","1","289"
"0.375182","0.375182000","0.188016000","23","52","3.162.81.200","443","10.0.0.2","34854","0","1","337"
"0.375219","0.375219000","0.188053000","24","52","3.162.81.200","443","10.0.0.2","34854","0","1","385"
"0.375230","0.375230000","0.188064000","25","52","3.162.81.200","443","10.0.0.2","34854","0","1","413"
"0.400185","0.400185000","0.213019000","26","296","3.162.81.200","443","10.0.0.2","34854","244","1","413"
"0.400233","0.400233000","0.213067000","27","296","3.162.81.200","443","10.0.0.2","34854","244","245","413"
"0.400299","0.400299000","0.213133000","28","296","3.162.81.200","443","10.0.0.2","34854","244","489","413"
"0.400318","0.400318000","0.213152000","29","296","3.162.81.200","443","10.0.0.2","34854","244","733","413"
"0.400371","0.400371000","0.213205000","30","296","3.162.81.200","443","10.0.0.2","34854","244","977","413"
"0.400383","0.400383000","0.213217000","31","260","3.162.81.200","443","10.0.0.2","34854","208","1221","413"
"0.400429","0.400429000","0.213263000","32","296","3.162.81.200","443","10.0.0.2","34854","244","1429","413"
"0.400442","0.400442000","0.213276000","33","296","3.162.81.200","443","10.0.0.2","34854","244","1673","413"
"0.400488","0.400488000","0.213322000","34","296","3.162.81.200","443","10.0.0.2","34854","244","1917","413"
"0.400502","0.400502000","0.213336000","35","296","3.162.81.200","443","10.0.0.2","34854","244","2161","413"
"0.460502","0.460502000",,"36","76",,,,,,,
"0.460524","0.460524000",,"37","48",,,,,,,
"0.462969","0.462969000",,"38","76",,,,,,,
"0.562103","0.562103000","0.374937000","39","52","10.0.0.2","34854","3.162.81.200","443","0","413","245"
"0.562123","0.562123000","0.374957000","40","52","10.0.0.2","34854","3.162.81.200","443","0","413","489"
"0.562134","0.562134000","0.374968000","41","52","10.0.0.2","34854","3.162.81.200","443","0","413","733"
"0.562771","0.562771000","0.375605000","42","296","3.162.81.200","443","10.0.0.2","34854","244","2405","413"
"0.562807","0.562807000","0.375641000","43","296","3.162.81.200","443","10.0.0.2","34854","244","2649","413"
"0.562855","0.562855000","0.375689000","44","296","3.162.81.200","443","10.0.0.2","34854","244","2893","413"
"0.562867","0.562867000","0.375701000","45","296","3.162.81.200","443","10.0.0.2","34854","244","3137","413"
"0.562912","0.562912000","0.375746000","46","296","3.162.81.200","443","10.0.0.2","34854","244","3381","413"
"0.562924","0.562924000","0.375758000","47","296","3.162.81.200","443","10.0.0.2","34854","244","3625","413"
