_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","73","10.0.0.2",,"10.0.0.1",,,,
"0.000015","0.000015000",,"2","73","10.0.0.2",,"10.0.0.1",,,,
"0.002054","0.002054000",,"3","157","10.0.0.1",,"10.0.0.2",,,,
"0.002063","0.002063000",,"4","141","10.0.0.1",,"10.0.0.2",,,,
"0.179436","0.179436000",,"5","76",,,,,,,
"0.179458","0.179458000",,"6","48",,,,,,,
"0.182166","0.182166000",,"7","76",,,,,,,
"0.187776","0.187776000","0.000000000","8","60","10.0.0.2","42574","146.75.123.42","443","0","0","0"
"0.188695","0.188695000","0.000919000","9","60","146.75.123.42","443","10.0.0.2","42574","0","0","1"
"0.347028","0.347028000",,"10","76",,,,,,,
"0.347036","0.347036000",,"11","48",,,,,,,
"0.350004","0.350004000",,"12","76",,,,,,,
"0.374273","0.374273000","0.186497000","13","52","10.0.0.2","42574","146.75.123.42","443","0","1","1"
"0.374286","0.374286000","0.186510000","14","100","10.0.0.2","42574","146.75.123.42","443","48","1","1"
"0.374292","0.374292000","0.186516000","15","100","10.0.0.2","42574","146.75.123.42","443","48","49","1"
"0.374297","0.374297000","0.186521000","16","100","10.0.0.2","42574","146.75.123.42","443","48","97","1"
"0.374302","0.374302000","0.186526000","17","100","10.0.0.2","42574","146.75.123.42","443","48","145","1"
"0.374305","0.374305000","0.186529000","18","100","10.0.0.2","42574","146.75.123.42","443","48","193","1"
"0.374308","0.374308000","0.186532000","19","100","10.0.0.2","42574","146.75.123.42","443","48","241","1"
"0.374311","0.374311000","0.186535000","20","100","10.0.0.2","42574","146.75.123.42","443","48","289","1"
"0.374314","0.374314000","0.186538000","21","100","10.0.0.2","42574","146.75.123.42","443","48","337","1"
"0.374317","0.374317000","0.186541000","22","78","10.0.0.2","42574","146.75.123.42","443","26","385","1"
"0.375101","0.375101000","0.187325000","23","52","146.75.123.42","443","10.0.0.2","42574","0","1","49"
"0.375112","0.375112000","0.187336000","24","52","146.75.123.42","443","10.0.0.2","42574","0","1","97"
"0.375125","0.375125000","0.187349000","25","52","146.75.123.42","443","10.0.0.2","42574","0","1","145"
"0.375128","0.375128000","0.187352000","26","52","146.75.123.42","443","10.0.0.2","42574","0","1","193"
"0.375139","0.375139000","0.187363000","27","52","146.75.123.42","443","10.0.0.2","42574","0","1","241"
