_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","76",,,,,,,
"0.203122","0.203122000",,"2","73","10.0.0.2",,"10.0.0.1",,,,
"0.203148","0.203148000",,"3","73","10.0.0.2",,"10.0.0.1",,,,
"0.205714","0.205714000",,"4","427","10.0.0.1",,"10.0.0.2",,,,
"0.304409","0.304409000",,"5","172","10.0.0.1",,"10.0.0.2",,,,
"0.472081","0.472081000",,"6","76",,,,,,,
"0.577531","0.577531000","0.000000000","7","60","10.0.0.2","32802","163.181.131.203","443","0","0","0"
"0.578264","0.578264000","0.000733000","8","60","163.181.131.203","443","10.0.0.2","32802","0","0","1"
"0.792551","0.792551000",,"9","76",,,,,,,
"0.792574","0.792574000",,"10","48",,,,,,,
"0.795990","0.795990000",,"11","76",,,,,,,
"0.889289","0.889289000","0.311758000","12","52","10.0.0.2","32802","163.181.131.203","443","0","1","1"
"0.889310","0.889310000","0.311779000","13","100","10.0.0.2","32802","163.181.131.203","443","48","1","1"
"0.889323","0.889323000","0.311792000","14","100","10.0.0.2","32802","163.181.131.203","443","48","49","1"
"0.889334","0.889334000","0.311803000","15","100","10.0.0.2","32802","163.181.131.203","443","48","97","1"
"0.889345","0.889345000","0.311814000","16","100","10.0.0.2","32802","163.181.131.203","443","48","145","1"
"0.889357","0.889357000","0.311826000","17","100","10.0.0.2","32802","163.181.131.203","443","48","193","1"
"0.889368","0.889368000","0.311837000","18","100","10.0.0.2","32802","163.181.131.203","443","48","241","1"
"0.889379","0.889379000","0.311848000","19","100","10.0.0.2","32802","163.181.131.203","443","48","289","1"
"0.889391","0.889391000","0.311860000","20","100","10.0.0.2","32802","163.181.131.203","443","48","337","1"
"0.889402","0.889402000","0.311871000","21","78","10.0.0.2","32802","163.181.131.203","443","26","385","1"
"0.890059","0.890059000","0.312528000","22","52","163.181.131.203","443","10.0.0.2","32802","0","1","49"
"0.890210","0.890210000","0.312679000","23","52","163.181.131.203","443","10.0.0.2","32802","0","1","97"
"0.890226","0.890226000","0.312695000","24","52","163.181.131.203","443","10.0.0.2","32802","0","1","145"
"0.890270","0.890270000","0.312739000","25","52","163.181.131.203","443","10.0.0.2","32802","0","1","193"
"0.890281","0.890281000","0.312750000","26","52","163.181.131.203","443","10.0.0.2","32802","0","1","241"
"0.890325","0.890325000","0.312794000","27","52","163.181.131.203","443","10.0.0.2","32802","0","1","289"
"0.890338","0.890338000","0.312807000","28","52","163.181.131.203","443","10.0.0.2","32802","0","1","337"
"0.890380","0.890380000","0.312849000","29","52","163.181.131.203","443","10.0.0.2","32802","0","1","385"
"0.890392","0.890392000","0.312861000","30","52","163.181.131.203","443","10.0.0.2","32802","0","1","411"
"0.935711","0.935711000","0.358180000","31","296","163.181.131.203","443","10.0.0.2","32802","244","1","411"
"0.935742","0.935742000","0.358211000","32","296","163.181.131.203","443","10.0.0.2","32802","244","245","411"
"0.935770","0.935770000","0.358239000","33","296","163.181.131.203","443","10.0.0.2","32802","244","489","411"
"0.935777","0.935777000","0.358246000","34","296","163.181.131.203","443","10.0.0.2","32802","244","733","411"
"0.935803","0.935803000","0.358272000","35","296","163.181.131.203","443","10.0.0.2","32802","244","977","411"
"0.935810","0.935810000","0.358279000","36","296","163.181.131.203","443","10.0.0.2","32802","244","1221","411"
"0.935835","0.935835000","0.358304000","37","296","163.181.131.203","443","10.0.0.2","32802","244","1465","411"
"0.935843","0.935843000","0.358312000","38","296","163.181.131.203","443","10.0.0.2","32802","244","1709","411"
"0.935869","0.935869000","0.358338000","39","296","163.181.131.203","443","10.0.0.2","32802","244","1953","411"
"0.935876","0.935876000","0.358345000","40","296","163.181.131.203","443","10.0.0.2","32802","244","2197","411"
"1.088246","1.088246000",,"41","76",,,,,,,
"1.202726","1.202726000","0.625195000","42","52","10.0.0.2","32802","163.181.131.203","443","0","411","245"
"1.202756","1.202756000","0.625225000","43","52","10.0.0.2","32802","163.181.131.203","443","0","411","489"
"1.202775","1.202775000","0.625244000","44","52","10.0.0.2","32802","163.181.131.203","443","0","411","733"
"1.203598","1.203598000","0.626067000","45","296","163.181.131.203","443","10.0.0.2","32802","244","2441","411"
"1.203634","1.203634000","0.626103000","46","296","163.181.131.203","443","10.0.0.2","32802","244","2685","411"
"1.203695","1.203695000","0.626164000","47","296","163.181.131.203","443","10.0.0.2","32802","244","2929","411"
