_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","71","10.0.0.2",,"10.0.0.1",,,,
"0.000018","0.000018000",,"2","71","10.0.0.2",,"10.0.0.1",,,,
"0.027221","0.027221000",,"3","290","10.0.0.1",,"10.0.0.2",,,,
"0.029799","0.029799000",,"4","208","10.0.0.1",,"10.0.0.2",,,,
"0.033161","0.033161000",,"5","76",,,,,,,
"0.033169","0.033169000",,"6","48",,,,,,,
"0.036149","0.036149000",,"7","76",,,,,,,
"0.311588","0.311588000","0.000000000","8","60","10.0.0.2","50848","2.16.238.18","443","0","0","0"
"0.312330","0.312330000","0.000742000","9","60","2.16.238.18","443","10.0.0.2","50848","0","0","1"
"0.449185","0.449185000",,"10","76",,,,,,,
"0.505647","0.505647000",,"11","76",,,,,,,
"0.505665","0.505665000",,"12","48",,,,,,,
"0.508258","0.508258000",,"13","76",,,,,,,
"0.624372","0.624372000","0.312784000","14","52","10.0.0.2","50848","2.16.238.18","443","0","1","1"
"0.624404","0.624404000","0.312816000","15","100","10.0.0.2","50848","2.16.238.18","443","48","1","1"
"0.624425","0.624425000","0.312837000","16","100","10.0.0.2","50848","2.16.238.18","443","48","49","1"
"0.624444","0.624444000","0.312856000","17","100","10.0.0.2","50848","2.16.238.18","443","48","97","1"
"0.624461","0.624461000","0.312873000","18","100","10.0.0.2","50848","2.16.238.18","443","48","145","1"
"0.624480","0.624480000","0.312892000","19","100","10.0.0.2","50848","2.16.238.18","443","48","193","1"
"0.624496","0.624496000","0.312908000","20","100","10.0.0.2","50848","2.16.238.18","443","48","241","1"
"0.624510","0.624510000","0.312922000","21","100","10.0.0.2","50848","2.16.238.18","443","48","289","1"
"0.624528","0.624528000","0.312940000","22","100","10.0.0.2","50848","2.16.238.18","443","48","337","1"
"0.624543","0.624543000","0.312955000","23","76","10.0.0.2","50848","2.16.238.18","443","24","385","1"
"0.625200","0.625200000",,"24","76",,,,,,,
"0.625217","0.625217000","0.313629000","25","52","2.16.238.18","443","10.0.0.2","50848","0","1","49"
"0.625447","0.625447000","0.313859000","26","52","2.16.238.18","443","10.0.0.2","50848","0","1","97"
"0.625480","0.625480000","0.313892000","27","52","2.16.238.18","443","10.0.0.2","50848","0","1","145"
"0.625528","0.625528000","0.313940000","28","52","2.16.238.18","443","10.0.0.2","50848","0","1","193"
"0.625540","0.625540000","0.313952000","29","52","2.16.238.18","443","10.0.0.2","50848","0","1","241"
"0.625585","0.625585000","0.313997000","30","52","2.16.238.18","443","10.0.0.2","50848","0","1","289"
"0.625596","0.625596000","0.314008000","31","52","2.16.238.18","443","10.0.0.2","50848","0","1","337"
"0.625640","0.625640000","0.314052000","32","52","2.16.238.18","443","10.0.0.2","50848","0","1","385"
"0.625651","0.625651000","0.314063000","33","52","2.16.238.18","443","10.0.0.2","50848","0","1","409"
"0.720293","0.720293000","0.408705000","34","296","2.16.238.18","443","10.0.0.2","50848","244","1","409"
"0.720338","0.720338000","0.408750000","35","296","2.16.238.18","443","10.0.0.2","50848","244","245","409"
"0.720405","0.720405000","0.408817000","36","296","2.16.238.18","443","10.0.0.2","50848","244","489","409"
"0.720423","0.720423000","0.408835000","37","296","2.16.238.18","443","10.0.0.2","50848","244","733","409"
"0.720479","0.720479000","0.408891000","38","296","2.16.238.18","443","10.0.0.2","50848","244","977","409"
"0.720492","0.720492000","0.408904000","39","268","2.16.238.18","443","10.0.0.2","50848","216","1221","409"
"0.720543","0.720543000","0.408955000","40","296","2.16.238.18","443","10.0.0.2","50848","244","1437","409"
"0.720555","0.720555000","0.408967000","41","296","2.16.238.18","443","10.0.0.2","50848","244","1681","409"
"0.720600","0.720600000","0.409012000","42","296","2.16.238.18","443","10.0.0.2","50848","244","1925","409"
"0.720611","0.720611000","0.409023000","43","296","2.16.238.18","443","10.0.0.2","50848","244","2169","409"
"0.721177","0.721177000",,"44","76",,,,,,,
"0.889176","0.889176000",,"45","76",,,,,,,
"0.999393","0.999393000","0.687805000","46","52","10.0.0.2","50848","2.16.238.18","443","0","409","245"
"0.999408","0.999408000","0.687820000","47","52","10.0.0.2","50848","2.16.238.18","443","0","409","489"
"0.999415","0.999415000","0.687827000","48","52","10.0.0.2","50848","2.16.238.18","443","0","409","733"
"0.999420","0.999420000","0.687832000","49","52","10.0.0.2","50848","2.16.238.18","443","0","409","977"
"0.999424","0.999424000","0.687836000","50","52","10.0.0.2","50848","2.16.238.18","443","0","409","1221"
"0.999955","0.999955000","0.688367000","51","65","2.16.238.18","443","10.0.0.2","50848","13","2413","409"
"1.061835","1.061835000","0.750247000","52","52","10.0.0.2","50848","2.16.238.18","443","0","409","1437"
"1.061862","1.061862000","0.750274000","53","52","10.0.0.2","50848","2.16.238.18","443","0","409","1681"
"1.061882","1.061882000","0.750294000","54","52","10.0.0.2","50848","2.16.238.18","443","0","409","1925"
"1.061898","1.061898000","0.750310000","55","52","10.0.0.2","50848","2.16.238.18","443","0","409","2169"
"1.061914","1.061914000","0.750326000","56","52","10.0.0.2","50848","2.16.238.18","443","0","409","2413"
"1.312197","1.312197000","1.000609000","57","52","10.0.0.2","50848","2.16.238.18","443","0","409","2426"
"1.312227","1.312227000","1.000639000","58","100","10.0.0.2","50848","2.16.238.18","443","48","409","2426"
"1.312247","1.312247000","1.000659000","59","84","10.0.0.2","50848","2.16.238.18","443","32","457","2426"
"1.312263","1.312263000","1.000675000","60","100","10.0.0.2","50848","2.16.238.18","443","48","489","2426"
"1.312280","1.312280000","1.000692000","61","100","10.0.0.2","50848","2.16.238.18","443","48","537","2426"
"1.312296","1.312296000","1.000708000","62","100","10.0.0.2","50848","2.16.238.18","443","48","585","2426"
"1.312785","1.312785000","1.001197000","63","52","2.16.238.18","443","10.0.0.2","50848","0","2426","457"
"1.312823","1.312823000","1.001235000","64","52","2.16.238.18","443","10.0.0.2","50848","0","2426","537"
"1.312873","1.312873000","1.001285000","65","52","2.16.238.18","443","10.0.0.2","50848","0","2426","585"
"1.312885","1.312885000","1.001297000","66","52","2.16.238.18","443","10.0.0.2","50848","0","2426","633"
"1.330277","1.330277000","1.018689000","67","296","2.16.238.18","443","10.0.0.2","50848","244","2426","633"
"1.330320","1.330320000","1.018732000","68","79","2.16.238.18","443","10.0.0.2","50848","27","2670","633"
"1.330384","1.330384000","1.018796000","69","296","2.16.238.18","443","10.0.0.2","50848","244","2697","633"
"1.330403","1.330403000","1.018815000","70","79","2.16.238.18","443","10.0.0.2","50848","27","2941","633"
"1.625184","1.625184000","1.313596000","71","62","10.0.0.2","50848","2.16.238.18","443","10","633","2426"
"1.625215","1.625215000","1.313627000","72","52","10.0.0.2","50848","2.16.238.18","443","0","643","2968"
"1.667123","1.667123000","1.355535000","73","52","2.16.238.18","443","10.0.0.2","50848","0","2968","643"
"1.735177","1.735177000","1.423589000","74","296","2.16.238.18","443","10.0.0.2","50848","244","2968","643"
"1.735224","1.735224000","1.423636000","75","296","2.16.238.18","443","10.0.0.2","50848","244","3212","643"
"1.735277","1.735277000","1.423689000","76","296","2.16.238.18","443","10.0.0.2","50848","244","3456","643"
"1.735289","1.735289000","1.423701000","77","296","2.16.238.18","443","10.0.0.2","50848","244","3700","643"
"1.735335","1.735335000","1.423747000","78","296","2.16.238.18","443","10.0.0.2","50848","244","3944","643"
"1.735346","1.735346000","1.423758000","79","296","2.16.238.18","443","10.0.0.2","50848","244","4188","643"
"1.735396","1.735396000","1.423808000","80","296","2.16.238.18","443","10.0.0.2","50848","244","4432","643"
"1.735413","1.735413000","1.423825000","81","296","2.16.238.18","443","10.0.0.2","50848","244","4676","643"
"1.735460","1.735460000","1.423872000","82","296","2.16.238.18","443","10.0.0.2","50848","244","4920","643"
"1.735474","1.735474000","1.423886000","83","296","2.16.238.18","443","10.0.0.2","50848","244","5164","643"
"1.735522","1.735522000","1.423934000","84","296","2.16.238.18","443","10.0.0.2","50848","244","5408","643"
"1.735535","1.735535000","1.423947000","85","240","2.16.238.18","443","10.0.0.2","50848","188","5652","643"
"1.735581","1.735581000","1.423993000","86","296","2.16.238.18","443","10.0.0.2","50848","244","5840","643"
"1.735592","1.735592000","1.424004000","87","296","2.16.238.18","443","10.0.0.2","50848","244","6084","643"
"1.735638","1.735638000","1.424050000","88","296","2.16.238.18","443","10.0.0.2","50848","244","6328","643"
"1.735649","1.735649000","1.424061000","89","296","2.16.238.18","443","10.0.0.2","50848","244","6572","643"
