_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","70","10.0.0.2",,"10.0.0.1",,,,
"0.000017","0.000017000",,"2","70","10.0.0.2",,"10.0.0.1",,,,
"0.002022","0.002022000",,"3","421","10.0.0.1",,"10.0.0.2",,,,
"0.002032","0.002032000",,"4","477","10.0.0.1",,"10.0.0.2",,,,
"0.187882","0.187882000","0.000000000","5","60","10.0.0.2","38350","163.181.131.202","443","0","0","0"
"0.188631","0.188631000","0.000749000","6","60","163.181.131.202","443","10.0.0.2","38350","0","0","1"
"0.374710","0.374710000","0.186828000","7","52","10.0.0.2","38350","163.181.131.202","443","0","1","1"
"0.374743","0.374743000","0.186861000","8","100","10.0.0.2","38350","163.181.131.202","443","48","1","1"
"0.374760","0.374760000","0.186878000","9","100","10.0.0.2","38350","163.181.131.202","443","48","49","1"
"0.374774","0.374774000","0.186892000","10","100","10.0.0.2","38350","163.181.131.202","443","48","97","1"
"0.374796","0.374796000","0.186914000","11","100","10.0.0.2","38350","163.181.131.202","443","48","145","1"
"0.374806","0.374806000","0.186924000","12","100","10.0.0.2","38350","163.181.131.202","443","48","193","1"
"0.374816","0.374816000","0.186934000","13","100","10.0.0.2","38350","163.181.131.202","443","48","241","1"
"0.374826","0.374826000","0.186944000","14","100","10.0.0.2","38350","163.181.131.202","443","48","289","1"
"0.374836","0.374836000","0.186954000","15","100","10.0.0.2","38350","163.181.131.202","443","48","337","1"
"0.374846","0.374846000","0.186964000","16","75","10.0.0.2","38350","163.181.131.202","443","23","385","1"
"0.375475","0.375475000","0.187593000","17","52","163.181.131.202","443","10.0.0.2","38350","0","1","49"
"0.375724","0.375724000","0.187842000","18","52","163.181.131.202","443","10.0.0.2","38350","0","1","97"
"0.375748","0.375748000","0.187866000","19","52","163.181.131.202","443","10.0.0.2","38350","0","1","145"
"0.375782","0.375782000","0.187900000","20","52","163.181.131.202","443","10.0.0.2","38350","0","1","193"
"0.375791","0.375791000","0.187909000","21","52","163.181.131.202","443","10.0.0.2","38350","0","1","241"
"0.375823","0.375823000","0.187941000","22","52","163.181.131.202","443","10.0.0.2","38350","0","1","289"
"0.375831","0.375831000","0.187949000","23","52","163.181.131.202","443","10.0.0.2","38350","0","1","337"
"0.375878","0.375878000","0.187996000","24","52","163.181.131.202","443","10.0.0.2","38350","0","1","385"
"0.375895","0.375895000","0.188013000","25","52","163.181.131.202","443","10.0.0.2","38350","0","1","408"
"0.396558","0.396558000",,"26","76",,,,,,,
"0.396580","0.396580000",,"27","48",,,,,,,
"0.399107","0.399107000",,"28","76",,,,,,,
"0.421318","0.421318000","0.233436000","29","296","163.181.131.202","443","10.0.0.2","38350","244","1","408"
"0.421365","0.421365000","0.233483000","30","296","163.181.131.202","443","10.0.0.2","38350","244","245","408"
"0.421432","0.421432000","0.233550000","31","296","163.181.131.202","443","10.0.0.2","38350","244","489","408"
"0.421450","0.421450000","0.233568000","32","296","163.181.131.202","443","10.0.0.2","38350","244","733","408"
"0.421499","0.421499000","0.233617000","33","296","163.181.131.202","443","10.0.0.2","38350","244","977","408"
"0.421511","0.421511000","0.233629000","34","296","163.181.131.202","443","10.0.0.2","38350","244","1221","408"
"0.421556","0.421556000","0.233674000","35","296","163.181.131.202","443","10.0.0.2","38350","244","1465","408"
"0.421568","0.421568000","0.233686000","36","296","163.181.131.202","443","10.0.0.2","38350","244","1709","408"
"0.421613","0.421613000","0.233731000","37","296","163.181.131.202","443","10.0.0.2","38350","244","1953","408"
"0.421625","0.421625000","0.233743000","38","296","163.181.131.202","443","10.0.0.2","38350","244","2197","408"
"0.476123","0.476123000",,"39","76",,,,,,,
"0.562149","0.562149000","0.374267000","40","52","10.0.0.2","38350","163.181.131.202","443","0","408","245"
"0.562164","0.562164000","0.374282000","41","52","10.0.0.2","38350","163.181.131.202","443","0","408","489"
