_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","77","10.0.0.2",,"10.0.0.1",,,,
"0.000022","0.000022000",,"2","77","10.0.0.2",,"10.0.0.1",,,,
"0.002339","0.002339000",,"3","384","10.0.0.1",,"10.0.0.2",,,,
"0.002658","0.002658000",,"4","438","10.0.0.1",,"10.0.0.2",,,,
"0.311229","0.311229000","0.000000000","5","60","10.0.0.2","49510","104.244.42.131","443","0","0","0"
"0.311872","0.311872000","0.000643000","6","60","104.244.42.131","443","10.0.0.2","49510","0","0","1"
"0.547848","0.547848000",,"7","76",,,,,,,
"0.547855","0.547855000",,"8","48",,,,,,,
"0.550848","0.550848000",,"9","76",,,,,,,
"0.589872","0.589872000",,"10","76",,,,,,,
"0.624019","0.624019000","0.312790000","11","52","10.0.0.2","49510","104.244.42.131","443","0","1","1"
"0.624050","0.624050000","0.312821000","12","100","10.0.0.2","49510","104.244.42.131","443","48","1","1"
"0.624068","0.624068000","0.312839000","13","100","10.0.0.2","49510","104.244.42.131","443","48","49","1"
"0.624083","0.624083000","0.312854000","14","100","10.0.0.2","49510","104.244.42.131","443","48","97","1"
"0.624099","0.624099000","0.312870000","15","100","10.0.0.2","49510","104.244.42.131","443","48","145","1"
"0.624114","0.624114000","0.312885000","16","100","10.0.0.2","49510","104.244.42.131","443","48","193","1"
"0.624129","0.624129000","0.312900000","17","100","10.0.0.2","49510","104.244.42.131","443","48","241","1"
"0.624143","0.624143000","0.312914000","18","100","10.0.0.2","49510","104.244.42.131","443","48","289","1"
"0.624158","0.624158000","0.312929000","19","100","10.0.0.2","49510","104.244.42.131","443","48","337","1"
"0.624174","0.624174000","0.312945000","20","82","10.0.0.2","49510","104.244.42.131","443","30","385","1"
"0.625033","0.625033000","0.313804000","21","52","104.244.42.131","443","10.0.0.2","49510","0","1","49"
"0.625077","0.625077000","0.313848000","22","52","104.244.42.131","443","10.0.0.2","49510","0","1","97"
"0.625137","0.625137000","0.313908000","23","52","104.244.42.131","443","10.0.0.2","49510","0","1","145"
"0.625156","0.625156000","0.313927000","24","52","104.244.42.131","443","10.0.0.2","49510","0","1","193"
"0.625213","0.625213000","0.313984000","25","52","104.244.42.131","443","10.0.0.2","49510","0","1","241"
"0.625227","0.625227000","0.313998000","26","52","104.244.42.131","443","10.0.0.2","49510","0","1","289"
"0.625271","0.625271000","0.314042000","27","52","104.244.42.131","443","10.0.0.2","49510","0","1","337"
"0.625283","0.625283000","0.314054000","28","52","104.244.42.131","443","10.0.0.2","49510","0","1","385"
"0.625316","0.625316000","0.314087000","29","52","104.244.42.131","443","10.0.0.2","49510","0","1","415"
"0.667570","0.667570000","0.356341000","30","296","104.244.42.131","443","10.0.0.2","49510","244","1","415"
"0.667617","0.667617000","0.356388000","31","296","104.244.42.131","443","10.0.0.2","49510","244","245","415"
"0.667682","0.667682000","0.356453000","32","296","104.244.42.131","443","10.0.0.2","49510","244","489","415"
"0.667701","0.667701000","0.356472000","33","296","104.244.42.131","443","10.0.0.2","49510","244","733","415"
"0.667788","0.667788000","0.356559000","34","296","104.244.42.131","443","10.0.0.2","49510","244","977","415"
"0.667804","0.667804000","0.356575000","35","296","104.244.42.131","443","10.0.0.2","49510","244","1221","415"
"0.667850","0.667850000","0.356621000","36","296","104.244.42.131","443","10.0.0.2","49510","244","1465","415"
"0.667862","0.667862000","0.356633000","37","296","104.244.42.131","443","10.0.0.2","49510","244","1709","415"
"0.667912","0.667912000","0.356683000","38","296","104.244.42.131","443","10.0.0.2","49510","244","1953","415"
"0.667924","0.667924000","0.356695000","39","296","104.244.42.131","443","10.0.0.2","49510","244","2197","415"
"0.676288","0.676288000",,"40","76",,,,,,,
"0.676316","0.676316000",,"41","48",,,,,,,
"0.678996","0.678996000",,"42","76",,,,,,,
"0.756001","0.756001000",,"43","76",,,,,,,
"0.936674","0.936674000","0.625445000","44","52","10.0.0.2","49510","104.244.42.131","443","0","415","245"
"0.936704","0.936704000","0.625475000","45","52","10.0.0.2","49510","104.244.42.131","443","0","415","489"
"0.936744","0.936744000","0.625515000","46","52","10.0.0.2","49510","104.244.42.131","443","0","415","733"
"0.937415","0.937415000","0.626186000","47","296","104.244.42.131","443","10.0.0.2","49510","244","2441","415"
"0.937453","0.937453000","0.626224000","48","296","104.244.42.131","443","10.0.0.2","49510","244","2685","415"
"0.937503","0.937503000","0.626274000","49","296","104.244.42.131","443","10.0.0.2","49510","244","2929","415"
"0.937515","0.937515000","0.626286000","50","296","104.244.42.131","443","10.0.0.2","49510","244","3173","415"
"0.937550","0.937550000","0.626321000","51","143","104.244.42.131","443","10.0.0.2","49510","91","3417","415"
