_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","76",,,,,,,
"0.000014","0.000014000",,"2","48",,,,,,,
"0.003004","0.003004000",,"3","76",,,,,,,
"0.003996","0.003996000",,"4","73","10.0.0.2",,"10.0.0.1",,,,
"0.004037","0.004037000",,"5","73","10.0.0.2",,"10.0.0.1",,,,
"0.005054","0.005054000",,"6","248","10.0.0.1",,"10.0.0.2",,,,
"0.005204","0.005204000",,"7","232","10.0.0.1",,"10.0.0.2",,,,
"0.296037","0.296037000",,"8","76",,,,,,,
"0.315677","0.315677000","0.000000000","9","60","10.0.0.2","46040","185.15.59.224","443","0","0","0"
"0.316545","0.316545000","0.000868000","10","60","185.15.59.224","443","10.0.0.2","46040","0","0","1"
"0.384164","0.384164000",,"11","76",,,,,,,
"0.448180","0.448180000",,"12","76",,,,,,,
"0.576017","0.576017000",,"13","76",,,,,,,
"0.628676","0.628676000","0.312999000","14","52","10.0.0.2","46040","185.15.59.224","443","0","1","1"
"0.628705","0.628705000","0.313028000","15","100","10.0.0.2","46040","185.15.59.224","443","48","1","1"
"0.628723","0.628723000","0.313046000","16","100","10.0.0.2","46040","185.15.59.224","443","48","49","1"
"0.628738","0.628738000","0.313061000","17","100","10.0.0.2","46040","185.15.59.224","443","48","97","1"
"0.628753","0.628753000","0.313076000","18","100","10.0.0.2","46040","185.15.59.224","443","48","145","1"
"0.628767","0.628767000","0.313090000","19","100","10.0.0.2","46040","185.15.59.224","443","48","193","1"
"0.628781","0.628781000","0.313104000","20","100","10.0.0.2","46040","185.15.59.224","443","48","241","1"
"0.628795","0.628795000","0.313118000","21","100","10.0.0.2","46040","185.15.59.224","443","48","289","1"
"0.628811","0.628811000","0.313134000","22","100","10.0.0.2","46040","185.15.59.224","443","48","337","1"
"0.628826","0.628826000","0.313149000","23","78","10.0.0.2","46040","185.15.59.224","443","26","385","1"
"0.629455","0.629455000","0.313778000","24","52","185.15.59.224","443","10.0.0.2","46040","0","1","49"
"0.629574","0.629574000","0.313897000","25","52","185.15.59.224","443","10.0.0.2","46040","0","1","97"
"0.629590","0.629590000","0.313913000","26","52","185.15.59.224","443","10.0.0.2","46040","0","1","145"
"0.629711","0.629711000","0.314034000","27","52","185.15.59.224","443","10.0.0.2","46040","0","1","193"
"0.629731","0.629731000","0.314054000","28","52","185.15.59.224","443","10.0.0.2","46040","0","1","241"
"0.629776","0.629776000","0.314099000","29","52","185.15.59.224","443","10.0.0.2","46040","0","1","289"
"0.629788","0.629788000","0.314111000","30","52","185.15.59.224","443","10.0.0.2","46040","0","1","337"
"0.629831","0.629831000","0.314154000","31","52","185.15.59.224","443","10.0.0.2","46040","0","1","385"
"0.629842","0.629842000","0.314165000","32","52","185.15.59.224","443","10.0.0.2","46040","0","1","411"
"0.702880","0.702880000","0.387203000","33","296","185.15.59.224","443","10.0.0.2","46040","244","1","411"
"0.703015","0.703015000","0.387338000","34","296","185.15.59.224","443","10.0.0.2","46040","244","245","411"
"0.703036","0.703036000","0.387359000","35","296","185.15.59.224","443","10.0.0.2","46040","244","489","411"
"0.703085","0.703085000","0.387408000","36","296","185.15.59.224","443","10.0.0.2","46040","244","733","411"
"0.703099","0.703099000","0.387422000","37","296","185.15.59.224","443","10.0.0.2","46040","244","977","411"
"0.703146","0.703146000","0.387469000","38","296","185.15.59.224","443","10.0.0.2","46040","244","1221","411"
"0.703159","0.703159000","0.387482000","39","296","185.15.59.224","443","10.0.0.2","46040","244","1465","411"
"0.703205","0.703205000","0.387528000","40","296","185.15.59.224","443","10.0.0.2","46040","244","1709","411"
"0.703221","0.703221000","0.387544000","41","296","185.15.59.224","443","10.0.0.2","46040","244","1953","411"
"0.703254","0.703254000","0.387577000","42","296","185.15.59.224","443","10.0.0.2","46040","244","2197","411"
"1.004067","1.004067000","0.688390000","43","52","10.0.0.2","46040","185.15.59.224","443","0","411","245"
"1.004098","1.004098000","0.688421000","44","52","10.0.0.2","46040","185.15.59.224","443","0","411","489"
"1.004117","1.004117000","0.688440000","45","52","10.0.0.2","46040","185.15.59.224","443","0","411","733"
"1.004132","1.004132000","0.688455000","46","52","10.0.0.2","46040","185.15.59.224","443","0","411","977"
"1.004146","1.004146000","0.688469000","47","52","10.0.0.2","46040","185.15.59.224","443","0","411","1221"
"1.004725","1.004725000","0.689048000","48","296","185.15.59.224","443","10.0.0.2","46040","244","2441","411"
"1.004760","1.004760000","0.689083000","49","296","185.15.59.224","443","10.0.0.2","46040","244","2685","411"
"1.004810","1.004810000","0.689133000","50","296","185.15.59.224","443","10.0.0.2","46040","244","2929","411"
"1.004822","1.004822000","0.689145000","51","296","185.15.59.224","443","10.0.0.2","46040","244","3173","411"
"1.004858","1.004858000","0.689181000","52","177","185.15.59.224","443","10.0.0.2","46040","125","3417","411"
"1.065421","1.065421000","0.749744000","53","52","10.0.0.2","46040","185.15.59.224","443","0","411","1465"
"1.065450","1.065450000","0.749773000","54","52","10.0.0.2","46040","185.15.59.224","443","0","411","1709"
"1.065467","1.065467000","0.749790000","55","52","10.0.0.2","46040","185.15.59.224","443","0","411","1953"
"1.065479","1.065479000","0.749802000","56","52","10.0.0.2","46040","185.15.59.224","443","0","411","2197"
"1.065491","1.065491000","0.749814000","57","52","10.0.0.2","46040","185.15.59.224","443","0","411","2441"
"1.315528","1.315528000","0.999851000","58","52","10.0.0.2","46040","185.15.59.224","443","0","411","2685"
"1.315556","1.315556000","0.999879000","59","52","10.0.0.2","46040","185.15.59.224","443","0","411","2929"
"1.315574","1.315574000","0.999897000","60","52","10.0.0.2","46040","185.15.59.224","443","0","411","3173"
"1.315588","1.315588000","0.999911000","61","52","10.0.0.2","46040","185.15.59.224","443","0","411","3417"
"1.315604","1.315604000","0.999927000","62","52","10.0.0.2","46040","185.15.59.224","443","0","411","3542"
"1.315620","1.315620000","0.999943000","63","100","10.0.0.2","46040","185.15.59.224","443","48","411","3542"
"1.315634","1.315634000","0.999957000","64","68","10.0.0.2","46040","185.15.59.224","443","16","459","3542"
"1.315647","1.315647000","0.999970000","65","100","10.0.0.2","46040","185.15.59.224","443","48","475","3542"
"1.315662","1.315662000","0.999985000","66","100","10.0.0.2","46040","185.15.59.224","443","48","523","3542"
"1.315677","1.315677000","1.000000000","67","100","10.0.0.2","46040","185.15.59.224","443","48","571","3542"
"1.316313","1.316313000","1.000636000","68","52","185.15.59.224","443","10.0.0.2","46040","0","3542","459"
"1.316350","1.316350000","1.000673000","69","52","185.15.59.224","443","10.0.0.2","46040","0","3542","475"
"1.316401","1.316401000","1.000724000","70","52","185.15.59.224","443","10.0.0.2","46040","0","3542","571"
"1.316413","1.316413000","1.000736000","71","52","185.15.59.224","443","10.0.0.2","46040","0","3542","619"
"1.353197","1.353197000","1.037520000","72","296","185.15.59.224","443","10.0.0.2","46040","244","3542","619"
"1.353242","1.353242000","1.037565000","73","63","185.15.59.224","443","10.0.0.2","46040","11","3786","619"
"1.353307","1.353307000","1.037630000","74","296","185.15.59.224","443","10.0.0.2","46040","244","3797","619"
"1.353326","1.353326000","1.037649000","75","63","185.15.59.224","443","10.0.0.2","46040","11","4041","619"
"1.628430","1.628430000","1.312753000","76","71","10.0.0.2","46040","185.15.59.224","443","19","619","3542"
"1.628468","1.628468000","1.312791000","77","52","10.0.0.2","46040","185.15.59.224","443","0","638","4052"
"1.666420","1.666420000","1.350743000","78","296","185.15.59.224","443","10.0.0.2","46040","244","4052","638"
"1.666468","1.666468000","1.350791000","79","296","185.15.59.224","443","10.0.0.2","46040","244","4296","638"
"1.666533","1.666533000","1.350856000","80","296","185.15.59.224","443","10.0.0.2","46040","244","4540","638"
"1.666551","1.666551000","1.350874000","81","296","185.15.59.224","443","10.0.0.2","46040","244","4784","638"
"1.666600","1.666600000","1.350923000","82","296","185.15.59.224","443","10.0.0.2","46040","244","5028","638"
"1.666612","1.666612000","1.350935000","83","296","185.15.59.224","443","10.0.0.2","46040","244","5272","638"
"1.666659","1.666659000","1.350982000","84","296","185.15.59.224","443","10.0.0.2","46040","244","5516","638"
"1.666671","1.666671000","1.350994000","85","296","185.15.59.224","443","10.0.0.2","46040","244","5760","638"
"1.666717","1.666717000","1.351040000","86","296","185.15.59.224","443","10.0.0.2","46040","244","6004","638"
"1.666731","1.666731000","1.351054000","87","296","185.15.59.224","443","10.0.0.2","46040","244","6248","638"
"1.666778","1.666778000","1.351101000","88","296","185.15.59.224","443","10.0.0.2","46040","244","6492","638"
"1.666792","1.666792000","1.351115000","89","264","185.15.59.224","443","10.0.0.2","46040","212","6736","638"
"1.666842","1.666842000","1.351165000","90","296","185.15.59.224","443","10.0.0.2","46040","244","6948","638"
"1.666856","1.666856000","1.351179000","91","296","185.15.59.224","443","10.0.0.2","46040","244","7192","638"
"1.666940","1.666940000","1.351263000","92","296","185.15.59.224","443","10.0.0.2","46040","244","7436","638"
"1.666957","1.666957000","1.351280000","93","296","185.15.59.224","443","10.0.0.2","46040","244","7680","638"
"1.667003","1.667003000","1.351326000","94","296","185.15.59.224","443","10.0.0.2","46040","244","7924","638"
"1.667015","1.667015000","1.351338000","95","296","185.15.59.224","443","10.0.0.2","46040","244","8168","638"
"1.667048","1.667048000","1.351371000","96","296","185.15.59.224","443","10.0.0.2","46040","244","8412","638"
"1.940276","1.940276000","1.624599000","97","52","10.0.0.2","46040","185.15.59.224","443","0","638","5272"
"1.941063","1.941063000","1.625386000","98","296","185.15.59.224","443","10.0.0.2","46040","244","8656","638"
"1.941108","1.941108000","1.625431000","99","296","185.15.59.224","443","10.0.0.2","46040","244","8900","638"
"1.941170","1.941170000","1.625493000","100","296","185.15.59.224","443","10.0.0.2","46040","244","9144","638"
"1.941188","1.941188000","1.625511000","101","296","185.15.59.224","443","10.0.0.2","46040","244","9388","638"
"1.941232","1.941232000","1.625555000","102","296","185.15.59.224","443","10.0.0.2","46040","244","9632","638"
"2.003562","2.003562000","1.687885000","103","52","10.0.0.2","46040","185.15.59.224","443","0","638","6492"
"2.004337","2.004337000","1.688660000","104","296","185.15.59.224","443","10.0.0.2","46040","244","9876","638"
"2.004381","2.004381000","1.688704000","105","296","185.15.59.224","443","10.0.0.2","46040","244","10120","638"
"2.004444","2.004444000","1.688767000","106","296","185.15.59.224","443","10.0.0.2","46040","244","10364","638"
"2.004463","2.004463000","1.688786000","107","296","185.15.59.224","443","10.0.0.2","46040","244","10608","638"
"2.004507","2.004507000","1.688830000","108","296","185.15.59.224","443","10.0.0.2","46040","244","10852","638"
"2.065746","2.065746000","1.750069000","109","52","10.0.0.2","46040","185.15.59.224","443","0","638","7680"
"2.066456","2.066456000","1.750779000","110","296","185.15.59.224","443","10.0.0.2","46040","244","11096","638"
"2.066499","2.066499000","1.750822000","111","296","185.15.59.224","443","10.0.0.2","46040","244","11340","638"
"2.066565","2.066565000","1.750888000","112","296","185.15.59.224","443","10.0.0.2","46040","244","11584","638"
"2.066584","2.066584000","1.750907000","113","296","185.15.59.224","443","10.0.0.2","46040","244","11828","638"
"2.066641","2.066641000","1.750964000","114","296","185.15.59.224","443","10.0.0.2","46040","244","12072","638"
"2.066660","2.066660000","1.750983000","115","296","185.15.59.224","443","10.0.0.2","46040","244","12316","638"
"2.128121","2.128121000","1.812444000","116","52","10.0.0.2","46040","185.15.59.224","443","0","638","8656"
"2.128660","2.128660000","1.812983000","117","296","185.15.59.224","443","10.0.0.2","46040","244","12560","638"
"2.128697","2.128697000","1.813020000","118","296","185.15.59.224","443","10.0.0.2","46040","244","12804","638"
"2.128747","2.128747000","1.813070000","119","296","185.15.59.224","443","10.0.0.2","46040","244","13048","638"
"2.128759","2.128759000","1.813082000","120","296","185.15.59.224","443","10.0.0.2","46040","244","13292","638"
"2.253344","2.253344000","1.937667000","121","52","10.0.0.2","46040","185.15.59.224","443","0","638","9876"
"2.253973","2.253973000","1.938296000","122","296","185.15.59.224","443","10.0.0.2","46040","244","13536","638"
"2.254009","2.254009000","1.938332000","123","296","185.15.59.224","443","10.0.0.2","46040","244","13780","638"
