_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","69","10.0.0.2",,"10.0.0.1",,,,
"0.000012","0.000012000",,"2","69","10.0.0.2",,"10.0.0.1",,,,
"0.002367","0.002367000",,"3","376","10.0.0.1",,"10.0.0.2",,,,
"0.002377","0.002377000",,"4","400","10.0.0.1",,"10.0.0.2",,,,
"0.187052","0.187052000","0.000000000","5","60","10.0.0.2","58364","104.18.147.40","443","0","0","0"
"0.187747","0.187747000","0.000695000","6","60","104.18.147.40","443","10.0.0.2","58364","0","0","1"
"0.307840","0.307840000",,"7","76",,,,,,,
"0.307861","0.307861000",,"8","48",,,,,,,
"0.310488","0.310488000",,"9","76",,,,,,,
"0.374232","0.374232000","0.187180000","10","52","10.0.0.2","58364","104.18.147.40","443","0","1","1"
"0.374283","0.374283000","0.187231000","11","100","10.0.0.2","58364","104.18.147.40","443","48","1","1"
"0.374306","0.374306000","0.187254000","12","100","10.0.0.2","58364","104.18.147.40","443","48","49","1"
"0.374325","0.374325000","0.187273000","13","100","10.0.0.2","58364","104.18.147.40","443","48","97","1"
"0.374340","0.374340000","0.187288000","14","100","10.0.0.2","58364","104.18.147.40","443","48","145","1"
"0.374355","0.374355000","0.187303000","15","100","10.0.0.2","58364","104.18.147.40","443","48","193","1"
"0.374369","0.374369000","0.187317000","16","100","10.0.0.2","58364","104.18.147.40","443","48","241","1"
"0.374384","0.374384000","0.187332000","17","100","10.0.0.2","58364","104.18.147.40","443","48","289","1"
"0.374400","0.374400000","0.187348000","18","100","10.0.0.2","58364","104.18.147.40","443","48","337","1"
"0.374416","0.374416000","0.187364000","19","74","10.0.0.2","58364","104.18.147.40","443","22","385","1"
"0.374986","0.374986000","0.187934000","20","52","104.18.147.40","443","10.0.0.2","58364","0","1","49"
"0.375062","0.375062000","0.188010000","21","52","104.18.147.40","443","10.0.0.2","58364","0","1","97"
"0.375075","0.375075000","0.188023000","22","52","104.18.147.40","443","10.0.0.2","58364","0","1","145"
"0.375291","0.375291000","0.188239000","23","52","104.18.147.40","443","10.0.0.2","58364","0","1","193"
"0.375324","0.375324000","0.188272000","24","52","104.18.147.40","443","10.0.0.2","58364","0","1","241"
"0.375376","0.375376000","0.188324000","25","52","104.18.147.40","443","10.0.0.2","58364","0","1","289"
"0.375388","0.375388000","0.188336000","26","52","104.18.147.40","443","10.0.0.2","58364","0","1","337"
"0.375432","0.375432000","0.188380000","27","52","104.18.147.40","443","10.0.0.2","58364","0","1","385"
"0.375443","0.375443000","0.188391000","28","52","104.18.147.40","443","10.0.0.2","58364","0","1","407"
"0.432350","0.432350000","0.245298000","29","296","104.18.147.40","443","10.0.0.2","58364","244","1","407"
"0.432397","0.432397000","0.245345000","30","296","104.18.147.40","443","10.0.0.2","58364","244","245","407"
"0.432461","0.432461000","0.245409000","31","296","104.18.147.40","443","10.0.0.2","58364","244","489","407"
"0.432479","0.432479000","0.245427000","32","296","104.18.147.40","443","10.0.0.2","58364","244","733","407"
"0.432527","0.432527000","0.245475000","33","296","104.18.147.40","443","10.0.0.2","58364","244","977","407"
"0.432538","0.432538000","0.245486000","34","280","104.18.147.40","443","10.0.0.2","58364","228","1221","407"
"0.432584","0.432584000","0.245532000","35","296","104.18.147.40","443","10.0.0.2","58364","244","1449","407"
"0.432596","0.432596000","0.245544000","36","296","104.18.147.40","443","10.0.0.2","58364","244","1693","407"
"0.432645","0.432645000","0.245593000","37","296","104.18.147.40","443","10.0.0.2","58364","244","1937","407"
"0.432657","0.432657000","0.245605000","38","194","104.18.147.40","443","10.0.0.2","58364","142","2181","407"
"0.561659","0.561659000","0.374607000","39","52","10.0.0.2","58364","104.18.147.40","443","0","407","245"
"0.561695","0.561695000","0.374643000","40","52","10.0.0.2","58364","104.18.147.40","443","0","407","489"
"0.561715","0.561715000","0.374663000","41","52","10.0.0.2","58364","104.18.147.40","443","0","407","733"
"0.623561","0.623561000","0.436509000","42","52","10.0.0.2","58364","104.18.147.40","443","0","407","977"
"0.623578","0.623578000","0.436526000","43","52","10.0.0.2","58364","104.18.147.40","443","0","407","1221"
"0.623589","0.623589000","0.436537000","44","52","10.0.0.2","58364","104.18.147.40","443","0","407","1449"
"0.623598","0.623598000","0.436546000","45","52","10.0.0.2","58364","104.18.147.40","443","0","407","1693"
"0.623606","0.623606000","0.436554000","46","52","10.0.0.2","58364","104.18.147.40","443","0","407","1937"
"0.627422","0.627422000",,"47","76",,,,,,,
"0.627454","0.627454000",,"48","48",,,,,,,
"0.630382","0.630382000",,"49","76",,,,,,,
"0.687150","0.687150000","0.500098000","50","52","10.0.0.2","58364","104.18.147.40","443","0","407","2181"
"0.687182","0.687182000","0.500130000","51","52","10.0.0.2","58364","104.18.147.40","443","0","407","2323"
"0.687203","0.687203000","0.500151000","52","100","10.0.0.2","58364","104.18.147.40","443","48","407","2323"
"0.687219","0.687219000","0.500167000","53","84","10.0.0.2","58364","104.18.147.40","443","32","455","2323"
"0.687234","0.687234000","0.500182000","54","100","10.0.0.2","58364","104.18.147.40","443","48","487","2323"
"0.687249","0.687249000","0.500197000","55","100","10.0.0.2","58364","104.18.147.40","443","48","535","2323"
"0.687301","0.687301000","0.500249000","56","100","10.0.0.2","58364","104.18.147.40","443","48","583","2323"
"0.687857","0.687857000","0.500805000","57","52","104.18.147.40","443","10.0.0.2","58364","0","2323","455"
"0.687892","0.687892000","0.500840000","58","52","104.18.147.40","443","10.0.0.2","58364","0","2323","487"
"0.687939","0.687939000","0.500887000","59","52","104.18.147.40","443","10.0.0.2","58364","0","2323","583"
"0.687951","0.687951000","0.500899000","60","52","104.18.147.40","443","10.0.0.2","58364","0","2323","631"
"0.779511","0.779511000",,"61","76",,,,,,,
"0.873565","0.873565000","0.686513000","62","53","10.0.0.2","58364","104.18.147.40","443","1","631","2323"
"0.874124","0.874124000","0.687072000","63","52","104.18.147.40","443","10.0.0.2","58364","0","2323","632"
"1.011395","1.011395000",,"64","76",,,,,,,
"1.256059","1.256059000","1.069007000","65","296","104.18.147.40","443","10.0.0.2","58364","244","2323","632"
"1.256104","1.256104000","1.069052000","66","296","104.18.147.40","443","10.0.0.2","58364","244","2567","632"
"1.256168","1.256168000","1.069116000","67","296","104.18.147.40","443","10.0.0.2","58364","244","2811","632"
"1.256185","1.256185000","1.069133000","68","296","104.18.147.40","443","10.0.0.2","58364","244","3055","632"
"1.256245","1.256245000","1.069193000","69","296","104.18.147.40","443","10.0.0.2","58364","244","3299","632"
"1.256289","1.256289000","1.069237000","70","296","104.18.147.40","443","10.0.0.2","58364","244","3543","632"
"1.256340","1.256340000","1.069288000","71","296","104.18.147.40","443","10.0.0.2","58364","244","3787","632"
"1.256352","1.256352000","1.069300000","72","233","104.18.147.40","443","10.0.0.2","58364","181","4031","632"
"1.256398","1.256398000","1.069346000","73","296","104.18.147.40","443","10.0.0.2","58364","244","4212","632"
"1.256412","1.256412000","1.069360000","74","296","104.18.147.40","443","10.0.0.2","58364","244","4456","632"
"1.331519","1.331519000",,"75","76",,,,,,,
"1.436944","1.436944000","1.249892000","76","52","10.0.0.2","58364","104.18.147.40","443","0","632","3543"
"1.437794","1.437794000","1.250742000","77","296","104.18.147.40","443","10.0.0.2","58364","244","4700","632"
"1.437840","1.437840000","1.250788000","78","296","104.18.147.40","443","10.0.0.2","58364","244","4944","632"
"1.437910","1.437910000","1.250858000","79","296","104.18.147.40","443","10.0.0.2","58364","244","5188","632"
"1.437930","1.437930000","1.250878000","80","296","104.18.147.40","443","10.0.0.2","58364","244","5432","632"
"1.437981","1.437981000","1.250929000","81","296","104.18.147.40","443","10.0.0.2","58364","244","5676","632"
"1.437993","1.437993000","1.250941000","82","296","104.18.147.40","443","10.0.0.2","58364","244","5920","632"
"1.438038","1.438038000","1.250986000","83","296","104.18.147.40","443","10.0.0.2","58364","244","6164","632"
"1.438051","1.438051000","1.250999000","84","296","104.18.147.40","443","10.0.0.2","58364","244","6408","632"
"1.438096","1.438096000","1.251044000","85","296","104.18.147.40","443","10.0.0.2","58364","244","6652","632"
"1.438109","1.438109000","1.251057000","86","296","104.18.147.40","443","10.0.0.2","58364","244","6896","632"
"1.499238","1.499238000","1.312186000","87","52","10.0.0.2","58364","104.18.147.40","443","0","632","4700"
"1.500057","1.500057000","1.313005000","88","296","104.18.147.40","443","10.0.0.2","58364","244","7140","632"
"1.500101","1.500101000","1.313049000","89","296","104.18.147.40","443","10.0.0.2","58364","244","7384","632"
"1.500162","1.500162000","1.313110000","90","296","104.18.147.40","443","10.0.0.2","58364","244","7628","632"
"1.500180","1.500180000","1.313128000","91","296","104.18.147.40","443","10.0.0.2","58364","244","7872","632"
"1.500238","1.500238000","1.313186000","92","296","104.18.147.40","443","10.0.0.2","58364","244","8116","632"
"1.500290","1.500290000","1.313238000","93","296","104.18.147.40","443","10.0.0.2","58364","244","8360","632"
"1.500341","1.500341000","1.313289000","94","296","104.18.147.40","443","10.0.0.2","58364","244","8604","632"
"1.500356","1.500356000","1.313304000","95","296","104.18.147.40","443","10.0.0.2","58364","244","8848","632"
"1.500401","1.500401000","1.313349000","96","296","104.18.147.40","443","10.0.0.2","58364","244","9092","632"
"1.500415","1.500415000","1.313363000","97","296","104.18.147.40","443","10.0.0.2","58364","244","9336","632"
"1.623598","1.623598000","1.436546000","98","52","10.0.0.2","58364","104.18.147.40","443","0","632","5920"
"1.624364","1.624364000","1.437312000","99","296","104.18.147.40","443","10.0.0.2","58364","244","9580","632"
"1.624399","1.624399000","1.437347000","100","296","104.18.147.40","443","10.0.0.2","58364","244","9824","632"
"1.624449","1.624449000","1.437397000","101","296","104.18.147.40","443","10.0.0.2","58364","244","10068","632"
"1.624461","1.624461000","1.437409000","102","296","104.18.147.40","443","10.0.0.2","58364","244","10312","632"
"1.624511","1.624511000","1.437459000","103","296","104.18.147.40","443","10.0.0.2","58364","244","10556","632"
"1.624523","1.624523000","1.437471000","104","296","104.18.147.40","443","10.0.0.2","58364","244","10800","632"
"1.624568","1.624568000","1.437516000","105","296","104.18.147.40","443","10.0.0.2","58364","244","11044","632"
"1.624580","1.624580000","1.437528000","106","296","104.18.147.40","443","10.0.0.2","58364","244","11288","632"
"1.624624","1.624624000","1.437572000","107","296","104.18.147.40","443","10.0.0.2","58364","244","11532","632"
"1.624638","1.624638000","1.437586000","108","296","104.18.147.40","443","10.0.0.2","58364","244","11776","632"
"1.651403","1.651403000",,"109","76",,,,,,,
"1.686972","1.686972000","1.499920000","110","52","10.0.0.2","58364","104.18.147.40","443","0","632","7140"
"1.687548","1.687548000","1.500496000","111","296","104.18.147.40","443","10.0.0.2","58364","244","12020","632"
"1.687584","1.687584000","1.500532000","112","296","104.18.147.40","443","10.0.0.2","58364","244","12264","632"
"1.687635","1.687635000","1.500583000","113","296","104.18.147.40","443","10.0.0.2","58364","244","12508","632"
"1.687647","1.687647000","1.500595000","114","296","104.18.147.40","443","10.0.0.2","58364","244","12752","632"
"1.687693","1.687693000","1.500641000","115","296","104.18.147.40","443","10.0.0.2","58364","244","12996","632"
"1.687705","1.687705000","1.500653000","116","296","104.18.147.40","443","10.0.0.2","58364","244","13240","632"
"1.687750","1.687750000","1.500698000","117","296","104.18.147.40","443","10.0.0.2","58364","244","13484","632"
"1.687761","1.687761000","1.500709000","118","296","104.18.147.40","443","10.0.0.2","58364","244","13728","632"
