_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","73","10.0.0.2",,"10.0.0.1",,,,
"0.000010","0.000010000",,"2","73","10.0.0.2",,"10.0.0.1",,,,
"0.002403","0.002403000",,"3","380","10.0.0.1",,"10.0.0.2",,,,
"0.002594","0.002594000",,"4","132","10.0.0.1",,"10.0.0.2",,,,
"0.171345","0.171345000",,"5","76",,,,,,,
"0.171367","0.171367000",,"6","48",,,,,,,
"0.174082","0.174082000",,"7","76",,,,,,,
"0.186091","0.186091000","0.000000000","8","60","10.0.0.2","33240","172.64.155.85","443","0","0","0"
"0.186899","0.186899000","0.000808000","9","60","172.64.155.85","443","10.0.0.2","33240","0","0","1"
"0.373331","0.373331000","0.187240000","10","52","10.0.0.2","33240","172.64.155.85","443","0","1","1"
"0.373356","0.373356000","0.187265000","11","100","10.0.0.2","33240","172.64.155.85","443","48","1","1"
"0.373372","0.373372000","0.187281000","12","100","10.0.0.2","33240","172.64.155.85","443","48","49","1"
"0.373387","0.373387000","0.187296000","13","100","10.0.0.2","33240","172.64.155.85","443","48","97","1"
"0.373400","0.373400000","0.187309000","14","100","10.0.0.2","33240","172.64.155.85","443","48","145","1"
"0.373414","0.373414000","0.187323000","15","100","10.0.0.2","33240","172.64.155.85","443","48","193","1"
"0.373428","0.373428000","0.187337000","16","100","10.0.0.2","33240","172.64.155.85","443","48","241","1"
"0.373442","0.373442000","0.187351000","17","100","10.0.0.2","33240","172.64.155.85","443","48","289","1"
"0.373456","0.373456000","0.187365000","18","100","10.0.0.2","33240","172.64.155.85","443","48","337","1"
"0.373471","0.373471000","0.187380000","19","78","10.0.0.2","33240","172.64.155.85","443","26","385","1"
"0.374179","0.374179000","0.188088000","20","52","172.64.155.85","443","10.0.0.2","33240","0","1","49"
"0.374397","0.374397000","0.188306000","21","52","172.64.155.85","443","10.0.0.2","33240","0","1","97"
"0.374430","0.374430000","0.188339000","22","52","172.64.155.85","443","10.0.0.2","33240","0","1","145"
"0.374478","0.374478000","0.188387000","23","52","172.64.155.85","443","10.0.0.2","33240","0","1","193"
"0.374490","0.374490000","0.188399000","24","52","172.64.155.85","443","10.0.0.2","33240","0","1","241"
"0.374535","0.374535000","0.188444000","25","52","172.64.155.85","443","10.0.0.2","33240","0","1","289"
"0.374547","0.374547000","0.188456000","26","52","172.64.155.85","443","10.0.0.2","33240","0","1","337"
"0.374590","0.374590000","0.188499000","27","52","172.64.155.85","443","10.0.0.2","33240","0","1","385"
"0.374601","0.374601000","0.188510000","28","52","172.64.155.85","443","10.0.0.2","33240","0","1","411"
"0.391268","0.391268000","0.205177000","29","296","172.64.155.85","443","10.0.0.2","33240","244","1","411"
"0.391311","0.391311000","0.205220000","30","296","172.64.155.85","443","10.0.0.2","33240","244","245","411"
"0.391372","0.391372000","0.205281000","31","296","172.64.155.85","443","10.0.0.2","33240","244","489","411"
"0.391389","0.391389000","0.205298000","32","296","172.64.155.85","443","10.0.0.2","33240","244","733","411"
"0.391444","0.391444000","0.205353000","33","296","172.64.155.85","443","10.0.0.2","33240","244","977","411"
"0.391456","0.391456000","0.205365000","34","296","172.64.155.85","443","10.0.0.2","33240","244","1221","411"
"0.391501","0.391501000","0.205410000","35","296","172.64.155.85","443","10.0.0.2","33240","244","1465","411"
"0.391513","0.391513000","0.205422000","36","296","172.64.155.85","443","10.0.0.2","33240","244","1709","411"
"0.391558","0.391558000","0.205467000","37","296","172.64.155.85","443","10.0.0.2","33240","244","1953","411"
"0.391573","0.391573000","0.205482000","38","296","172.64.155.85","443","10.0.0.2","33240","244","2197","411"
"0.561296","0.561296000","0.375205000","39","52","10.0.0.2","33240","172.64.155.85","443","0","411","245"
"0.561316","0.561316000","0.375225000","40","52","10.0.0.2","33240","172.64.155.85","443","0","411","489"
"0.561326","0.561326000","0.375235000","41","52","10.0.0.2","33240","172.64.155.85","443","0","411","733"
"0.561950","0.561950000","0.375859000","42","296","172.64.155.85","443","10.0.0.2","33240","244","2441","411"
"0.561986","0.561986000","0.375895000","43","195","172.64.155.85","443","10.0.0.2","33240","143","2685","411"
"0.571039","0.571039000",,"44","76",,,,,,,
"0.571064","0.571064000",,"45","48",,,,,,,
