_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","72","10.0.0.2",,"10.0.0.1",,,,
"0.000020","0.000020000",,"2","72","10.0.0.2",,"10.0.0.1",,,,
"0.002397","0.002397000",,"3","402","10.0.0.1",,"10.0.0.2",,,,
"0.002406","0.002406000",,"4","338","10.0.0.1",,"10.0.0.2",,,,
"0.187383","0.187383000","0.000000000","5","60","10.0.0.2","56870","172.217.19.78","443","0","0","0"
"0.188177","0.188177000","0.000794000","6","60","172.217.19.78","443","10.0.0.2","56870","0","0","1"
"0.356782","0.356782000",,"7","76",,,,,,,
"0.356793","0.356793000",,"8","48",,,,,,,
"0.359533","0.359533000",,"9","76",,,,,,,
"0.373873","0.373873000","0.186490000","10","52","10.0.0.2","56870","172.217.19.78","443","0","1","1"
"0.373897","0.373897000","0.186514000","11","100","10.0.0.2","56870","172.217.19.78","443","48","1","1"
"0.373910","0.373910000","0.186527000","12","100","10.0.0.2","56870","172.217.19.78","443","48","49","1"
"0.373921","0.373921000","0.186538000","13","100","10.0.0.2","56870","172.217.19.78","443","48","97","1"
"0.373932","0.373932000","0.186549000","14","100","10.0.0.2","56870","172.217.19.78","443","48","145","1"
"0.373943","0.373943000","0.186560000","15","100","10.0.0.2","56870","172.217.19.78","443","48","193","1"
"0.373954","0.373954000","0.186571000","16","100","10.0.0.2","56870","172.217.19.78","443","48","241","1"
"0.373964","0.373964000","0.186581000","17","100","10.0.0.2","56870","172.217.19.78","443","48","289","1"
"0.373975","0.373975000","0.186592000","18","100","10.0.0.2","56870","172.217.19.78","443","48","337","1"
"0.373986","0.373986000","0.186603000","19","77","10.0.0.2","56870","172.217.19.78","443","25","385","1"
"0.374749","0.374749000","0.187366000","20","52","172.217.19.78","443","10.0.0.2","56870","0","1","49"
"0.374845","0.374845000","0.187462000","21","52","172.217.19.78","443","10.0.0.2","56870","0","1","97"
"0.374864","0.374864000","0.187481000","22","52","172.217.19.78","443","10.0.0.2","56870","0","1","145"
"0.374916","0.374916000","0.187533000","23","52","172.217.19.78","443","10.0.0.2","56870","0","1","193"
"0.374928","0.374928000","0.187545000","24","52","172.217.19.78","443","10.0.0.2","56870","0","1","241"
"0.374973","0.374973000","0.187590000","25","52","172.217.19.78","443","10.0.0.2","56870","0","1","289"
"0.374985","0.374985000","0.187602000","26","52","172.217.19.78","443","10.0.0.2","56870","0","1","337"
"0.375029","0.375029000","0.187646000","27","52","172.217.19.78","443","10.0.0.2","56870","0","1","385"
"0.375042","0.375042000","0.187659000","28","52","172.217.19.78","443","10.0.0.2","56870","0","1","410"
"0.444893","0.444893000","0.257510000","29","296","172.217.19.78","443","10.0.0.2","56870","244","1","410"
"0.444937","0.444937000","0.257554000","30","296","172.217.19.78","443","10.0.0.2","56870","244","245","410"
"0.444999","0.444999000","0.257616000","31","296","172.217.19.78","443","10.0.0.2","56870","244","489","410"
