_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","69","10.0.0.2",,"10.0.0.1",,,,
"0.000030","0.000030000",,"2","69","10.0.0.2",,"10.0.0.1",,,,
"0.002516","0.002516000",,"3","597","10.0.0.1",,"10.0.0.2",,,,
"0.002525","0.002525000",,"4","517","10.0.0.1",,"10.0.0.2",,,,
"0.077171","0.077171000",,"5","76",,,,,,,
"0.077184","0.077184000",,"6","48",,,,,,,
"0.080137","0.080137000",,"7","76",,,,,,,
"0.142142","0.142142000",,"8","76",,,,,,,
"0.187359","0.187359000","0.000000000","9","60","10.0.0.2","42884","104.17.203.159","443","0","0","0"
"0.187901","0.187901000","0.000542000","10","60","104.17.203.159","443","10.0.0.2","42884","0","0","1"
"0.374638","0.374638000","0.187279000","11","52","10.0.0.2","42884","104.17.203.159","443","0","1","1"
"0.374666","0.374666000","0.187307000","12","100","10.0.0.2","42884","104.17.203.159","443","48","1","1"
"0.374685","0.374685000","0.187326000","13","100","10.0.0.2","42884","104.17.203.159","443","48","49","1"
"0.374699","0.374699000","0.187340000","14","100","10.0.0.2","42884","104.17.203.159","443","48","97","1"
"0.374712","0.374712000","0.187353000","15","100","10.0.0.2","42884","104.17.203.159","443","48","145","1"
"0.374727","0.374727000","0.187368000","16","100","10.0.0.2","42884","104.17.203.159","443","48","193","1"
"0.374742","0.374742000","0.187383000","17","100","10.0.0.2","42884","104.17.203.159","443","48","241","1"
"0.374756","0.374756000","0.187397000","18","100","10.0.0.2","42884","104.17.203.159","443","48","289","1"
"0.374770","0.374770000","0.187411000","19","100","10.0.0.2","42884","104.17.203.159","443","48","337","1"
"0.374785","0.374785000","0.187426000","20","74","10.0.0.2","42884","104.17.203.159","443","22","385","1"
"0.375460","0.375460000","0.188101000","21","52","104.17.203.159","443","10.0.0.2","42884","0","1","49"
"0.375498","0.375498000","0.188139000","22","52","104.17.203.159","443","10.0.0.2","42884","0","1","97"
"0.375547","0.375547000","0.188188000","23","52","104.17.203.159","443","10.0.0.2","42884","0","1","145"
"0.375559","0.375559000","0.188200000","24","52","104.17.203.159","443","10.0.0.2","42884","0","1","193"
"0.375592","0.375592000","0.188233000","25","52","104.17.203.159","443","10.0.0.2","42884","0","1","241"
"0.375638","0.375638000","0.188279000","26","52","104.17.203.159","443","10.0.0.2","42884","0","1","289"
"0.375649","0.375649000","0.188290000","27","52","104.17.203.159","443","10.0.0.2","42884","0","1","337"
"0.375694","0.375694000","0.188335000","28","52","104.17.203.159","443","10.0.0.2","42884","0","1","385"
"0.375705","0.375705000","0.188346000","29","52","104.17.203.159","443","10.0.0.2","42884","0","1","407"
"0.410180","0.410180000","0.222821000","30","296","104.17.203.159","443","10.0.0.2","42884","244","1","407"
"0.410225","0.410225000","0.222866000","31","296","104.17.203.159","443","10.0.0.2","42884","244","245","407"
"0.410289","0.410289000","0.222930000","32","296","104.17.203.159","443","10.0.0.2","42884","244","489","407"
"0.410308","0.410308000","0.222949000","33","296","104.17.203.159","443","10.0.0.2","42884","244","733","407"
"0.410362","0.410362000","0.223003000","34","296","104.17.203.159","443","10.0.0.2","42884","244","977","407"
"0.410376","0.410376000","0.223017000","35","296","104.17.203.159","443","10.0.0.2","42884","244","1221","407"
"0.410422","0.410422000","0.223063000","36","296","104.17.203.159","443","10.0.0.2","42884","244","1465","407"
"0.410433","0.410433000","0.223074000","37","296","104.17.203.159","443","10.0.0.2","42884","244","1709","407"
"0.410478","0.410478000","0.223119000","38","296","104.17.203.159","443","10.0.0.2","42884","244","1953","407"
