_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","76",,,,,,,
"0.000009","0.000009000",,"2","48",,,,,,,
"0.003295","0.003295000",,"3","76",,,,,,,
"0.166374","0.166374000",,"4","76",,,,,,,
"0.202356","0.202356000",,"5","69","10.0.0.2",,"10.0.0.1",,,,
"0.202382","0.202382000",,"6","69","10.0.0.2",,"10.0.0.1",,,,
"0.203877","0.203877000",,"7","85","10.0.0.1",,"10.0.0.2",,,,
"0.203932","0.203932000",,"8","97","10.0.0.1",,"10.0.0.2",,,,
"0.246353","0.246353000",,"9","76",,,,,,,
"0.470375","0.470375000",,"10","76",,,,,,,
"0.470412","0.470412000",,"11","48",,,,,,,
"0.473297","0.473297000",,"12","76",,,,,,,
"0.513513","0.513513000","0.000000000","13","60","10.0.0.2","42946","170.114.78.80","443","0","0","0"
"0.514179","0.514179000","0.000666000","14","60","170.114.78.80","443","10.0.0.2","42946","0","0","1"
"0.806328","0.806328000",,"15","76",,,,,,,
"0.827253","0.827253000","0.313740000","16","52","10.0.0.2","42946","170.114.78.80","443","0","1","1"
"0.827290","0.827290000","0.313777000","17","100","10.0.0.2","42946","170.114.78.80","443","48","1","1"
"0.827309","0.827309000","0.313796000","18","100","10.0.0.2","42946","170.114.78.80","443","48","49","1"
"0.827327","0.827327000","0.313814000","19","100","10.0.0.2","42946","170.114.78.80","443","48","97","1"
"0.827343","0.827343000","0.313830000","20","100","10.0.0.2","42946","170.114.78.80","443","48","145","1"
"0.827359","0.827359000","0.313846000","21","100","10.0.0.2","42946","170.114.78.80","443","48","193","1"
"0.827374","0.827374000","0.313861000","22","100","10.0.0.2","42946","170.114.78.80","443","48","241","1"
"0.827389","0.827389000","0.313876000","23","100","10.0.0.2","42946","170.114.78.80","443","48","289","1"
"0.827407","0.827407000","0.313894000","24","100","10.0.0.2","42946","170.114.78.80","443","48","337","1"
"0.827423","0.827423000","0.313910000","25","74","10.0.0.2","42946","170.114.78.80","443","22","385","1"
"0.828038","0.828038000","0.314525000","26","52","170.114.78.80","443","10.0.0.2","42946","0","1","49"
"0.828230","0.828230000","0.314717000","27","52","170.114.78.80","443","10.0.0.2","42946","0","1","97"
"0.828250","0.828250000","0.314737000","28","52","170.114.78.80","443","10.0.0.2","42946","0","1","145"
"0.828299","0.828299000","0.314786000","29","52","170.114.78.80","443","10.0.0.2","42946","0","1","193"
"0.828311","0.828311000","0.314798000","30","52","170.114.78.80","443","10.0.0.2","42946","0","1","241"
"0.828355","0.828355000","0.314842000","31","52","170.114.78.80","443","10.0.0.2","42946","0","1","289"
"0.828367","0.828367000","0.314854000","32","52","170.114.78.80","443","10.0.0.2","42946","0","1","337"
"0.828410","0.828410000","0.314897000","33","52","170.114.78.80","443","10.0.0.2","42946","0","1","385"
"0.828433","0.828433000","0.314920000","34","52","170.114.78.80","443","10.0.0.2","42946","0","1","407"
"0.850792","0.850792000","0.337279000","35","296","170.114.78.80","443","10.0.0.2","42946","244","1","407"
"0.850836","0.850836000","0.337323000","36","296","170.114.78.80","443","10.0.0.2","42946","244","245","407"
"0.850897","0.850897000","0.337384000","37","296","170.114.78.80","443","10.0.0.2","42946","244","489","407"
